119699, 3501, -1006, -1861, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122555, 3541, -673, -1968, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122592, 3570, -642, -1993, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122629, 3568, -644, -1957, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122666, 3579, -641, -1977, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122703, 3587, -644, -1949, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122740, 3607, -611, -1946, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122777, 3622, -646, -1919, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122814, 3591, -678, -1977, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122851, 3765, -694, -1869, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
122888, 3971, -636, -1695, 88, 8117be54-3ac8-4c97-94aa-077d64caaa35, , ruku, ruku, , 
