343094, 3214, 1038, -2250, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344800, 3019, 749, -2671, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344839, 3020, 742, -2684, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344879, 3031, 745, -2688, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344919, 2992, 753, -2676, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344958, 3027, 753, -2668, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
344998, 2995, 748, -2664, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345037, 3051, 745, -2674, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345077, 3035, 739, -2668, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345116, 3029, 743, -2688, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345156, 3018, 758, -2672, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345195, 3028, 747, -2652, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345235, 3029, 745, -2668, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345274, 3034, 753, -2663, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345314, 3045, 780, -2659, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345354, 3040, 736, -2675, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345388, 3054, 769, -2637, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345422, 3054, 780, -2651, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345456, 3039, 767, -2660, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345490, 3064, 757, -2660, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345524, 3035, 768, -2646, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345558, 3035, 768, -2643, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345592, 3010, 771, -2655, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345626, 3044, 759, -2648, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345660, 3034, 772, -2652, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345694, 3018, 772, -2670, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345734, 3053, 764, -2646, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345775, 3010, 754, -2629, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345816, 3029, 759, -2641, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345857, 3054, 720, -2650, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345898, 3046, 756, -2646, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345939, 3038, 767, -2643, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
345980, 3041, 749, -2662, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346021, 3029, 732, -2657, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346062, 3042, 749, -2665, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346103, 3030, 762, -2604, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346138, 3032, 764, -2624, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346173, 3029, 777, -2664, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346208, 3038, 783, -2636, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346243, 3004, 786, -2569, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346278, 3042, 801, -2725, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346313, 3050, 831, -2681, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346348, 3034, 746, -2628, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346383, 3012, 820, -2624, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346418, 3033, 827, -2656, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346453, 3046, 821, -2639, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346488, 3024, 822, -2626, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346531, 3018, 804, -2635, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346574, 3042, 808, -2648, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346617, 3057, 812, -2665, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346660, 3049, 807, -2631, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346703, 3036, 814, -2629, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346746, 3038, 793, -2657, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346789, 3022, 805, -2662, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346832, 3037, 823, -2646, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346875, 3057, 793, -2637, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346919, 3045, 795, -2614, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
346959, 3011, 806, -2635, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347000, 3026, 794, -2643, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347041, 3025, 796, -2640, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347082, 3038, 824, -2636, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347123, 3061, 781, -2616, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347164, 3047, 754, -2647, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347205, 3057, 794, -2642, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347246, 3056, 795, -2620, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347287, 3067, 777, -2611, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347328, 3070, 824, -2625, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347369, 2990, 790, -2605, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347402, 3044, 753, -2652, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347436, 3051, 779, -2622, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347470, 3070, 798, -2612, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347504, 3065, 759, -2631, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347538, 3044, 804, -2620, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347571, 3031, 785, -2615, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347605, 3039, 791, -2629, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347639, 3068, 777, -2642, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347673, 3063, 774, -2625, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347707, 3055, 796, -2634, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347748, 3037, 799, -2625, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347789, 3048, 787, -2641, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347830, 3044, 787, -2602, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347871, 3075, 771, -2623, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347912, 3064, 788, -2620, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347953, 3071, 751, -2619, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
347994, 3090, 776, -2606, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348035, 3080, 784, -2613, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348076, 3069, 797, -2605, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348118, 3065, 767, -2640, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348154, 3079, 758, -2605, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348191, 3058, 778, -2612, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348228, 3070, 765, -2625, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348264, 3066, 755, -2629, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348301, 3096, 797, -2635, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348338, 3041, 762, -2616, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348375, 3079, 772, -2627, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348411, 3060, 764, -2610, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348448, 3071, 776, -2623, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348485, 3062, 768, -2613, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348522, 3075, 780, -2627, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348558, 3059, 785, -2608, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348595, 3066, 798, -2617, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348631, 3042, 782, -2634, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348668, 3061, 765, -2642, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348704, 3034, 793, -2615, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348741, 3074, 775, -2634, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348777, 3049, 754, -2643, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348814, 3070, 765, -2624, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348850, 3048, 791, -2629, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348887, 3040, 756, -2638, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348927, 3060, 765, -2635, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
348968, 3028, 784, -2631, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
349008, 3053, 770, -2635, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
349049, 3060, 772, -2624, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
349089, 3048, 776, -2621, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
349130, 3033, 765, -2626, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
349170, 3105, 714, -2635, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
349211, 3107, 755, -2642, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
349251, 3294, 847, -2509, 82, 0b867e51-b785-4772-8018-db39c8059086, , ruku, ruku, , 
