100891, 3356, -1734, -1555, 91, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102738, 3437, -1463, -1695, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102778, 3455, -1468, -1705, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102819, 3479, -1455, -1693, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102857, 3493, -1466, -1684, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102895, 3497, -1482, -1643, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102933, 3506, -1512, -1631, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
102971, 3480, -1492, -1656, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103009, 3464, -1482, -1662, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103048, 3429, -1480, -1696, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103086, 3441, -1500, -1720, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103124, 3453, -1481, -1662, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103162, 3458, -1479, -1671, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103200, 3471, -1524, -1679, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103239, 3489, -1508, -1673, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103277, 3462, -1488, -1680, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103315, 3452, -1495, -1691, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103353, 3450, -1528, -1686, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103391, 3449, -1518, -1667, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103429, 3427, -1535, -1691, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103467, 3462, -1525, -1674, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103505, 3441, -1508, -1694, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103543, 3434, -1509, -1699, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103581, 3459, -1542, -1641, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103620, 3442, -1518, -1707, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103659, 3480, -1542, -1680, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103699, 3452, -1517, -1676, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103739, 3430, -1531, -1688, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103779, 3413, -1557, -1679, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103819, 3460, -1519, -1683, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103859, 3442, -1558, -1688, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103899, 3447, -1542, -1696, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103939, 3437, -1552, -1692, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
103979, 3417, -1574, -1661, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104019, 3447, -1524, -1687, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104055, 3446, -1529, -1688, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104092, 3440, -1572, -1688, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104129, 3434, -1604, -1645, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104166, 3425, -1553, -1686, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104203, 3416, -1547, -1673, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104240, 3451, -1551, -1670, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104277, 3441, -1521, -1707, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104314, 3438, -1563, -1672, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104351, 3433, -1559, -1683, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104388, 3448, -1551, -1665, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104425, 3421, -1550, -1679, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104464, 3444, -1543, -1698, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104503, 3418, -1539, -1668, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104542, 3449, -1562, -1667, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104582, 3464, -1545, -1666, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104621, 3452, -1568, -1664, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104660, 3437, -1553, -1670, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104700, 3450, -1568, -1652, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104739, 3450, -1524, -1658, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104778, 3448, -1542, -1681, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104818, 3439, -1543, -1667, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104855, 3452, -1567, -1666, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104893, 3443, -1565, -1663, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104931, 3432, -1590, -1653, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
104969, 3467, -1548, -1672, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105007, 3407, -1570, -1695, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105044, 3433, -1564, -1695, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105082, 3450, -1552, -1680, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105120, 3394, -1578, -1701, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105158, 3444, -1583, -1685, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105196, 3423, -1574, -1693, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105234, 3419, -1592, -1672, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105273, 3468, -1565, -1687, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105312, 3440, -1573, -1683, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105351, 3429, -1580, -1642, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105390, 3421, -1511, -1700, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105429, 3447, -1546, -1673, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105468, 3468, -1580, -1665, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105507, 3447, -1558, -1652, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105546, 3463, -1545, -1664, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105585, 3425, -1553, -1657, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105625, 3429, -1584, -1637, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105664, 3449, -1562, -1654, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105704, 3436, -1569, -1656, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105743, 3435, -1557, -1663, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105783, 3476, -1558, -1653, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105822, 3457, -1532, -1655, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105862, 3426, -1589, -1641, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105901, 3461, -1567, -1642, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105941, 3445, -1525, -1659, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
105980, 3457, -1553, -1640, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106020, 3470, -1564, -1641, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106056, 3470, -1557, -1645, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106092, 3464, -1567, -1641, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106129, 3453, -1549, -1667, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106165, 3449, -1504, -1692, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106201, 3474, -1537, -1648, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106238, 3467, -1553, -1628, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106274, 3465, -1527, -1647, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106310, 3471, -1562, -1625, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106347, 3464, -1535, -1609, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106383, 3488, -1573, -1610, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106420, 3459, -1592, -1646, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106461, 3440, -1567, -1613, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106503, 3486, -1498, -1649, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106544, 3453, -1524, -1653, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106586, 3460, -1540, -1600, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106627, 3476, -1555, -1588, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106669, 3452, -1526, -1603, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106710, 3461, -1545, -1602, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106752, 3500, -1577, -1556, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106793, 3510, -1519, -1603, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106835, 3518, -1529, -1550, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106872, 3490, -1535, -1577, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106910, 3505, -1521, -1580, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
106947, 3502, -1512, -1563, 92, 4d35e5c3-ce48-4a56-8a1b-66120e3ed054, , ruku, ruku, , 
