161768, 4252, 864, -1448, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162637, 3783, 685, -1523, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162678, 3761, 762, -1426, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162720, 3747, 739, -1452, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162761, 3783, 709, -1595, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162803, 3664, 614, -1557, 72, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162839, 3697, 620, -1656, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162875, 3725, 661, -1686, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162911, 3712, 661, -1685, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162947, 3731, 557, -1710, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
162983, 3741, 563, -1632, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163019, 3731, 587, -1561, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163055, 3745, 700, -1578, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163091, 3747, 559, -1589, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163127, 3680, 575, -1630, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163163, 3699, 524, -1674, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163200, 3695, 594, -1763, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163238, 3708, 623, -1779, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163277, 3810, 515, -1753, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163316, 3769, 518, -1756, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163354, 3744, 574, -1640, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163393, 3715, 501, -1650, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163432, 3710, 524, -1646, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163470, 3729, 577, -1647, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163509, 3705, 536, -1611, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163548, 3800, 541, -1574, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163587, 3752, 533, -1628, 74, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163627, 3758, 557, -1600, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163667, 3760, 485, -1678, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163707, 3768, 525, -1679, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163747, 3725, 551, -1677, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163788, 3712, 595, -1662, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163828, 3712, 546, -1599, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163868, 3725, 589, -1641, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163908, 3768, 435, -1632, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163948, 3774, 475, -1600, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
163989, 3782, 438, -1705, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164025, 3756, 527, -1643, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164062, 3725, 495, -1590, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164099, 3764, 479, -1584, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164135, 3743, 510, -1604, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164172, 3807, 514, -1589, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164209, 3812, 517, -1555, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164246, 3823, 515, -1533, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164282, 3830, 508, -1525, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164319, 3834, 555, -1564, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164356, 3786, 521, -1594, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164393, 3736, 507, -1541, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164438, 3823, 500, -1541, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164483, 3767, 504, -1440, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164528, 3852, 464, -1481, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164573, 3874, 630, -1524, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164618, 3794, 397, -1456, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164663, 3815, 472, -1441, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164708, 3788, 527, -1506, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164753, 3770, 737, -1558, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164798, 3723, 609, -1505, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164843, 3735, 574, -1502, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164874, 3739, 485, -1474, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164905, 3806, 500, -1448, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164936, 3846, 518, -1432, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164967, 3880, 529, -1509, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
164998, 3822, 567, -1502, 75, 0caef18d-bde1-4fcb-b789-6f9509587551, , ruku, ruku, , 
