55531, 3092, -448, -2624, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56524, 3091, -492, -2658, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56560, 3101, -521, -2640, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56596, 3131, -518, -2626, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56632, 3095, -438, -2655, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56668, 3123, -495, -2646, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56704, 3144, -483, -2620, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56740, 3120, -516, -2639, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56776, 3115, -468, -2608, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56813, 3131, -477, -2617, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56853, 3151, -484, -2613, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56893, 3122, -508, -2567, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56933, 3133, -466, -2605, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
56973, 3115, -475, -2647, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57013, 3135, -499, -2637, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57053, 3119, -485, -2636, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57093, 3118, -474, -2620, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57133, 3148, -513, -2616, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57173, 3112, -472, -2624, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57213, 3126, -479, -2617, 58, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57249, 3155, -440, -2695, 59, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57286, 3117, -515, -2547, 59, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57322, 3072, -438, -2604, 59, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57359, 3139, -443, -2622, 59, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57396, 3203, -541, -2566, 59, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57432, 3166, -610, -2569, 59, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57469, 3139, -498, -2589, 59, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57506, 3125, -490, -2647, 59, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57542, 3120, -466, -2619, 59, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57579, 3152, -462, -2658, 59, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
57616, 3084, -518, -2594, 59, 84c4f237-e613-47cc-9db6-52aff5cad7de, , ruku, ruku, , 
