159652, 3382, -984, -2226, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160789, 3356, -1038, -2161, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160827, 3363, -983, -2149, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160865, 3364, -1070, -2155, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160903, 3358, -1069, -2137, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160942, 3349, -1024, -2154, 88, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
160980, 3407, -1017, -2135, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161018, 3380, -991, -2145, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161056, 3384, -1026, -2144, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161094, 3383, -1002, -2142, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161132, 3320, -1040, -2137, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161170, 3352, -958, -2168, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161208, 3346, -1033, -2182, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161246, 3354, -1054, -2152, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161284, 3308, -1091, -2142, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161322, 3345, -1033, -2180, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161360, 3392, -1005, -2143, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161398, 3343, -1015, -2155, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161437, 3381, -1066, -2152, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161475, 3365, -1086, -2145, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161513, 3345, -1040, -2177, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161551, 3352, -984, -2191, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161589, 3336, -1084, -2162, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161627, 3341, -1041, -2160, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161665, 3333, -1082, -2201, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161703, 3294, -1020, -2164, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161741, 3339, -1034, -2207, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161779, 3295, -1024, -2196, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161817, 3309, -1058, -2208, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161855, 3337, -1044, -2199, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161893, 3330, -1083, -2214, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161932, 3306, -1037, -2196, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
161971, 3307, -1062, -2214, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
162010, 3337, -1070, -2216, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
162049, 3314, -1025, -2207, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
162089, 3304, -1038, -2210, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
162128, 3330, -1023, -2222, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
162167, 3338, -1073, -2206, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
162207, 3337, -1031, -2209, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
162246, 3315, -1023, -2201, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
162285, 3340, -1018, -2198, 89, e2835db5-65e1-49d8-bfd2-96d4a1a9e002, , ruku, ruku, , 
