133492, 3441, -953, -2179, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134700, 3390, -1033, -2133, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134734, 3422, -1035, -2098, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134769, 3386, -1028, -2118, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134805, 3347, -1020, -2112, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134842, 3341, -1024, -2126, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134879, 3411, -1023, -2124, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134916, 3388, -1018, -2115, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134953, 3381, -1032, -2118, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134989, 3352, -1032, -2118, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135026, 3400, -1025, -2107, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135063, 3411, -1030, -2092, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135100, 3380, -1053, -2080, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135137, 3377, -1058, -2097, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135174, 3384, -1029, -2107, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135216, 3382, -1056, -2081, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135258, 3390, -1040, -2086, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135300, 3390, -1052, -2080, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135343, 3391, -1058, -2079, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135385, 3402, -1052, -2082, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135427, 3399, -1048, -2076, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135470, 3386, -1043, -2078, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135512, 3386, -1069, -2095, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135554, 3381, -1054, -2086, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135597, 3377, -1021, -2078, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135630, 3388, -1027, -2085, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135664, 3390, -1055, -2100, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135698, 3411, -1075, -2048, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135732, 3411, -1008, -2078, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135766, 3397, -1032, -2102, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135799, 3392, -1023, -2106, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135833, 3390, -1014, -2100, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135867, 3415, -1030, -2119, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
135901, 3426, -1043, -2115, 73, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
