272978, 3476, -75, -2332, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274571, 3421, -161, -2333, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274606, 3411, -113, -2326, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274642, 3353, -148, -2323, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274677, 3329, -136, -2363, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274713, 3372, -77, -2304, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274748, 3410, -168, -2353, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274784, 3394, -130, -2315, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274820, 3400, -158, -2307, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274860, 3366, -126, -2311, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274900, 3389, -107, -2315, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274941, 3403, -100, -2324, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274981, 3376, -106, -2311, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
275022, 3384, -121, -2326, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
275062, 3401, -84, -2288, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
275102, 3406, -96, -2318, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
275143, 3401, -90, -2286, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
