98404, 3060, -1402, -2171, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
99978, 3251, -1351, -2249, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100021, 3193, -1415, -2182, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100063, 3116, -1395, -2102, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100105, 2970, -1604, -1652, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100148, 3263, -1307, -2393, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100190, 3306, -1420, -2404, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100232, 3179, -1319, -2225, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100275, 3193, -1361, -2160, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100315, 3201, -1400, -2195, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100355, 3209, -1353, -2212, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100395, 3229, -1415, -2128, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100435, 3168, -1321, -2230, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100475, 3183, -1324, -2213, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100515, 3139, -1375, -2177, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100555, 3199, -1432, -2167, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100595, 3268, -1336, -2220, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100635, 3257, -1391, -2182, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100676, 3195, -1417, -2153, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100710, 3208, -1354, -2195, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100744, 3214, -1376, -2189, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100778, 3257, -1409, -2168, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100812, 3222, -1289, -2229, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100846, 3179, -1308, -2224, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100880, 3214, -1366, -2175, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100914, 3214, -1396, -2164, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100948, 3224, -1396, -2196, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
100982, 3225, -1305, -2200, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
101016, 3217, -1363, -2188, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
101051, 3213, -1368, -2193, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
101091, 3238, -1386, -2165, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
101132, 3233, -1402, -2165, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
101172, 3192, -1345, -2170, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
101213, 3240, -1378, -2154, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
101254, 3219, -1383, -2191, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
101294, 3194, -1371, -2214, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
101335, 3132, -1365, -2219, 97, 033a4d5e-9223-455c-9545-76d48d7aa8ae, , ruku, ruku, , 
