48580, 3555, -1139, -1792, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49286, 3518, -1035, -1982, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49330, 3514, -982, -2007, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49375, 3525, -996, -1895, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49420, 3568, -907, -1938, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49465, 3535, -945, -1864, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49510, 3540, -947, -1937, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49555, 3410, -880, -1940, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49600, 3462, -980, -1945, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49645, 3571, -1110, -1849, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49690, 3528, -977, -1930, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49735, 3530, -859, -1962, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49767, 3476, -819, -1976, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49800, 3498, -857, -1955, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49832, 3592, -960, -1879, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49865, 3635, -938, -1858, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49898, 3556, -948, -1944, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49930, 3425, -895, -1983, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49963, 3486, -786, -2014, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
49996, 3533, -791, -1916, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50028, 3544, -887, -1859, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50061, 3589, -963, -1858, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50094, 3549, -951, -1836, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50134, 3653, -969, -1847, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50175, 3521, -952, -1810, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50215, 3527, -872, -1856, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50256, 3574, -743, -2001, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50297, 3649, -863, -1744, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50337, 3609, -1054, -1778, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50378, 3596, -831, -1966, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50418, 3538, -813, -1943, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50459, 3403, -812, -1828, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50500, 3572, -877, -1951, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50538, 3593, -947, -1873, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50577, 3589, -984, -1769, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50616, 3510, -820, -1963, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50655, 3718, -701, -1825, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50694, 3651, -869, -1905, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50732, 3405, -1109, -1969, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50771, 3464, -911, -1916, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50810, 3380, -688, -2166, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50849, 3441, -1133, -1685, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50888, 3801, -837, -1767, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50924, 3722, -731, -2203, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50961, 3393, -1196, -1822, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
50998, 3423, -1060, -1825, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51035, 3581, -899, -2091, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51072, 3346, -897, -2007, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51109, 3451, -996, -2065, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51146, 3489, -1026, -1842, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51183, 3679, -921, -1862, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51220, 3540, -882, -2067, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51257, 3447, -1052, -1961, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51294, 3408, -962, -1940, 50, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51341, 3452, -777, -2060, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51389, 3686, -865, -1870, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51437, 3855, -1113, -1724, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51484, 3913, -1116, -1742, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51532, 3749, -890, -1770, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
51580, 3759, -756, -1748, 49, 2568e401-d660-460b-abfe-8f6de92a1fa3, , ruku, ruku, , 
