13574, 2624, 182, -3049, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14613, 2600, 175, -3177, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14650, 2735, 44, -3095, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14687, 2609, -5, -3103, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14724, 2661, 60, -3213, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14761, 2632, 69, -3063, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14798, 2736, 35, -3082, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14835, 2730, 84, -3057, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14872, 2725, 13, -3115, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14909, 2709, 42, -3132, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14946, 2650, 78, -3098, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
14989, 2680, 34, -3135, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15032, 2660, 75, -3116, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15075, 2655, 63, -3124, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15118, 2661, 127, -3107, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15161, 2700, 94, -3100, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15204, 2671, 81, -3128, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15247, 2649, 105, -3089, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15290, 2685, 103, -3092, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15333, 2676, 89, -3128, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15376, 2702, 71, -3096, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15419, 2688, 101, -3110, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15451, 2686, 71, -3086, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15484, 2697, 100, -3114, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15516, 2661, 100, -3100, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15549, 2718, 84, -3077, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15582, 2690, 102, -3100, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15614, 2686, 70, -3078, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15647, 2662, 110, -3094, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15679, 2685, 113, -3113, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15712, 2686, 95, -3102, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15745, 2697, 92, -3077, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15783, 2696, 120, -3087, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15821, 2714, 98, -3100, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15859, 2716, 144, -3065, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15897, 2680, 136, -3067, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15935, 2705, 88, -3102, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
15973, 2681, 103, -3107, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16011, 2722, 124, -3073, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16049, 2744, 115, -3087, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16087, 2698, 98, -3098, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16125, 2722, 111, -3096, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16164, 2672, 116, -3077, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16203, 2684, 124, -3083, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16243, 2713, 116, -3084, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16282, 2690, 117, -3060, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16322, 2704, 112, -3080, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16361, 2740, 114, -3108, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16401, 2683, 135, -3054, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16440, 2847, 186, -2560, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16480, 2796, -16, -3406, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16519, 2773, 281, -3468, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16559, 2664, 43, -3023, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16599, 2707, 159, -2964, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16640, 2707, 208, -3076, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16680, 2744, 125, -3078, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16721, 2742, 165, -3066, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16761, 2733, 174, -3058, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16802, 2728, 183, -3043, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16842, 2739, 139, -3058, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16883, 2743, 167, -3065, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16923, 2718, 224, -3045, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
16964, 2730, 151, -3038, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17000, 2754, 150, -3057, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17036, 2739, 182, -3035, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17072, 2743, 160, -3030, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17108, 2745, 144, -3017, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17144, 2756, 157, -3022, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17180, 2768, 125, -3034, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17216, 2759, 125, -3031, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17252, 2777, 129, -3036, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17288, 2752, 154, -3017, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17324, 2741, 166, -3073, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17361, 2791, 149, -3014, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17400, 2778, 177, -3043, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17440, 2768, 142, -3017, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17480, 2764, 156, -3029, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17519, 2758, 158, -3013, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17559, 2789, 151, -3056, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17599, 2760, 177, -3019, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17638, 2769, 152, -3008, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17678, 2787, 150, -3030, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17718, 2771, 174, -3001, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17758, 2784, 156, -3007, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17794, 2774, 132, -3020, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17830, 2786, 131, -2999, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17867, 2775, 129, -3040, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17903, 2781, 134, -2999, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17939, 2802, 152, -3015, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
17976, 2790, 185, -3014, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18012, 2807, 163, -3008, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18048, 2792, 140, -2993, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18085, 2789, 160, -3017, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18121, 2795, 143, -3016, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18158, 2793, 163, -2999, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18201, 2810, 145, -2993, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18244, 2783, 176, -3005, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18288, 2787, 149, -3006, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18331, 2783, 142, -2996, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18375, 2798, 148, -2993, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18418, 2835, 150, -3029, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18461, 2750, 179, -2991, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18505, 2788, 166, -3010, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18548, 2789, 152, -3017, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18592, 2793, 175, -2985, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18627, 2790, 156, -3031, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18663, 2789, 149, -3018, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18699, 2783, 134, -3026, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18735, 2764, 198, -3039, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18771, 2792, 168, -3003, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18807, 2779, 164, -3035, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18843, 2781, 166, -3039, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18879, 2768, 153, -3020, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18915, 2749, 185, -3052, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18951, 2762, 156, -3028, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
18986, 2752, 165, -3009, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
19022, 2754, 187, -3049, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
19057, 2764, 184, -3037, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
19093, 2774, 169, -3036, , 07620555-51e4-4159-84eb-a54116090787, , ruku, ruku, , 
