234701, 3325, -928, -2305, 93, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235468, 3349, -986, -2265, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235506, 3286, -1013, -2325, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235544, 3253, -923, -2264, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235583, 3256, -1015, -2276, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235621, 3337, -1017, -2294, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235659, 3278, -927, -2283, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235698, 3287, -941, -2319, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235736, 3296, -1024, -2212, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235774, 3314, -919, -2285, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235813, 3324, -921, -2258, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235851, 3270, -995, -2297, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235889, 3313, -947, -2297, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235928, 3280, -970, -2299, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
235967, 3243, -921, -2268, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236007, 3330, -996, -2285, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236046, 3256, -828, -2245, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236086, 3319, -979, -2300, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236126, 3297, -1041, -2272, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236165, 3301, -1032, -2264, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236205, 3294, -952, -2301, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236244, 3281, -952, -2258, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236284, 3270, -944, -2266, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236324, 3279, -948, -2293, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236363, 3264, -938, -2228, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236403, 3342, -946, -2259, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236443, 3344, -1065, -2256, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236480, 3317, -894, -2268, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236518, 3278, -949, -2274, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236555, 3316, -1002, -2237, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236593, 3315, -976, -2247, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236630, 3286, -988, -2286, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236668, 3244, -865, -2267, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236705, 3297, -900, -2311, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236743, 3317, -1071, -2224, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236780, 3347, -968, -2244, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236818, 3347, -1040, -2237, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236855, 3320, -968, -2251, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236893, 3312, -1007, -2275, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236931, 3253, -873, -2257, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
236969, 3297, -1012, -2284, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237007, 3300, -990, -2237, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237045, 3313, -998, -2271, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237083, 3287, -981, -2245, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237121, 3267, -979, -2236, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237159, 3337, -926, -2275, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237197, 3303, -987, -2215, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237235, 3306, -1001, -2253, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237273, 3292, -976, -2250, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237311, 3316, -951, -2295, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237349, 3349, -1036, -2232, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237387, 3314, -931, -2252, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237426, 3287, -1008, -2252, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237465, 3308, -933, -2223, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237505, 3320, -939, -2242, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237545, 3348, -961, -2212, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237584, 3368, -917, -2248, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237624, 3338, -957, -2255, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
237664, 3300, -927, -2233, 94, bfad8658-3f98-4fb8-b483-e9952cd7964b, , ruku, ruku, , 
