104283, 2668, -1826, -2448, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106380, 2743, -1910, -2383, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106416, 2753, -1943, -2398, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106453, 2750, -1915, -2381, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106489, 2759, -1924, -2405, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106525, 2768, -1932, -2366, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106562, 2772, -1935, -2385, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106598, 2783, -1915, -2392, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106634, 2762, -1893, -2380, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106671, 2750, -1916, -2369, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106707, 2784, -1925, -2360, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106743, 2772, -1932, -2385, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106780, 2774, -1903, -2383, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106816, 2771, -1920, -2361, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106852, 2771, -1918, -2380, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106889, 2785, -1924, -2343, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106925, 2780, -1911, -2373, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106962, 2776, -1931, -2377, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107002, 2784, -1920, -2349, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107043, 2793, -1905, -2377, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107083, 2754, -1927, -2360, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107124, 2753, -1911, -2363, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107164, 2800, -1922, -2356, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107205, 2789, -1926, -2361, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107245, 2777, -1930, -2352, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107286, 2777, -1895, -2373, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107326, 2803, -1918, -2349, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107367, 2780, -1932, -2363, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107409, 2772, -1918, -2371, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107451, 2795, -1895, -2382, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107493, 2804, -1913, -2352, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107535, 2772, -1937, -2352, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107577, 2801, -1899, -2347, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107619, 2790, -1892, -2361, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107661, 2832, -1930, -2334, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107703, 2798, -1913, -2346, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107745, 2813, -1920, -2342, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107787, 2814, -1918, -2327, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107821, 2801, -1907, -2345, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107855, 2803, -1909, -2326, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107889, 2845, -1924, -2319, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
107923, 2821, -1897, -2337, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
