71532, 3296, -1190, -2056, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72562, 3455, -1057, -1994, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72601, 3493, -1009, -1963, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72639, 3430, -1015, -2009, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72678, 3432, -1062, -2001, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72717, 3446, -1048, -1977, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72756, 3442, -1050, -1983, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72797, 3428, -1038, -2010, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72838, 3434, -1039, -1983, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72879, 3492, -1025, -1955, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72920, 3459, -1033, -1998, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
72961, 3493, -1019, -1968, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73002, 3431, -1066, -1972, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73043, 3422, -1029, -1989, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73084, 3485, -1062, -1976, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73125, 3494, -1019, -1945, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73167, 3459, -1020, -1997, 60, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73207, 3459, -1044, -2019, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73248, 3432, -1022, -2032, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73289, 3522, -1030, -1960, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73330, 3425, -1060, -1963, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73371, 3488, -1002, -1978, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73412, 3463, -1029, -1954, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73453, 3468, -1067, -1944, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73494, 3463, -1026, -1928, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73535, 3491, -1004, -1963, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73576, 3474, -1033, -1950, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73617, 3495, -1041, -1943, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73650, 3484, -1056, -1934, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73684, 3485, -1043, -1957, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73718, 3489, -1026, -1932, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73751, 3501, -1040, -1919, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73785, 3492, -1020, -1930, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73819, 3513, -1027, -1922, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73852, 3503, -1034, -1945, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73886, 3500, -1038, -1930, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73920, 3517, -1041, -1921, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73954, 3467, -1040, -1934, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
73993, 3492, -1026, -1940, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
74033, 3492, -1031, -1932, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
74072, 3493, -1016, -1901, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
74112, 3561, -1048, -1919, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
74151, 3672, -983, -1857, 57, 9065fcae-0510-47f5-87a5-5b1aa5371743, , ruku, ruku, , 
