85475, 3737, -640, -2590, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86420, 2696, -1235, -2704, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86458, 2779, -1398, -2777, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86496, 2755, -1474, -2833, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86534, 2749, -1392, -2950, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86572, 2720, -1272, -2905, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86609, 2626, -1311, -2839, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86647, 2536, -1291, -2838, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86685, 2623, -1422, -2892, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86723, 2599, -1212, -2923, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86761, 2613, -1160, -2843, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86799, 2631, -1215, -2749, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86838, 2620, -1423, -2677, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86878, 2654, -1858, -2795, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86917, 2610, -1959, -3081, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86957, 2677, -1598, -3142, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
86997, 2674, -1332, -2826, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87036, 2665, -1277, -2756, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87076, 2610, -1527, -2818, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87115, 2629, -1495, -2788, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87155, 2618, -1515, -2761, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87195, 2659, -1440, -2556, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87233, 2753, -1564, -2905, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87271, 2638, -1554, -2870, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87309, 2653, -1494, -2874, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87348, 2700, -1399, -2752, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87386, 2709, -1503, -2742, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87424, 2669, -1537, -2719, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87463, 2660, -1464, -2746, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87501, 2663, -1494, -2765, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87539, 2667, -1512, -2754, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87578, 2679, -1465, -2744, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87616, 2691, -1478, -2727, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87654, 2687, -1514, -2751, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87692, 2672, -1496, -2736, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87731, 2700, -1478, -2734, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87769, 2697, -1480, -2727, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87807, 2685, -1481, -2752, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87845, 2697, -1504, -2722, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87884, 2725, -1436, -2746, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87922, 2673, -1467, -2746, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87960, 2709, -1483, -2709, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
87999, 2768, -1496, -2716, 107, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88038, 2710, -1497, -2736, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88078, 2726, -1499, -2723, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88117, 2706, -1482, -2701, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88157, 2718, -1484, -2705, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88196, 2714, -1492, -2698, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88236, 2726, -1514, -2708, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88275, 2729, -1512, -2692, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88315, 2753, -1489, -2692, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88354, 2701, -1437, -2700, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88394, 2712, -1508, -2682, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88429, 2724, -1504, -2681, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88464, 2728, -1486, -2703, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88499, 2769, -1467, -2672, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88534, 2782, -1479, -2690, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88569, 2739, -1458, -2707, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88604, 2787, -1483, -2668, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88639, 2755, -1412, -2694, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88674, 2788, -1493, -2677, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88709, 2763, -1485, -2696, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88744, 2775, -1464, -2675, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88780, 2805, -1431, -2670, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88822, 2840, -1460, -2659, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
88864, 2844, -1459, -2626, 108, 4af02f2d-b920-44a6-8505-01d638e64e60, , ruku, ruku, , 
