231934, 3416, -262, -2461, 99, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234591, 3451, -354, -2152, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234627, 3504, -353, -2167, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234663, 3493, -380, -2156, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234699, 3496, -352, -2114, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234735, 3500, -352, -2138, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234774, 3507, -358, -2170, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234813, 3469, -352, -2152, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234852, 3504, -349, -2135, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234891, 3478, -362, -2175, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234930, 3493, -331, -2140, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
234969, 3469, -372, -2144, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235008, 3493, -341, -2188, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235047, 3479, -340, -2136, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235086, 3519, -354, -2162, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235125, 3510, -367, -2159, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235162, 3513, -343, -2123, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235199, 3498, -374, -2110, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235236, 3477, -348, -2166, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235273, 3479, -390, -2152, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235310, 3468, -344, -2144, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235347, 3483, -361, -2127, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235384, 3523, -375, -2145, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235421, 3481, -366, -2202, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235458, 3464, -378, -2105, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235495, 3532, -378, -2139, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235533, 3497, -351, -2112, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235573, 3505, -397, -2131, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235613, 3515, -376, -2138, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235653, 3502, -390, -2116, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235694, 3492, -386, -2149, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235734, 3476, -375, -2137, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235774, 3479, -386, -2148, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235815, 3464, -388, -2133, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235855, 3476, -406, -2138, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235895, 3503, -404, -2129, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235936, 3539, -383, -2138, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
235974, 3486, -402, -2111, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236013, 3501, -412, -2142, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236052, 3489, -402, -2129, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236091, 3499, -348, -2124, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236130, 3528, -393, -2137, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236169, 3498, -399, -2155, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236208, 3498, -408, -2137, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236247, 3476, -411, -2144, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236286, 3471, -374, -2135, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236325, 3469, -385, -2166, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236363, 3474, -406, -2147, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236402, 3492, -429, -2129, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236440, 3501, -441, -2137, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236479, 3499, -397, -2167, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236518, 3493, -391, -2197, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
236556, 3472, -407, -2195, 98, 5525b124-812c-4d80-a8db-41c77461719a, , ruku, ruku, , 
