56970, 3410, -861, -1783, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57790, 3360, -1157, -2043, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57832, 3368, -1144, -2069, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57873, 3365, -1152, -2057, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57915, 3370, -1193, -2026, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57956, 3366, -1225, -2036, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
57998, 3380, -1202, -2047, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58040, 3394, -1183, -2049, 49, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58075, 3369, -1171, -2053, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58111, 3399, -1148, -2046, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58147, 3389, -1172, -2042, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58182, 3400, -1193, -2011, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58218, 3376, -1191, -2034, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58254, 3360, -1162, -2035, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58290, 3376, -1183, -2039, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58325, 3374, -1183, -2051, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58361, 3405, -1180, -2020, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58397, 3397, -1196, -2009, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58433, 3425, -1185, -2025, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58472, 3425, -1181, -2020, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58512, 3389, -1159, -2022, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58552, 3408, -1191, -2017, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58592, 3385, -1167, -2033, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58632, 3365, -1200, -2027, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58672, 3384, -1176, -2014, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58712, 3412, -1165, -2011, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58752, 3431, -1156, -1995, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58792, 3419, -1189, -2000, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58832, 3365, -1159, -2012, 50, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58875, 3433, -1154, -2009, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58918, 3413, -1142, -2012, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
58962, 3429, -1167, -2000, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
59005, 3391, -1168, -2001, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
59049, 3389, -1161, -2003, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
59092, 3400, -1163, -2006, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
59135, 3416, -1164, -1998, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
59179, 3431, -1163, -1974, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
59222, 3409, -1178, -1975, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
59266, 3431, -1160, -1989, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
59298, 3401, -1159, -1987, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
59331, 3451, -1171, -1997, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
59364, 3460, -1181, -1967, 51, 5c408a6c-2fd3-4733-9765-7a644defb577, , ruku, ruku, , 
