86475, 3945, 493, -1312, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87925, 3921, -60, -1562, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87961, 3804, 181, -1494, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88005, 3715, 276, -1485, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88050, 3898, 281, -1423, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88095, 3905, 159, -1519, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88140, 3911, 205, -1541, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88185, 3928, 161, -1533, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88230, 3872, 117, -1466, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88275, 3826, 217, -1507, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88320, 3873, 337, -1377, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88365, 3924, 427, -1301, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88410, 3906, 224, -1400, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88444, 3918, 147, -1437, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88478, 3899, 161, -1436, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88512, 3850, 203, -1449, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88546, 3871, 199, -1430, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88580, 3849, 200, -1412, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88614, 3916, 257, -1441, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88648, 3874, 219, -1402, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88682, 3883, 228, -1410, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88716, 3921, 266, -1388, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88750, 3864, 283, -1391, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88785, 3853, 212, -1373, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88827, 3894, 234, -1437, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88869, 3820, 191, -1450, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88911, 3846, 204, -1417, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88953, 3824, 241, -1359, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
88996, 3872, 203, -1400, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89038, 3869, 225, -1393, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89080, 3886, 235, -1384, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89122, 3874, 254, -1367, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89164, 3883, 280, -1365, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89207, 3908, 217, -1394, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89243, 3841, 202, -1340, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89280, 3931, 221, -1380, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89317, 3912, 243, -1338, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89353, 3875, 207, -1389, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89390, 3874, 262, -1378, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89427, 3834, 216, -1397, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89464, 3839, 263, -1462, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89500, 3896, 150, -1316, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89537, 3919, 210, -1313, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89574, 3952, 237, -1334, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89611, 3916, 269, -1386, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89647, 3860, 233, -1406, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89683, 3845, 180, -1495, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
89719, 3840, 231, -1570, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
