109624, 3257, -297, -2127, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111903, 3238, -423, -2529, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111940, 3200, -427, -2516, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
111978, 3238, -420, -2513, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
112016, 3232, -415, -2511, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
112054, 3244, -442, -2508, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
112092, 3210, -435, -2488, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
112130, 3211, -469, -2522, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
112168, 3245, -434, -2496, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
112207, 3241, -390, -2495, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
112245, 3267, -429, -2501, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
112283, 3282, -459, -2490, 73, 57e19c2e-e215-4dd2-b057-4d8a254c9dfd, , ruku, ruku, , 
