182477, 3253, -527, -2576, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184356, 3133, -332, -2638, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184398, 3122, -334, -2630, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184433, 3149, -364, -2634, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184469, 3161, -392, -2621, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184505, 3136, -355, -2644, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184540, 3146, -330, -2638, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184576, 3134, -365, -2643, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184612, 3097, -329, -2666, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184648, 3139, -329, -2648, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184683, 3131, -331, -2657, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184719, 3136, -300, -2644, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184755, 3126, -329, -2648, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184791, 3114, -353, -2647, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184831, 3153, -348, -2655, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184871, 3130, -316, -2654, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184911, 3138, -312, -2660, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184951, 3142, -274, -2637, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184992, 3121, -276, -2648, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185032, 3134, -300, -2643, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185072, 3116, -317, -2648, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185112, 3151, -316, -2661, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185152, 3134, -316, -2672, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185193, 3094, -304, -2633, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185228, 3148, -307, -2656, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185264, 3130, -356, -2630, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185300, 3124, -320, -2659, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185335, 3155, -334, -2638, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185371, 3152, -263, -2664, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185407, 3182, -284, -2646, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185443, 3203, -346, -2583, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185478, 3205, -267, -2648, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185514, 3182, -361, -2632, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185550, 3254, -332, -2659, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185586, 3208, -392, -2663, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
185626, 3284, -305, -2670, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
