148374, 3339, -597, -2362, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149387, 3307, -493, -2419, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149420, 3316, -443, -2425, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149454, 3254, -465, -2453, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149487, 3268, -500, -2393, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149521, 3270, -551, -2394, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149560, 3306, -466, -2436, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149600, 3304, -445, -2384, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149640, 3307, -503, -2439, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149680, 3308, -503, -2397, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149720, 3261, -539, -2419, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149759, 3293, -521, -2402, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149799, 3298, -542, -2429, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149839, 3340, -463, -2340, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149879, 3281, -539, -2379, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149919, 3335, -489, -2434, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149958, 3297, -561, -2383, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149998, 3302, -544, -2379, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150038, 3275, -524, -2377, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150078, 3307, -514, -2433, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150118, 3328, -521, -2374, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150158, 3315, -546, -2402, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150198, 3309, -544, -2411, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150238, 3294, -517, -2400, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150278, 3302, -556, -2391, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150318, 3273, -533, -2410, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150358, 3318, -530, -2401, 112, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150394, 3283, -546, -2373, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150431, 3324, -497, -2418, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150467, 3276, -523, -2368, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150504, 3288, -549, -2419, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150540, 3280, -548, -2411, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150577, 3281, -501, -2392, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150613, 3332, -507, -2393, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150650, 3313, -527, -2381, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150686, 3307, -556, -2409, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150723, 3290, -571, -2447, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150761, 3262, -488, -2381, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150800, 3300, -491, -2415, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150839, 3299, -523, -2438, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150878, 3296, -557, -2364, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150917, 3306, -508, -2398, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150956, 3316, -485, -2406, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
150995, 3283, -522, -2391, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151034, 3293, -501, -2405, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151073, 3303, -485, -2392, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151112, 3267, -511, -2411, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151151, 3286, -505, -2406, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151187, 3265, -511, -2444, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151224, 3300, -503, -2397, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151261, 3279, -528, -2397, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151297, 3284, -510, -2421, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151334, 3327, -499, -2395, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151371, 3325, -459, -2361, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151407, 3335, -500, -2423, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151444, 3286, -520, -2389, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151481, 3298, -477, -2403, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151518, 3296, -499, -2386, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151562, 3305, -517, -2383, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151607, 3320, -495, -2404, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151652, 3304, -526, -2413, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151697, 3323, -488, -2387, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151742, 3312, -516, -2357, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151786, 3299, -481, -2397, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151831, 3336, -483, -2368, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151876, 3305, -483, -2389, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151921, 3311, -487, -2402, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151966, 3291, -469, -2384, 111, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
151999, 3332, -457, -2401, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152033, 3288, -455, -2385, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152066, 3326, -509, -2405, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152100, 3326, -474, -2413, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152133, 3323, -458, -2364, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152167, 3310, -430, -2415, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152200, 3308, -479, -2422, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152234, 3293, -482, -2386, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152267, 3281, -470, -2418, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152301, 3276, -503, -2397, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152335, 3273, -465, -2409, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152376, 3311, -508, -2400, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152418, 3288, -487, -2403, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152460, 3334, -505, -2397, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152502, 3286, -494, -2419, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152544, 3284, -493, -2448, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152586, 3288, -484, -2424, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152628, 3298, -472, -2439, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152670, 3275, -493, -2412, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152712, 3304, -490, -2404, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152754, 3303, -477, -2412, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152788, 3308, -489, -2418, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152823, 3272, -511, -2410, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152857, 3295, -509, -2446, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152892, 3288, -493, -2375, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152926, 3296, -465, -2446, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152961, 3293, -474, -2414, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
152995, 3276, -491, -2412, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
153030, 3309, -465, -2417, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
153064, 3266, -474, -2389, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
153099, 3321, -490, -2399, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
153134, 3265, -500, -2412, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
153172, 3292, -499, -2396, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
153211, 3308, -488, -2419, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
153249, 3312, -484, -2400, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
153288, 3304, -506, -2395, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
153327, 3322, -499, -2403, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
153365, 3288, -472, -2389, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
153404, 3324, -496, -2406, 110, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
