337794, 3235, 116, -2519, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339413, 3329, 196, -2407, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339448, 3326, 175, -2411, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339483, 3323, 247, -2426, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339518, 3346, 172, -2412, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339553, 3284, 143, -2435, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339588, 3319, 211, -2423, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339623, 3283, 175, -2437, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339661, 3318, 164, -2437, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339700, 3300, 136, -2405, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339738, 3270, 229, -2429, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339777, 3343, 183, -2421, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
