44184, 2759, -1478, -2640, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45413, 2797, -1469, -2651, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45448, 2786, -1455, -2661, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45483, 2792, -1449, -2643, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45518, 2764, -1474, -2653, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45552, 2771, -1484, -2660, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45587, 2781, -1456, -2658, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45622, 2785, -1482, -2636, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45657, 2808, -1465, -2655, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45692, 2802, -1461, -2636, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45727, 2823, -1463, -2626, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45767, 2799, -1517, -2633, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45808, 2790, -1440, -2644, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45848, 2775, -1469, -2669, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45889, 2789, -1480, -2656, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45929, 2760, -1491, -2645, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
45970, 2770, -1457, -2648, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46010, 2774, -1486, -2663, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46051, 2791, -1475, -2650, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46091, 2782, -1432, -2671, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46132, 2777, -1446, -2660, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46172, 2765, -1483, -2657, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46213, 2795, -1497, -2636, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46254, 2800, -1460, -2675, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46295, 2794, -1481, -2660, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46336, 2783, -1474, -2659, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46376, 2747, -1434, -2661, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46417, 2798, -1456, -2662, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46458, 2791, -1467, -2650, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46499, 2777, -1478, -2632, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46540, 2794, -1479, -2640, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46576, 2794, -1446, -2664, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46613, 2813, -1448, -2655, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46649, 2787, -1478, -2650, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46686, 2777, -1475, -2664, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46722, 2772, -1479, -2640, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46759, 2762, -1469, -2659, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46795, 2801, -1497, -2640, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46832, 2777, -1488, -2629, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46868, 2797, -1490, -2650, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46905, 2819, -1468, -2631, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46942, 2782, -1478, -2655, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
46981, 2776, -1480, -2626, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47020, 2803, -1478, -2623, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47059, 2779, -1493, -2654, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47098, 2788, -1487, -2650, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47137, 2788, -1474, -2654, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47176, 2802, -1471, -2649, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47215, 2811, -1490, -2662, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47254, 2772, -1471, -2635, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47293, 2790, -1473, -2642, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47333, 2805, -1494, -2632, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47370, 2786, -1480, -2625, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47407, 2782, -1453, -2669, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47444, 2781, -1489, -2649, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47482, 2778, -1501, -2626, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47519, 2783, -1468, -2655, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47556, 2788, -1463, -2649, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47593, 2783, -1479, -2643, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47631, 2791, -1478, -2623, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47668, 2804, -1459, -2660, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47705, 2807, -1481, -2654, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47743, 2803, -1485, -2623, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47781, 2796, -1491, -2642, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47820, 2802, -1497, -2630, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47859, 2782, -1483, -2648, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47898, 2769, -1466, -2625, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47937, 2787, -1475, -2625, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
47975, 2793, -1446, -2652, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48014, 2777, -1482, -2646, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48053, 2784, -1491, -2628, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48092, 2799, -1434, -2638, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48131, 2810, -1508, -2600, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48171, 2798, -1485, -2633, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48211, 2787, -1447, -2653, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48251, 2797, -1478, -2634, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48291, 2792, -1520, -2636, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48331, 2776, -1474, -2638, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48371, 2778, -1474, -2633, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48411, 2779, -1480, -2647, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48451, 2795, -1486, -2605, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48491, 2820, -1480, -2651, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48531, 2801, -1453, -2647, 100, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48569, 2806, -1491, -2630, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48607, 2816, -1491, -2632, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48645, 2815, -1460, -2638, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48683, 2800, -1490, -2638, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48721, 2795, -1476, -2625, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48759, 2786, -1470, -2620, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48797, 2801, -1476, -2628, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48835, 2793, -1499, -2616, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48873, 2797, -1478, -2641, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48911, 2791, -1496, -2622, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48949, 2817, -1491, -2619, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
48986, 2787, -1460, -2655, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49024, 2801, -1483, -2653, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49062, 2749, -1511, -2681, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49100, 2883, -1404, -2694, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49138, 2839, -1532, -2602, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49175, 2805, -1465, -2642, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49213, 2808, -1486, -2632, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49251, 2774, -1489, -2650, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49289, 2774, -1500, -2640, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49327, 2798, -1500, -2637, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49367, 2772, -1503, -2656, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49408, 2777, -1495, -2653, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49448, 2778, -1479, -2664, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49489, 2778, -1519, -2660, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49529, 2763, -1500, -2630, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49570, 2769, -1494, -2669, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49610, 2790, -1504, -2634, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49651, 2788, -1499, -2627, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49691, 2822, -1520, -2682, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
49732, 2789, -1527, -2638, 101, 87affa9f-0e8a-494a-b868-ff9e018abfd9, , ruku, ruku, , 
