261592, 3109, -1452, -2255, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262296, 3168, -1524, -2166, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262333, 3124, -1550, -2148, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262371, 3096, -1581, -2202, 81, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262409, 3142, -1549, -2176, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262448, 3171, -1580, -2150, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262487, 3125, -1561, -2175, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262526, 3115, -1563, -2151, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262565, 3113, -1562, -2170, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262604, 3163, -1578, -2171, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262643, 3122, -1578, -2187, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262682, 3176, -1547, -2186, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262721, 3122, -1576, -2167, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262760, 3117, -1574, -2154, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262795, 3171, -1614, -2135, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262831, 3127, -1577, -2124, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262867, 3123, -1580, -2178, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262902, 3169, -1549, -2214, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262938, 3162, -1591, -2162, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
262974, 3113, -1552, -2211, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263010, 3120, -1571, -2204, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263045, 3132, -1570, -2172, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263081, 3169, -1590, -2145, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263117, 3136, -1580, -2142, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263153, 3141, -1581, -2142, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263197, 3118, -1578, -2169, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263242, 3136, -1560, -2163, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263286, 3142, -1558, -2162, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263331, 3135, -1570, -2134, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263375, 3151, -1595, -2160, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263420, 3164, -1557, -2132, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263464, 3167, -1562, -2159, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263509, 3138, -1572, -2150, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263553, 3160, -1571, -2127, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263598, 3170, -1551, -2127, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263634, 3203, -1582, -2104, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263671, 3126, -1548, -2142, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263707, 3149, -1508, -2160, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263744, 3193, -1558, -2137, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263781, 3173, -1552, -2127, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263817, 3190, -1557, -2130, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263854, 3158, -1520, -2129, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263890, 3183, -1551, -2107, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263927, 3156, -1534, -2117, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
263964, 3194, -1535, -2114, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
264000, 3206, -1509, -2118, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
264037, 3231, -1550, -2083, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
264074, 3195, -1501, -2099, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
264111, 3187, -1539, -2126, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
264148, 3199, -1536, -2112, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
264184, 3213, -1527, -2108, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
264221, 3189, -1527, -2109, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
264258, 3191, -1522, -2097, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
264295, 3202, -1513, -2116, 82, c51b52a1-5043-474e-9d9d-f39a972ff0a2, , ruku, ruku, , 
