228492, 3046, -1608, -2219, 74, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230239, 3114, -1644, -2115, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230274, 3138, -1624, -2149, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230309, 3105, -1641, -2104, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230344, 3150, -1609, -2162, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230379, 3120, -1607, -2114, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230415, 3156, -1639, -2126, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230453, 3157, -1621, -2096, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230491, 3129, -1580, -2124, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230530, 3152, -1592, -2135, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230568, 3160, -1601, -2104, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230607, 3169, -1622, -2106, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230645, 3150, -1604, -2105, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230684, 3147, -1598, -2108, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230722, 3187, -1609, -2095, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230761, 3138, -1606, -2078, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230799, 3150, -1641, -2090, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230838, 3220, -1616, -2100, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230879, 3163, -1585, -2109, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230921, 3183, -1621, -2098, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230962, 3157, -1634, -2065, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231004, 3163, -1626, -2100, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231046, 3166, -1592, -2077, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231087, 3165, -1614, -2075, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231129, 3151, -1654, -2086, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231170, 3158, -1647, -2074, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231212, 3166, -1608, -2088, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231254, 3165, -1616, -2089, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231292, 3149, -1616, -2090, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231330, 3176, -1616, -2080, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231368, 3187, -1643, -2075, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231406, 3130, -1612, -2064, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231444, 3168, -1642, -2089, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231482, 3182, -1588, -2091, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231520, 3191, -1598, -2076, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231558, 3175, -1601, -2091, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231596, 3156, -1616, -2087, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231635, 3189, -1620, -2054, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231669, 3182, -1603, -2072, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231704, 3172, -1581, -2102, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231738, 3172, -1613, -2050, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231773, 3191, -1614, -2073, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231807, 3191, -1594, -2084, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231842, 3163, -1627, -2059, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231876, 3170, -1590, -2076, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231911, 3172, -1595, -2107, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231945, 3193, -1641, -2074, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
231980, 3178, -1590, -2102, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232015, 3166, -1594, -2131, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232057, 3178, -1605, -2084, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232100, 3180, -1605, -2077, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232142, 3175, -1590, -2099, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232185, 3162, -1583, -2089, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232227, 3167, -1583, -2125, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232270, 3150, -1617, -2089, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232312, 3164, -1620, -2090, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232355, 3169, -1571, -2117, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232397, 3175, -1605, -2116, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232440, 3181, -1586, -2123, 72, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232474, 3156, -1569, -2120, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232508, 3176, -1617, -2099, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232542, 3148, -1579, -2109, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232576, 3179, -1592, -2145, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232610, 3163, -1599, -2081, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232645, 3181, -1603, -2096, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232679, 3181, -1589, -2091, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232713, 3167, -1591, -2082, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232747, 3118, -1562, -2095, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232781, 3153, -1646, -2085, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232816, 3175, -1597, -2095, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232857, 3160, -1506, -2129, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232899, 3159, -1542, -2163, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232941, 3166, -1610, -2105, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
232983, 3163, -1603, -2118, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233025, 3148, -1565, -2107, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233066, 3142, -1587, -2118, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233108, 3189, -1596, -2103, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233150, 3154, -1620, -2128, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233192, 3179, -1545, -2144, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233234, 3185, -1578, -2133, 70, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233279, 3132, -1577, -2139, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233324, 3173, -1621, -2104, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233369, 3156, -1583, -2117, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233415, 3143, -1585, -2103, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233460, 3159, -1562, -2134, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233505, 3181, -1558, -2111, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233551, 3175, -1527, -2127, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233596, 3164, -1591, -2128, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233641, 3172, -1592, -2094, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233687, 3179, -1565, -2123, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233719, 3184, -1548, -2097, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233752, 3198, -1594, -2100, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233785, 3172, -1578, -2113, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233818, 3183, -1574, -2108, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233851, 3148, -1548, -2114, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
233884, 3199, -1524, -2127, 68, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
