397161, 2881, -1223, -2661, 82, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398711, 2896, -1211, -2674, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398745, 2901, -1225, -2670, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398780, 2888, -1218, -2657, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398815, 2905, -1241, -2658, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398857, 2895, -1224, -2652, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398899, 2878, -1226, -2662, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398942, 2873, -1260, -2662, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
398984, 2893, -1277, -2653, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399026, 2889, -1238, -2645, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399069, 2895, -1231, -2672, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399111, 2878, -1251, -2665, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399153, 2893, -1255, -2644, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399196, 2876, -1229, -2678, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399238, 2879, -1241, -2640, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399281, 2895, -1237, -2676, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399314, 2864, -1227, -2683, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399347, 2885, -1253, -2659, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399381, 2917, -1298, -2628, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399414, 2886, -1259, -2671, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399448, 2877, -1221, -2685, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399481, 2908, -1236, -2639, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399514, 2860, -1290, -2653, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399548, 2883, -1227, -2674, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399581, 2859, -1229, -2683, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399615, 2907, -1253, -2651, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399654, 2880, -1251, -2651, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399694, 2887, -1242, -2655, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399733, 2886, -1208, -2665, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399773, 2881, -1225, -2645, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399813, 2904, -1247, -2659, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399852, 2897, -1221, -2660, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399892, 2891, -1211, -2661, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399932, 2921, -1270, -2627, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
399971, 2910, -1233, -2651, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400011, 2935, -1237, -2615, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400051, 2888, -1221, -2633, 81, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400089, 2906, -1238, -2648, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400128, 2930, -1233, -2626, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400167, 2930, -1230, -2627, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400206, 2903, -1256, -2613, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400245, 2924, -1193, -2643, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400284, 2941, -1189, -2632, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400323, 2952, -1253, -2608, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400362, 2938, -1228, -2612, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400401, 2927, -1223, -2611, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400440, 2929, -1214, -2590, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400477, 2939, -1194, -2619, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400514, 2922, -1222, -2594, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400552, 2942, -1270, -2588, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400589, 2963, -1224, -2612, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400627, 2941, -1237, -2601, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400664, 2949, -1255, -2585, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400701, 2951, -1228, -2594, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
400739, 2929, -1218, -2597, 79, 2b00f2c6-a2be-4b6e-80ea-9d35770d1802, , ruku, ruku, , 
