69821, 3509, -481, -2064, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71927, 3435, -582, -2211, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
71972, 3409, -594, -2196, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72006, 3410, -584, -2206, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72040, 3453, -573, -2218, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72074, 3385, -611, -2193, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72108, 3419, -580, -2225, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72142, 3388, -599, -2209, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72176, 3440, -570, -2211, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72210, 3431, -619, -2189, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72244, 3399, -609, -2223, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72278, 3422, -574, -2210, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72313, 3424, -619, -2213, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72350, 3425, -597, -2208, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72387, 3430, -606, -2194, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72424, 3403, -564, -2206, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72461, 3451, -608, -2189, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72498, 3430, -623, -2220, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72536, 3401, -594, -2157, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72573, 3443, -588, -2189, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72610, 3417, -575, -2173, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72647, 3443, -580, -2194, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72684, 3407, -559, -2189, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72722, 3418, -552, -2176, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72763, 3480, -557, -2171, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72805, 3453, -651, -2244, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72847, 3407, -627, -2160, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72889, 3441, -559, -2186, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72931, 3390, -613, -2180, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
72972, 3415, -615, -2169, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73014, 3415, -590, -2202, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73056, 3434, -631, -2178, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73098, 3420, -606, -2163, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73140, 3457, -577, -2187, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73175, 3420, -632, -2153, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73210, 3456, -616, -2189, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73245, 3446, -617, -2135, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73280, 3448, -600, -2178, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73315, 3497, -610, -2148, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73351, 3447, -627, -2144, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73386, 3471, -617, -2185, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73421, 3454, -603, -2191, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73456, 3431, -593, -2155, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73491, 3433, -610, -2183, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73527, 3441, -572, -2202, 74, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73566, 3434, -617, -2167, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73606, 3442, -607, -2180, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73645, 3429, -582, -2196, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73685, 3457, -610, -2168, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73725, 3406, -623, -2178, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73764, 3445, -582, -2170, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73804, 3436, -626, -2165, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73843, 3438, -573, -2187, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73883, 3420, -615, -2188, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73923, 3433, -590, -2186, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
73962, 3433, -618, -2174, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
74002, 3475, -655, -2223, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
74042, 3432, -647, -2203, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
74081, 3434, -629, -2147, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
74121, 3440, -574, -2177, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
74161, 3418, -575, -2163, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
74200, 3445, -584, -2185, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
74240, 3417, -662, -2168, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
74280, 3445, -611, -2199, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
74320, 3444, -602, -2163, 75, 9f8a33b4-a51d-428c-afcd-fe35f2544164, , ruku, ruku, , 
