511875, 2886, 516, -2628, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512848, 2993, 772, -2766, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512888, 2965, 845, -2726, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512928, 2957, 938, -2444, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
512968, 3011, 764, -2813, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513008, 3003, 736, -2852, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513048, 2996, 649, -2759, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513088, 3033, 662, -2707, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513128, 3008, 675, -2704, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513168, 3000, 784, -2708, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513208, 2978, 712, -2714, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513248, 3002, 731, -2648, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513289, 2998, 667, -2674, 74, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513327, 3039, 729, -2692, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513366, 2997, 863, -2716, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513405, 3002, 801, -2703, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513444, 2984, 742, -2667, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513483, 3021, 714, -2712, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513522, 3034, 692, -2711, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513561, 2984, 702, -2699, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513600, 2999, 727, -2714, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513639, 3012, 739, -2680, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513678, 3003, 741, -2711, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513717, 3021, 698, -2669, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513759, 3021, 685, -2699, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513802, 3017, 687, -2699, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513844, 3008, 698, -2702, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513887, 3012, 659, -2697, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513929, 3013, 724, -2702, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
513972, 3013, 720, -2707, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514014, 2982, 716, -2672, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514057, 3041, 739, -2678, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514099, 3023, 737, -2692, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514142, 3008, 682, -2690, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514174, 3003, 677, -2702, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514207, 3002, 723, -2674, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514240, 2989, 743, -2674, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514273, 3056, 681, -2681, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514306, 3034, 704, -2671, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514338, 3029, 706, -2668, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514371, 3054, 709, -2688, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514404, 3047, 707, -2662, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514437, 3010, 707, -2660, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514470, 3025, 717, -2678, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514503, 3038, 703, -2667, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514541, 3052, 713, -2649, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514580, 3056, 693, -2669, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514619, 3048, 717, -2648, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514658, 3034, 713, -2666, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514697, 3022, 721, -2664, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514736, 3042, 669, -2671, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514775, 3025, 650, -2676, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514814, 3034, 694, -2676, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514853, 3024, 704, -2660, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514892, 3064, 600, -2710, 75, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514933, 2978, 527, -2644, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
514974, 2970, 683, -2733, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515015, 3054, 737, -2727, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515056, 3034, 694, -2695, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515097, 3063, 644, -2676, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515138, 3024, 656, -2702, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515179, 3043, 612, -2751, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515220, 3020, 617, -2698, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515261, 3021, 612, -2713, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515303, 3013, 669, -2714, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515339, 3013, 603, -2739, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515375, 2977, 607, -2712, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515412, 3018, 625, -2708, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515448, 3009, 649, -2701, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515484, 3046, 630, -2708, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515521, 3016, 637, -2703, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515557, 3035, 635, -2706, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515593, 3007, 627, -2702, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515630, 3003, 653, -2711, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515666, 2996, 614, -2710, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515703, 3025, 650, -2706, 77, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515741, 3037, 668, -2692, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515780, 3038, 656, -2690, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515819, 3011, 597, -2693, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515858, 3008, 614, -2741, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515897, 3011, 642, -2702, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515936, 3012, 606, -2720, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
515975, 3014, 600, -2711, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516014, 3014, 590, -2718, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516053, 2992, 603, -2731, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516092, 3001, 639, -2710, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516129, 3004, 652, -2724, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516166, 3036, 632, -2709, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516204, 3015, 627, -2701, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516241, 3009, 622, -2724, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516278, 3024, 627, -2685, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516316, 3045, 634, -2713, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516353, 3024, 630, -2691, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516390, 3022, 629, -2704, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516428, 3015, 641, -2705, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516465, 3028, 634, -2675, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516503, 3043, 630, -2692, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516541, 3019, 619, -2694, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516579, 3023, 658, -2694, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516618, 3052, 675, -2691, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516656, 3024, 644, -2695, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516695, 3025, 632, -2699, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516733, 3029, 696, -2696, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516771, 3049, 654, -2687, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516810, 3053, 605, -2684, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516848, 3044, 665, -2673, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516887, 3042, 662, -2659, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516927, 3060, 626, -2677, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
516968, 3038, 653, -2665, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517008, 3067, 652, -2694, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517049, 3034, 646, -2672, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517090, 3041, 641, -2702, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517130, 2999, 683, -2668, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517171, 3060, 641, -2683, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517211, 3040, 640, -2651, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517252, 3075, 654, -2678, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517293, 3032, 647, -2676, 82, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517331, 3053, 644, -2668, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517370, 3051, 636, -2661, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517409, 3055, 670, -2671, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517447, 3034, 653, -2662, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517486, 3070, 640, -2682, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517525, 3026, 636, -2673, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517564, 3055, 657, -2697, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517602, 3046, 661, -2649, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517641, 3034, 667, -2659, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517680, 3040, 652, -2687, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517719, 3016, 644, -2679, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517755, 3044, 665, -2697, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
517792, 3070, 654, -2670, 83, efc1b617-f377-49ed-99c9-7b3ccf7c0e86, , ruku, ruku, , 
