207352, 3559, -743, -2004, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208292, 3642, -558, -1813, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208327, 3669, -603, -1864, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208362, 3616, -619, -1883, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208397, 3629, -655, -1826, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208432, 3635, -585, -1855, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208467, 3658, -636, -1822, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208503, 3637, -643, -1871, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208543, 3685, -627, -1875, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208583, 3593, -642, -1874, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208623, 3587, -574, -1952, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208663, 3554, -610, -1948, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208703, 3608, -596, -1935, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208743, 3628, -644, -1895, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208783, 3647, -616, -1886, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208823, 3600, -586, -1923, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208863, 3583, -688, -1860, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208903, 3579, -723, -1927, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208943, 3621, -644, -1872, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
208984, 3625, -621, -1913, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209025, 3633, -599, -1906, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209066, 3600, -563, -1900, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209107, 3584, -603, -1914, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209148, 3620, -611, -1898, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209189, 3632, -644, -1870, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209230, 3649, -667, -1872, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209271, 3575, -666, -1859, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209312, 3513, -695, -2088, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209353, 3627, -642, -1873, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209386, 3694, -594, -1838, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209420, 3676, -586, -1954, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209454, 3612, -610, -1864, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209488, 3621, -610, -1880, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209522, 3599, -563, -1897, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209556, 3612, -592, -1922, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209590, 3628, -590, -1846, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209624, 3675, -643, -1841, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209658, 3643, -650, -1868, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209692, 3605, -617, -1892, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209732, 3585, -568, -1867, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209773, 3538, -514, -1997, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209814, 3623, -530, -1959, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209855, 3621, -540, -1873, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209896, 3658, -615, -1912, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209937, 3563, -600, -1887, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
209978, 3575, -553, -1941, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210019, 3603, -573, -1925, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210060, 3614, -522, -1929, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210101, 3598, -535, -1917, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210142, 3601, -599, -1956, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210178, 3599, -615, -1942, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210215, 3585, -599, -1922, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210251, 3602, -599, -1939, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210288, 3588, -539, -1913, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210325, 3598, -651, -1958, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210361, 3582, -629, -1897, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210398, 3576, -644, -1919, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210434, 3600, -519, -1914, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210471, 3590, -507, -1906, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
210508, 3601, -529, -1952, 79, fd3f09e4-6c39-4ee7-b853-774f7820dfd6, , ruku, ruku, , 
