46530, 3097, -1292, -2403, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47215, 3128, -1224, -2349, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47254, 3132, -1231, -2386, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47294, 3133, -1230, -2359, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47333, 3039, -1225, -2395, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47373, 3131, -1316, -2364, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47412, 3148, -1231, -2336, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47452, 3163, -1241, -2329, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47491, 3190, -1193, -2379, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47531, 3150, -1243, -2364, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47570, 3117, -1213, -2374, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47610, 3128, -1246, -2370, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47650, 3112, -1288, -2321, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47690, 3116, -1234, -2361, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47730, 3139, -1219, -2376, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47770, 3151, -1283, -2330, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47810, 3128, -1224, -2358, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47850, 3161, -1282, -2327, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47890, 3178, -1220, -2333, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47930, 3215, -1257, -2296, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
47970, 3138, -1227, -2339, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48010, 3192, -1251, -2343, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48046, 3139, -1245, -2324, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48083, 3151, -1204, -2339, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48120, 3179, -1227, -2329, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48157, 3180, -1221, -2323, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48194, 3150, -1235, -2340, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48231, 3159, -1235, -2322, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48268, 3165, -1250, -2316, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48305, 3137, -1188, -2380, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48342, 3130, -1193, -2355, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48379, 3150, -1255, -2374, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48416, 3120, -1232, -2367, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48457, 3125, -1234, -2362, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48498, 3145, -1241, -2398, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48539, 3117, -1216, -2380, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48580, 3144, -1259, -2384, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48621, 3125, -1221, -2360, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48662, 3125, -1283, -2350, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48703, 3132, -1252, -2360, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48744, 3106, -1267, -2355, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48785, 3126, -1248, -2375, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48826, 3093, -1265, -2369, 74, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48863, 3122, -1274, -2382, 75, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48900, 3106, -1285, -2400, 75, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48937, 3102, -1257, -2386, 75, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
48974, 3115, -1233, -2395, 75, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
49011, 3143, -1270, -2384, 75, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
49048, 3100, -1244, -2369, 75, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
49085, 3112, -1252, -2366, 75, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
49122, 3145, -1240, -2385, 75, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
49159, 3128, -1248, -2379, 75, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
49196, 3101, -1248, -2375, 75, 66de88c7-9ef5-4bac-ab82-2a80dfb08fd4, , ruku, ruku, , 
