116085, 3557, -1005, -1642, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116843, 3400, -972, -2310, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116879, 3349, -964, -2263, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116916, 3304, -1146, -2234, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116953, 3253, -1144, -2240, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
116989, 3226, -1173, -2276, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117026, 3231, -1115, -2296, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117063, 3177, -1085, -2275, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117100, 3251, -1143, -2227, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117136, 3262, -1173, -2235, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117173, 3208, -1190, -2261, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117210, 3210, -1043, -2291, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117247, 3279, -1239, -2362, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117292, 3183, -1313, -2233, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117337, 3157, -1283, -2225, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117382, 3161, -1173, -2388, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117427, 3243, -1222, -2355, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117472, 3246, -1224, -2277, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117517, 3209, -1274, -2264, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117562, 3182, -1236, -2301, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117607, 3217, -1231, -2261, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117652, 3230, -1221, -2256, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117698, 3246, -1213, -2250, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117730, 3243, -1207, -2244, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117763, 3199, -1170, -2287, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117796, 3236, -1175, -2244, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117828, 3214, -1209, -2274, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117861, 3193, -1191, -2278, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117894, 3220, -1194, -2276, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117927, 3219, -1187, -2249, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117959, 3244, -1185, -2257, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
117992, 3237, -1194, -2251, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118025, 3207, -1175, -2272, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118058, 3234, -1209, -2250, 60, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118097, 3245, -1136, -2252, 62, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118136, 3254, -1186, -2236, 62, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118175, 3230, -1151, -2276, 62, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118214, 3252, -1197, -2274, 62, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118253, 3234, -1201, -2273, 62, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118292, 3171, -1132, -2284, 62, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118331, 3232, -1135, -2264, 62, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118370, 3228, -1207, -2265, 62, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118409, 3256, -1179, -2270, 62, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118448, 3235, -1182, -2263, 62, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118486, 3215, -1162, -2254, 66, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118524, 3254, -1185, -2303, 66, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118562, 3214, -1142, -2286, 66, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118601, 3219, -1142, -2250, 66, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118639, 3262, -1165, -2281, 66, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118677, 3223, -1168, -2266, 66, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118716, 3230, -1147, -2269, 66, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118754, 3250, -1159, -2267, 66, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118792, 3252, -1153, -2250, 66, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118831, 3339, -1133, -2228, 66, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
118866, 3343, -1109, -2233, 66, 7b16f942-69a7-48fd-ba73-f237848ef816, , ruku, ruku, , 
