234931, 3236, -1485, -2060, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236163, 3176, -1582, -2097, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236201, 3171, -1564, -2109, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236239, 3163, -1589, -2111, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236277, 3152, -1612, -2111, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236315, 3152, -1551, -2120, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236353, 3171, -1601, -2092, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236391, 3184, -1574, -2093, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236429, 3175, -1571, -2144, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236467, 3148, -1594, -2101, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236506, 3133, -1620, -2139, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236544, 3156, -1584, -2142, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236583, 3132, -1578, -2117, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236622, 3136, -1570, -2160, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236660, 3156, -1525, -2152, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236699, 3151, -1553, -2151, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236737, 3161, -1554, -2158, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236776, 3145, -1555, -2159, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236815, 3130, -1540, -2159, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236854, 3158, -1561, -2163, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236893, 3155, -1536, -2153, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236932, 3155, -1540, -2157, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236971, 3118, -1538, -2148, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237011, 3146, -1587, -2136, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237050, 3164, -1562, -2154, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237089, 3128, -1578, -2143, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237128, 3153, -1577, -2147, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237167, 3121, -1573, -2128, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237207, 3136, -1534, -2179, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237245, 3147, -1552, -2159, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237283, 3168, -1548, -2134, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237321, 3145, -1589, -2155, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237360, 3161, -1550, -2134, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237398, 3176, -1553, -2156, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237436, 3139, -1521, -2195, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237474, 3199, -1486, -2190, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237513, 3167, -1552, -2111, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237551, 3159, -1554, -2113, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237589, 3173, -1553, -2141, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237628, 3174, -1517, -2137, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237666, 3188, -1534, -2125, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237705, 3165, -1551, -2134, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237743, 3168, -1554, -2147, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237782, 3202, -1542, -2123, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237821, 3168, -1525, -2105, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237859, 3200, -1562, -2101, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237898, 3205, -1569, -2107, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237936, 3176, -1528, -2143, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
237975, 3190, -1517, -2130, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238014, 3146, -1551, -2104, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238051, 3194, -1539, -2125, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238089, 3191, -1546, -2105, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238126, 3195, -1538, -2138, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238164, 3158, -1533, -2157, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238202, 3150, -1512, -2157, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238239, 3165, -1524, -2149, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238277, 3150, -1521, -2143, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238315, 3164, -1532, -2146, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238352, 3167, -1520, -2138, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238390, 3159, -1552, -2135, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238428, 3183, -1553, -2144, 104, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238466, 3184, -1535, -2115, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238504, 3174, -1529, -2134, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238543, 3198, -1538, -2143, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238581, 3186, -1531, -2122, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238620, 3226, -1523, -2112, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238658, 3184, -1563, -2106, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238696, 3199, -1533, -2141, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238735, 3242, -1610, -2125, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238773, 3257, -1501, -2161, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238812, 3243, -1559, -2087, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238852, 3255, -1610, -2129, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
238892, 3279, -1586, -2222, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
