295633, 3229, -377, -2528, 93, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297549, 3371, -413, -2315, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297585, 3386, -398, -2316, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297622, 3368, -454, -2282, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297659, 3384, -396, -2328, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297696, 3391, -405, -2323, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297733, 3372, -390, -2307, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297769, 3396, -394, -2280, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297806, 3404, -436, -2293, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297843, 3416, -399, -2263, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297880, 3386, -437, -2249, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297917, 3388, -420, -2332, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297954, 3371, -444, -2275, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
297992, 3375, -438, -2263, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298029, 3409, -426, -2320, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298067, 3385, -391, -2274, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298104, 3424, -412, -2268, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298142, 3399, -422, -2290, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298179, 3421, -437, -2279, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298217, 3412, -431, -2266, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298254, 3428, -405, -2282, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298292, 3386, -430, -2233, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298330, 3416, -424, -2291, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298367, 3418, -435, -2210, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298404, 3426, -431, -2263, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298442, 3416, -398, -2230, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298479, 3421, -446, -2237, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298517, 3416, -428, -2250, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298554, 3391, -389, -2244, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298591, 3423, -420, -2305, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298629, 3445, -413, -2206, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298666, 3458, -419, -2200, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298704, 3419, -371, -2269, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298746, 3412, -389, -2231, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298788, 3456, -357, -2210, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298830, 3443, -340, -2197, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298872, 3442, -413, -2250, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298914, 3469, -366, -2185, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298956, 3458, -385, -2168, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
298998, 3462, -423, -2191, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299040, 3480, -349, -2185, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299082, 3457, -387, -2143, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299124, 3481, -353, -2191, 96, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299159, 3460, -387, -2185, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299195, 3458, -347, -2184, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299231, 3449, -382, -2198, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299267, 3451, -356, -2228, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299303, 3461, -378, -2203, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299338, 3485, -393, -2212, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299374, 3446, -389, -2157, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299410, 3469, -362, -2182, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299446, 3468, -414, -2216, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299482, 3462, -402, -2192, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299518, 3431, -364, -2200, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299556, 3458, -385, -2242, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299595, 3442, -382, -2220, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299634, 3412, -381, -2263, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299673, 3408, -400, -2223, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299712, 3453, -362, -2240, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299751, 3414, -381, -2212, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299790, 3447, -378, -2249, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299829, 3461, -358, -2216, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299868, 3458, -395, -2220, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299907, 3463, -393, -2236, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299949, 3446, -377, -2236, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
299992, 3453, -385, -2211, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
300034, 3472, -395, -2226, 97, c5220f5c-d043-44e1-a10f-346ea3634878, , ruku, ruku, , 
