300423, 141, 4158, -214, 81, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302039, 261, 4088, -365, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302086, 261, 4091, -381, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302119, 239, 4068, -392, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302153, 252, 4066, -363, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302186, 253, 4104, -380, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302220, 254, 4068, -396, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302254, 249, 4072, -389, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302287, 252, 4065, -394, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302321, 248, 4073, -414, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302355, 259, 4087, -413, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302388, 242, 4078, -413, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302422, 247, 4080, -397, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302456, 214, 4105, -423, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302491, 281, 4056, -389, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302526, 227, 4096, -494, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302561, 238, 4095, -442, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302597, 242, 4050, -395, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302632, 276, 4050, -338, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302667, 254, 4094, -397, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302703, 265, 4089, -402, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302738, 242, 4072, -393, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302773, 294, 4083, -408, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302809, 267, 4099, -362, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302849, 269, 4058, -368, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302890, 254, 4093, -415, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302931, 247, 4074, -456, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
302972, 223, 4080, -472, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303013, 235, 4073, -454, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303053, 251, 4057, -483, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303094, 210, 4067, -502, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303135, 249, 4043, -468, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303176, 219, 4056, -510, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303217, 242, 4058, -533, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303253, 222, 4072, -596, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303290, 246, 4064, -555, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303327, 228, 4020, -509, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303363, 261, 4065, -509, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303400, 265, 4080, -531, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303437, 291, 4090, -497, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303474, 264, 4072, -496, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303510, 278, 4054, -504, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303547, 254, 4018, -517, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303584, 259, 4082, -531, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303621, 279, 4083, -527, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303659, 252, 4040, -524, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303698, 287, 4063, -510, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303737, 269, 4060, -508, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303775, 271, 4053, -514, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303814, 237, 4045, -526, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303853, 278, 4040, -521, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303891, 237, 4078, -591, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303930, 275, 4078, -563, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
303969, 266, 4083, -512, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304008, 260, 4052, -513, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304050, 315, 3938, -402, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304093, 224, 4099, -580, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304135, 265, 4127, -589, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304178, 242, 4024, -556, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304221, 251, 4068, -540, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304263, 239, 4044, -567, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304306, 247, 4061, -559, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304348, 246, 4068, -580, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304391, 243, 4059, -573, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304434, 250, 4068, -585, 80, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304470, 215, 4025, -579, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304507, 250, 4056, -588, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304544, 267, 4047, -541, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304581, 224, 4073, -586, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304618, 219, 4045, -617, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304654, 247, 4045, -549, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304691, 237, 4060, -553, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304728, 225, 4049, -591, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304765, 229, 4036, -595, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304802, 231, 4052, -604, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304839, 215, 4058, -624, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304878, 251, 4024, -589, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304917, 244, 4050, -604, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304956, 243, 4036, -592, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
304995, 229, 4050, -605, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305034, 238, 4072, -589, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305073, 233, 4069, -621, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305112, 216, 4083, -612, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305151, 230, 4037, -613, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305190, 234, 4046, -598, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305229, 235, 4062, -612, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305264, 225, 4071, -622, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305300, 226, 4051, -582, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305335, 220, 4033, -545, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305371, 212, 4049, -621, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305406, 231, 4040, -622, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305442, 215, 4040, -633, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305477, 225, 4048, -650, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305513, 208, 4043, -638, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305548, 220, 4029, -648, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305584, 208, 4059, -642, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305620, 213, 4072, -658, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305658, 210, 4024, -673, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305696, 176, 4062, -685, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305734, 224, 4027, -711, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305773, 213, 4012, -693, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305811, 227, 4059, -676, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305849, 205, 4017, -711, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305888, 204, 4020, -748, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305926, 210, 4051, -734, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
305964, 199, 4025, -696, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306003, 215, 4022, -689, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306045, 222, 4034, -682, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306087, 198, 4046, -706, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306129, 194, 4011, -693, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306172, 209, 4045, -703, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306214, 207, 4052, -709, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306256, 208, 4034, -719, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306299, 204, 4016, -713, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306341, 207, 4031, -689, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306383, 194, 4047, -723, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306426, 203, 4042, -708, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306461, 250, 4050, -675, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306497, 206, 4031, -688, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306532, 181, 4036, -753, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306568, 194, 4039, -674, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306603, 183, 4011, -680, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306639, 212, 4038, -710, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306674, 233, 4050, -732, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306710, 218, 4041, -699, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306745, 181, 4044, -720, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306781, 167, 4019, -743, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306817, 211, 4023, -717, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306858, 215, 4056, -718, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306899, 197, 4037, -709, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306940, 190, 4035, -712, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
306981, 207, 4042, -723, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307022, 197, 4046, -733, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307063, 226, 4020, -695, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307104, 199, 4045, -741, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307145, 200, 4035, -753, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307186, 195, 4018, -717, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307228, 220, 4014, -693, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307263, 207, 4027, -730, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307299, 214, 4048, -711, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307335, 200, 4054, -728, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307371, 196, 4021, -713, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307407, 205, 4025, -714, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307443, 196, 4027, -712, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307479, 195, 4035, -737, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307515, 211, 4065, -717, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307551, 204, 4041, -713, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307587, 202, 4031, -702, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307623, 199, 4032, -724, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307664, 230, 4048, -704, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307705, 199, 4064, -749, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307746, 213, 4029, -709, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307787, 217, 4020, -683, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307828, 202, 4026, -698, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307869, 201, 4042, -712, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307910, 209, 4045, -717, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307951, 223, 4044, -714, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
307992, 197, 4026, -689, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308034, 202, 4027, -700, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308081, 192, 4051, -715, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308128, 195, 4037, -713, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308176, 217, 4031, -722, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308223, 190, 4037, -705, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308271, 188, 4038, -697, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308318, 227, 4023, -659, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308365, 180, 4041, -716, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308413, 190, 4070, -749, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308460, 187, 4039, -696, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308508, 203, 4016, -668, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308537, 189, 4048, -680, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308567, 197, 4033, -681, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308597, 187, 4042, -718, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308627, 195, 4040, -680, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308657, 197, 4036, -671, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308686, 186, 4050, -710, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308716, 186, 4047, -685, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308746, 183, 4040, -673, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308776, 175, 4042, -678, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308806, 189, 4023, -653, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308836, 201, 4038, -658, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308876, 212, 4078, -668, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308916, 190, 4052, -708, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308956, 227, 4005, -659, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
308996, 199, 4017, -678, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
309036, 188, 4032, -709, 82, 1bfb1f2d-aae3-474a-a4fb-217d0e7254a9, , berdiri, bersedekap, , 
