186876, 194, 3818, -1187, 75, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187709, 102, 3930, -1266, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187750, 142, 3904, -1247, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187792, 135, 3859, -1212, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187833, 122, 3916, -1231, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187875, 113, 3926, -1260, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187917, 106, 3907, -1257, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
187958, 135, 3920, -1243, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188000, 135, 3910, -1245, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188041, 142, 3882, -1277, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188083, 136, 3898, -1216, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188125, 147, 3898, -1246, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188164, 88, 3879, -1278, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188203, 116, 3905, -1304, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188243, 79, 3905, -1298, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188282, 111, 3863, -1263, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188322, 112, 3916, -1291, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188361, 74, 3912, -1292, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188400, 76, 3905, -1335, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188440, 63, 3915, -1358, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188479, 78, 3884, -1306, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188519, 92, 3860, -1315, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188552, 63, 3889, -1362, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188585, 66, 3895, -1394, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188619, 86, 3880, -1303, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188652, 55, 3846, -1360, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188686, 95, 3886, -1372, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188719, 90, 3908, -1381, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188753, 87, 3865, -1335, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188786, 86, 3850, -1345, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188820, 81, 3852, -1361, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188853, 95, 3861, -1366, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188887, 93, 3864, -1379, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188926, 92, 3865, -1337, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
188966, 92, 3875, -1354, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189006, 91, 3856, -1368, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189046, 116, 3847, -1420, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189086, 131, 3832, -1364, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189126, 127, 3846, -1362, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189166, 117, 3851, -1385, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189206, 106, 3863, -1384, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189246, 135, 3833, -1384, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189286, 138, 3832, -1424, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189322, 113, 3823, -1412, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189358, 114, 3848, -1434, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189395, 112, 3859, -1407, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189431, 96, 3821, -1392, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189467, 129, 3841, -1415, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189504, 119, 3854, -1418, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189540, 109, 3847, -1426, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189576, 121, 3835, -1398, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189613, 117, 3809, -1384, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189649, 121, 3859, -1460, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189686, 110, 3887, -1463, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189728, 116, 3813, -1444, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189770, 110, 3821, -1432, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189812, 129, 3835, -1440, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189855, 130, 3866, -1427, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189897, 127, 3849, -1457, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189939, 125, 3807, -1456, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
189982, 135, 3815, -1469, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190024, 109, 3838, -1432, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190066, 112, 3842, -1467, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190109, 111, 3854, -1456, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190150, 115, 3850, -1415, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190191, 116, 3833, -1425, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190232, 121, 3811, -1404, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190273, 115, 3829, -1421, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190314, 120, 3870, -1436, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190355, 154, 3829, -1427, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190396, 122, 3835, -1411, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190437, 117, 3835, -1413, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190478, 103, 3837, -1408, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190520, 115, 3844, -1418, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190554, 126, 3892, -1380, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190589, 140, 3826, -1434, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190624, 124, 3804, -1401, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190659, 118, 3848, -1415, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190694, 126, 3849, -1422, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190729, 138, 3865, -1421, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190764, 136, 3843, -1420, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190799, 111, 3840, -1439, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190834, 98, 3861, -1429, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190869, 114, 3842, -1413, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190904, 111, 3861, -1423, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190944, 89, 3853, -1440, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
190985, 99, 3845, -1427, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191025, 129, 3869, -1428, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191066, 101, 3839, -1452, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191106, 101, 3836, -1417, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191147, 124, 3820, -1427, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191187, 124, 3861, -1448, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191228, 138, 3878, -1481, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191268, 139, 3808, -1459, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191309, 133, 3807, -1488, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191346, 119, 3866, -1469, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191383, 117, 3836, -1462, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191420, 120, 3831, -1465, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191458, 119, 3794, -1507, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191495, 111, 3798, -1475, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191532, 67, 3863, -1476, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191569, 103, 3818, -1500, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191607, 140, 3810, -1466, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191644, 121, 3835, -1467, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191681, 110, 3824, -1500, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191719, 118, 3789, -1509, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191757, 138, 3801, -1509, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191796, 112, 3811, -1522, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191834, 105, 3818, -1501, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191873, 101, 3794, -1521, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191911, 70, 3779, -1514, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191950, 102, 3765, -1542, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
191988, 100, 3834, -1505, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192027, 112, 3823, -1541, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192065, 95, 3833, -1524, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192104, 91, 3816, -1472, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192145, 103, 3788, -1517, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192187, 100, 3804, -1521, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192229, 118, 3816, -1527, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192271, 106, 3832, -1527, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192313, 104, 3806, -1495, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192355, 90, 3818, -1508, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192397, 102, 3808, -1493, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192439, 82, 3808, -1529, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192481, 89, 3806, -1512, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192523, 104, 3832, -1467, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192559, 91, 3823, -1519, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192595, 104, 3823, -1492, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192631, 105, 3802, -1489, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192667, 103, 3818, -1502, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192703, 100, 3818, -1512, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192739, 101, 3815, -1499, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192775, 123, 3794, -1494, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192811, 88, 3773, -1492, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192847, 106, 3822, -1491, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192883, 83, 3834, -1471, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192919, 115, 3804, -1508, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192957, 102, 3810, -1474, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
192996, 99, 3823, -1484, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193034, 99, 3791, -1517, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193073, 91, 3831, -1476, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193112, 92, 3792, -1480, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193150, 114, 3843, -1523, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193189, 146, 3815, -1505, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193227, 95, 3793, -1495, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193266, 83, 3825, -1498, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193305, 105, 3838, -1521, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193343, 84, 3796, -1492, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193381, 75, 3810, -1475, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193419, 92, 3814, -1510, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193457, 107, 3831, -1458, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193495, 99, 3824, -1509, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193533, 88, 3806, -1513, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193571, 108, 3803, -1510, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193609, 116, 3815, -1499, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193647, 83, 3810, -1510, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193685, 87, 3800, -1491, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193723, 96, 3814, -1504, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193762, 93, 3783, -1493, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193801, 65, 3821, -1522, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193841, 78, 3840, -1518, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193880, 80, 3792, -1502, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193920, 75, 3808, -1536, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193959, 82, 3826, -1483, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
193998, 67, 3812, -1519, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194038, 73, 3818, -1497, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194077, 79, 3798, -1473, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194117, 73, 3832, -1502, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194160, 96, 3808, -1497, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194204, 100, 3817, -1477, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194247, 74, 3830, -1507, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194291, 92, 3810, -1498, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194335, 74, 3810, -1505, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194378, 81, 3834, -1485, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194422, 85, 3838, -1519, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194465, 76, 3792, -1506, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194509, 82, 3837, -1461, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194553, 64, 3803, -1546, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194585, 68, 3786, -1492, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194617, 89, 3819, -1487, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194650, 70, 3815, -1527, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194682, 84, 3820, -1502, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194714, 86, 3817, -1522, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194747, 72, 3787, -1530, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194779, 96, 3786, -1501, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194811, 96, 3772, -1506, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194844, 71, 3812, -1519, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194876, 69, 3807, -1525, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194909, 75, 3793, -1544, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194950, 78, 3812, -1484, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
194991, 87, 3813, -1551, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195032, 91, 3797, -1500, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195073, 91, 3800, -1517, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195114, 95, 3816, -1532, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195155, 75, 3831, -1543, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195196, 94, 3777, -1524, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195237, 88, 3781, -1549, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195278, 84, 3777, -1530, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195319, 94, 3791, -1545, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195355, 70, 3812, -1553, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195391, 63, 3804, -1531, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195428, 52, 3772, -1524, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195464, 108, 3838, -1501, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195500, 60, 3808, -1548, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195537, 92, 3790, -1527, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195573, 86, 3799, -1508, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195609, 100, 3824, -1544, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195646, 70, 3828, -1545, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195682, 65, 3802, -1518, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195719, 54, 3805, -1528, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195757, 74, 3798, -1515, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195796, 128, 3817, -1524, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195835, 101, 3810, -1499, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195874, 82, 3836, -1496, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195913, 52, 3794, -1510, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195952, 87, 3804, -1522, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
195991, 86, 3825, -1477, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
196030, 67, 3806, -1532, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
196069, 88, 3796, -1476, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
196108, 98, 3828, -1493, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
196149, 113, 3826, -1505, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
196191, 113, 3799, -1498, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
196233, 94, 3814, -1493, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
196275, 79, 3809, -1486, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
196317, 82, 3811, -1493, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
196359, 76, 3809, -1493, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
196401, 83, 3819, -1486, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
196443, 80, 3811, -1485, 76, d490ee95-387e-41c9-9675-491c4019b13b, , berdiri, bersedekap, , 
