240326, -1276, 3751, -1635, 81, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242697, -1340, 3504, -1651, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242732, -1331, 3482, -1628, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242768, -1334, 3503, -1663, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242808, -1354, 3475, -1642, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242849, -1325, 3519, -1641, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242889, -1318, 3496, -1696, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242930, -1370, 3557, -1595, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
242971, -1306, 3479, -1665, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243011, -1330, 3496, -1599, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243052, -1347, 3504, -1660, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243092, -1335, 3453, -1657, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243133, -1346, 3474, -1646, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243174, -1346, 3486, -1655, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243215, -1338, 3521, -1658, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243256, -1350, 3479, -1638, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243297, -1363, 3521, -1626, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243338, -1297, 3484, -1639, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243379, -1333, 3487, -1645, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243420, -1328, 3507, -1662, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243461, -1338, 3492, -1653, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243502, -1339, 3471, -1666, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243543, -1318, 3491, -1661, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243585, -1323, 3480, -1702, 79, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243619, -1342, 3501, -1638, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243654, -1299, 3493, -1698, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243689, -1326, 3542, -1667, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243724, -1335, 3541, -1713, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243759, -1332, 3482, -1675, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243794, -1343, 3468, -1657, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243829, -1340, 3504, -1728, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243864, -1302, 3458, -1695, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243899, -1312, 3494, -1677, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243934, -1313, 3516, -1747, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
243969, -1313, 3442, -1695, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244011, -1321, 3480, -1703, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244053, -1315, 3476, -1691, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244095, -1331, 3492, -1723, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244137, -1335, 3497, -1731, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244179, -1371, 3497, -1665, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244221, -1309, 3439, -1726, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244263, -1348, 3524, -1775, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244305, -1317, 3539, -1699, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244347, -1311, 3503, -1700, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244389, -1345, 3432, -1707, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244424, -1371, 3424, -1670, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244460, -1380, 3497, -1808, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244496, -1305, 3448, -1729, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244531, -1318, 3442, -1666, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244567, -1308, 3471, -1759, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244603, -1247, 3503, -1719, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244639, -1310, 3456, -1699, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244674, -1305, 3495, -1712, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244710, -1361, 3506, -1707, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244746, -1354, 3489, -1751, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244782, -1348, 3437, -1684, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244825, -1349, 3436, -1677, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244868, -1328, 3468, -1750, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244911, -1304, 3492, -1687, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244955, -1348, 3495, -1704, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
244998, -1381, 3417, -1691, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245041, -1356, 3450, -1687, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245085, -1375, 3473, -1711, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245128, -1351, 3501, -1728, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245171, -1372, 3454, -1610, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245215, -1367, 3463, -1706, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245250, -1362, 3457, -1693, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245286, -1355, 3447, -1707, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245322, -1330, 3459, -1715, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245358, -1305, 3457, -1733, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245394, -1346, 3450, -1670, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245430, -1341, 3429, -1765, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245466, -1367, 3503, -1691, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245502, -1345, 3461, -1725, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245538, -1330, 3469, -1739, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245574, -1344, 3457, -1738, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245609, -1308, 3474, -1761, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245644, -1327, 3472, -1723, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245680, -1302, 3471, -1745, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245715, -1335, 3442, -1720, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245751, -1297, 3473, -1752, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245786, -1291, 3457, -1759, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245822, -1290, 3457, -1754, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245857, -1317, 3443, -1737, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245893, -1332, 3486, -1741, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245928, -1323, 3478, -1730, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
245964, -1341, 3424, -1757, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246004, -1334, 3503, -1715, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246045, -1270, 3443, -1774, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246085, -1266, 3497, -1711, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246126, -1304, 3487, -1747, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246167, -1310, 3462, -1751, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246207, -1318, 3469, -1724, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246248, -1308, 3447, -1767, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246288, -1306, 3464, -1730, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246329, -1300, 3475, -1739, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246370, -1332, 3484, -1777, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246410, -1284, 3463, -1715, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246451, -1294, 3462, -1726, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246491, -1315, 3468, -1761, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246532, -1289, 3455, -1757, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246572, -1338, 3455, -1747, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246613, -1314, 3428, -1726, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246653, -1308, 3445, -1739, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246694, -1290, 3476, -1738, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246734, -1307, 3527, -1746, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246775, -1287, 3444, -1743, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246810, -1311, 3501, -1721, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246845, -1325, 3497, -1767, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246881, -1349, 3517, -1671, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246916, -1313, 3463, -1745, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246951, -1335, 3467, -1748, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
246987, -1324, 3452, -1709, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247022, -1279, 3417, -1719, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247057, -1323, 3363, -1703, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247093, -1303, 3464, -1716, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247128, -1334, 3437, -1699, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247164, -1315, 3456, -1748, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247206, -1347, 3477, -1722, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247248, -1316, 3457, -1774, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247290, -1314, 3469, -1682, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247332, -1343, 3459, -1733, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247375, -1330, 3457, -1732, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247417, -1309, 3493, -1723, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247459, -1293, 3452, -1732, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247501, -1321, 3474, -1672, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247543, -1302, 3480, -1733, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247586, -1321, 3483, -1722, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247625, -1298, 3456, -1680, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247664, -1277, 3487, -1699, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247704, -1298, 3509, -1741, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247743, -1298, 3460, -1662, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247782, -1318, 3459, -1692, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247822, -1303, 3514, -1718, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247861, -1255, 3496, -1721, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247900, -1285, 3484, -1694, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247940, -1329, 3486, -1723, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
247979, -1307, 3495, -1694, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248019, -1294, 3506, -1711, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248055, -1304, 3449, -1705, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248091, -1297, 3481, -1667, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248127, -1335, 3497, -1729, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248163, -1313, 3479, -1702, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248200, -1300, 3477, -1697, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248236, -1291, 3470, -1712, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248272, -1287, 3480, -1694, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248308, -1310, 3481, -1712, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248344, -1325, 3474, -1687, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248381, -1296, 3465, -1725, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248423, -1290, 3513, -1672, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248466, -1291, 3476, -1692, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248509, -1303, 3449, -1708, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248552, -1306, 3521, -1682, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248595, -1296, 3520, -1715, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248637, -1297, 3484, -1676, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248680, -1281, 3477, -1683, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248723, -1291, 3510, -1696, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248766, -1303, 3510, -1697, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248809, -1264, 3490, -1696, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248844, -1321, 3470, -1709, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248879, -1301, 3489, -1703, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248915, -1319, 3437, -1720, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
248950, -1308, 3494, -1635, 78, 35abaf3e-fa21-4b30-8d21-bc02845ff87b, , berdiri, bersedekap, , 
