214242, -642, 3632, -2012, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
215969, -514, 3590, -1879, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216008, -528, 3596, -1813, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216048, -567, 3620, -1856, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216087, -586, 3621, -1820, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216127, -569, 3650, -1853, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216166, -540, 3627, -1867, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216206, -540, 3585, -1839, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216245, -574, 3620, -1866, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216285, -545, 3610, -1830, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216324, -558, 3567, -1847, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216364, -568, 3604, -1865, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216403, -561, 3587, -1831, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216443, -584, 3585, -1805, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216481, -561, 3620, -1808, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216519, -572, 3665, -1852, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216558, -525, 3624, -1827, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216596, -518, 3581, -1826, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216634, -562, 3587, -1848, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216673, -547, 3562, -1826, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216711, -540, 3626, -1876, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216750, -523, 3601, -1855, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216788, -527, 3612, -1829, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216826, -564, 3570, -1834, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216865, -549, 3587, -1816, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216903, -583, 3609, -1840, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216942, -575, 3576, -1853, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
216979, -540, 3555, -1849, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217017, -547, 3594, -1932, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217055, -554, 3643, -1804, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217093, -483, 3590, -1921, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217131, -538, 3690, -1843, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217169, -512, 3623, -1888, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217206, -526, 3605, -1856, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217244, -545, 3625, -1853, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217282, -521, 3603, -1911, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217320, -500, 3617, -1856, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217358, -519, 3602, -1898, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217396, -531, 3594, -1866, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217434, -514, 3621, -1853, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217471, -515, 3617, -1914, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217509, -516, 3597, -1878, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217547, -560, 3578, -1860, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217585, -559, 3604, -1885, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217623, -539, 3627, -1893, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217661, -540, 3640, -1839, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217698, -489, 3591, -1880, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217736, -505, 3541, -1896, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217774, -530, 3613, -1845, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217812, -501, 3651, -1916, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217850, -502, 3626, -1874, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217888, -513, 3583, -1849, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217926, -524, 3586, -1839, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
217965, -530, 3622, -1835, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218005, -518, 3664, -1865, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218045, -500, 3688, -1828, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218085, -577, 3689, -1810, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218125, -582, 3610, -1837, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218165, -572, 3590, -1859, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218205, -534, 3630, -1892, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218245, -537, 3662, -1844, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218285, -500, 3537, -1873, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218325, -485, 3543, -1865, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218365, -479, 3578, -1887, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218405, -480, 3546, -1868, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218445, -481, 3514, -1867, 102, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218482, -450, 3503, -1814, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218519, -463, 3627, -1832, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218557, -506, 3608, -1847, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218594, -488, 3655, -1851, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218631, -522, 3598, -1879, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218669, -516, 3642, -1868, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218706, -494, 3628, -1879, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218744, -533, 3637, -1796, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218781, -474, 3600, -1836, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218818, -515, 3580, -1852, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218856, -512, 3645, -1823, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218893, -463, 3637, -1889, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218931, -532, 3655, -1825, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
218969, -531, 3570, -1830, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219007, -552, 3613, -1828, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219045, -529, 3611, -1826, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219083, -496, 3619, -1834, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219121, -527, 3602, -1799, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219159, -467, 3610, -1854, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219198, -549, 3656, -1815, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219236, -518, 3616, -1866, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219274, -489, 3607, -1794, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219312, -484, 3635, -1844, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219350, -523, 3586, -1800, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219388, -548, 3641, -1827, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219427, -539, 3677, -1833, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219464, -516, 3597, -1796, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219502, -535, 3639, -1814, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219539, -527, 3632, -1834, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219577, -528, 3644, -1827, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219614, -506, 3607, -1830, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219652, -520, 3589, -1892, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219689, -519, 3625, -1809, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219727, -524, 3599, -1860, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219764, -566, 3656, -1810, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219802, -516, 3627, -1828, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219839, -538, 3601, -1803, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219877, -545, 3626, -1824, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219915, -525, 3654, -1870, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219955, -540, 3595, -1810, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
219996, -528, 3665, -1849, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220037, -537, 3622, -1795, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220078, -500, 3615, -1823, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220119, -523, 3614, -1849, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220160, -530, 3617, -1832, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220200, -540, 3632, -1859, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220241, -540, 3640, -1841, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220282, -479, 3622, -1839, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220323, -472, 3628, -1853, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220364, -466, 3595, -1841, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220405, -498, 3614, -1808, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220446, -491, 3627, -1843, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220484, -513, 3624, -1843, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220522, -481, 3589, -1836, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220561, -503, 3578, -1837, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220599, -489, 3647, -1835, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220638, -487, 3619, -1838, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220676, -480, 3642, -1827, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220715, -492, 3596, -1836, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220753, -519, 3641, -1814, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220792, -473, 3585, -1883, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220830, -454, 3616, -1829, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220869, -496, 3659, -1825, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220907, -504, 3710, -1823, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220946, -495, 3650, -1825, 101, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
220984, -508, 3670, -1859, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221023, -528, 3631, -1835, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221062, -495, 3611, -1832, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221101, -526, 3596, -1836, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221139, -527, 3632, -1821, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221178, -483, 3556, -1819, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221217, -483, 3548, -1808, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221256, -456, 3640, -1793, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221294, -433, 3524, -1850, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221333, -518, 3622, -1778, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221372, -529, 3661, -1829, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221411, -522, 3642, -1830, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221450, -576, 3670, -1812, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221487, -542, 3660, -1831, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221524, -545, 3623, -1824, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221561, -524, 3596, -1834, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221598, -539, 3642, -1831, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221635, -530, 3652, -1825, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221672, -553, 3628, -1835, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221709, -510, 3568, -1832, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221746, -571, 3655, -1747, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221783, -527, 3615, -1917, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221820, -556, 3612, -1808, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221857, -563, 3636, -1845, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221894, -540, 3623, -1825, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221932, -565, 3658, -1828, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
221970, -519, 3610, -1859, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222008, -524, 3597, -1837, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222046, -501, 3627, -1839, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222084, -510, 3648, -1860, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222122, -506, 3624, -1838, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222160, -531, 3653, -1822, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222198, -491, 3568, -1861, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222236, -564, 3629, -1817, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222274, -506, 3593, -1897, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222312, -498, 3596, -1860, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222350, -511, 3615, -1866, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222388, -486, 3591, -1845, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222426, -496, 3643, -1891, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222465, -474, 3616, -1853, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222505, -481, 3624, -1837, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222545, -497, 3617, -1876, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222584, -475, 3636, -1862, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222624, -475, 3601, -1860, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222664, -513, 3606, -1820, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222703, -526, 3600, -1862, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222743, -547, 3645, -1843, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222783, -485, 3576, -1883, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222822, -492, 3591, -1837, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222862, -515, 3629, -1899, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222902, -528, 3611, -1861, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222942, -492, 3605, -1861, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
222979, -490, 3608, -1857, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223017, -487, 3641, -1863, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223055, -502, 3588, -1845, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223092, -507, 3615, -1856, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223130, -496, 3628, -1883, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223168, -480, 3571, -1903, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223205, -475, 3595, -1864, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223243, -504, 3656, -1870, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223281, -499, 3642, -1838, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223318, -463, 3602, -1856, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223356, -508, 3619, -1855, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223394, -503, 3597, -1805, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223432, -487, 3660, -1903, 100, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223470, -516, 3611, -1838, 98, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223508, -508, 3655, -1867, 98, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223546, -471, 3596, -1838, 98, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
223584, -468, 3633, -1833, 98, 1a682dec-a956-4525-b75c-36e1b288359c, , berdiri, bersedekap, , 
