29654, 115, 4079, -64, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31733, 211, 4068, -356, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31774, 197, 4082, -334, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31812, 192, 4111, -366, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31850, 211, 4061, -357, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31889, 206, 4098, -346, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31927, 218, 4065, -331, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
31966, 207, 4085, -368, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32004, 191, 4097, -381, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32042, 199, 4086, -383, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32081, 224, 4089, -374, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32119, 225, 4082, -378, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32158, 191, 4087, -376, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32194, 215, 4093, -388, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32231, 212, 4060, -409, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32268, 183, 4108, -394, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32304, 182, 4103, -449, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32341, 189, 4035, -371, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32378, 211, 4073, -373, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32415, 188, 4107, -420, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32451, 171, 4084, -375, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32488, 180, 4077, -411, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32525, 172, 4089, -418, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32562, 189, 4083, -404, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32603, 187, 4074, -433, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32645, 200, 4049, -417, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32686, 166, 4075, -390, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32728, 166, 4109, -433, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32769, 179, 4076, -478, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32811, 187, 4097, -509, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32852, 163, 4043, -463, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32894, 161, 4063, -530, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32935, 159, 4079, -516, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
32977, 175, 4031, -514, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33015, 180, 4057, -537, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33053, 157, 4083, -537, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33091, 161, 4036, -573, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33129, 153, 4030, -568, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33167, 140, 4069, -537, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33205, 167, 4086, -540, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33243, 168, 4080, -503, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33281, 147, 4070, -492, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33319, 137, 4065, -606, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33358, 193, 4055, -536, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33396, 187, 4080, -541, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33434, 157, 4048, -510, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33472, 163, 4062, -523, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33511, 151, 4093, -549, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33549, 160, 4049, -582, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33587, 156, 4048, -542, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33625, 194, 4073, -579, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33664, 195, 4049, -561, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33702, 180, 4049, -587, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33740, 171, 4047, -589, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33779, 183, 4044, -544, 88, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33818, 162, 4058, -551, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33858, 173, 4057, -583, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33897, 149, 4081, -607, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33937, 189, 4056, -606, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
33976, 187, 4071, -555, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34016, 172, 4039, -602, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34055, 180, 4089, -556, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34095, 172, 4053, -557, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34134, 181, 4019, -591, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34174, 180, 4067, -584, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34208, 176, 4081, -563, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34243, 184, 4041, -541, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34278, 157, 4059, -577, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34313, 179, 4060, -565, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34348, 189, 4079, -568, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34382, 172, 4064, -577, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34417, 171, 4063, -570, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34452, 171, 4038, -550, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34487, 162, 4077, -570, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34522, 155, 4056, -568, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34557, 183, 4071, -569, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34598, 176, 4037, -548, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34639, 161, 4069, -597, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34680, 164, 4077, -573, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34721, 165, 4047, -584, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34762, 165, 4049, -566, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34803, 163, 4064, -568, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34844, 182, 4044, -521, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34885, 184, 4069, -618, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34926, 161, 4068, -564, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
34968, 187, 4017, -527, 87, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35008, 148, 4038, -567, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35049, 166, 4070, -609, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35090, 175, 4081, -641, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35130, 167, 4044, -576, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35171, 177, 4038, -586, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35212, 159, 4059, -588, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35252, 168, 4046, -609, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35293, 167, 4070, -618, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35334, 160, 4042, -625, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35375, 182, 4045, -648, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35411, 155, 4072, -655, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35447, 152, 4038, -663, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35483, 148, 4044, -680, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35519, 163, 4042, -681, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35555, 164, 4042, -621, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35592, 167, 4068, -643, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35628, 149, 4055, -654, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35664, 145, 4031, -609, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35700, 157, 4009, -637, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35736, 161, 4043, -663, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35773, 180, 4026, -670, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35812, 162, 4079, -613, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35851, 152, 4039, -634, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35890, 141, 4022, -643, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35929, 180, 4034, -626, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
35969, 154, 4090, -641, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36008, 136, 4062, -602, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36047, 143, 4026, -617, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36086, 155, 4059, -622, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36125, 164, 4067, -640, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36165, 180, 4050, -629, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36206, 153, 4046, -603, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36248, 170, 4046, -606, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36289, 142, 4054, -626, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36331, 156, 4060, -624, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36373, 178, 4036, -628, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36414, 165, 4062, -621, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36456, 172, 4062, -614, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36498, 157, 4047, -600, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36539, 157, 4065, -633, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36581, 154, 4074, -618, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36623, 163, 4047, -620, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36658, 165, 4048, -614, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36693, 166, 4052, -672, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36728, 174, 4068, -593, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36763, 174, 4043, -560, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36799, 154, 4075, -576, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36834, 162, 4052, -612, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36869, 168, 4060, -636, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36904, 166, 4048, -603, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36939, 157, 4055, -580, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
36975, 165, 4051, -585, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37013, 143, 4065, -613, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37052, 151, 4064, -621, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37091, 166, 4050, -608, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37130, 158, 4057, -597, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37169, 167, 4070, -609, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37208, 144, 4044, -593, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37247, 173, 4075, -613, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37286, 152, 4081, -598, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37325, 166, 4036, -574, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37364, 156, 4065, -591, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37401, 149, 4044, -607, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37438, 154, 4040, -616, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37475, 141, 4054, -621, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37512, 171, 4058, -609, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37549, 104, 4056, -512, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37586, 150, 4093, -661, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37623, 180, 4057, -597, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37660, 173, 4041, -559, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37697, 151, 4107, -687, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37734, 157, 4087, -613, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37772, 180, 4037, -569, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37817, 156, 4032, -566, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37862, 188, 4059, -628, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37907, 176, 4067, -598, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37952, 150, 4057, -586, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
37997, 157, 4036, -583, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38042, 163, 4054, -599, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38087, 172, 4051, -603, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38132, 156, 4051, -606, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38177, 160, 4040, -593, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38222, 170, 4057, -558, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38253, 173, 4060, -577, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38284, 164, 4067, -594, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38315, 148, 4066, -582, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38346, 179, 4049, -583, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38377, 186, 4056, -598, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38408, 183, 4052, -641, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38439, 168, 4050, -671, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38470, 153, 4037, -663, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38501, 170, 4043, -678, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38532, 159, 4040, -655, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38563, 170, 4044, -614, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38604, 161, 4069, -604, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38645, 138, 4046, -634, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
38686, 175, 4033, -625, 86, 18cf65c0-d367-46bd-b9b6-651a25b3e005, , berdiri, bersedekap, , 
