213257, 33, 4298, -495, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
215027, -3, 4100, -96, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215063, -29, 4120, -112, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215098, -67, 4153, -187, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215134, -15, 4162, -166, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215174, 48, 4059, -142, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215214, -13, 4061, -103, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215254, -25, 4153, -134, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215294, -5, 4078, -131, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215334, 11, 4129, -205, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215374, 89, 4061, -78, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215414, -11, 4074, -149, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215454, 13, 4077, -137, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215494, 73, 4056, -68, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215535, -16, 4071, -128, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215570, -32, 4138, -135, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215606, -11, 4162, -134, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215641, 54, 4076, -100, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215677, 9, 4104, -184, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215712, 13, 4092, -113, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215748, 35, 4092, -85, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215783, 5, 4099, -146, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215819, -19, 4069, -107, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215854, -45, 4156, -171, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215890, 80, 4089, -85, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215926, 94, 4063, -97, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
215967, -16, 4075, -168, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216009, -36, 4043, -51, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216051, -46, 4085, -81, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216092, 8, 4165, -113, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216134, 92, 4042, -62, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216176, -11, 4129, -99, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216217, -22, 4090, -165, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216259, 60, 4112, -144, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216301, 114, 4147, -156, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216343, 3, 4083, -140, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216383, -9, 4074, -155, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216424, 156, 4075, -117, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216465, 91, 4064, -125, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216505, -77, 4140, -194, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216546, 29, 3992, -150, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216587, 40, 4061, -167, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216627, 80, 4226, -184, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216668, 319, 4004, -30, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216709, 166, 4153, -179, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216750, -67, 4002, -197, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216786, -79, 4129, -197, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216822, 23, 4096, -185, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216858, -1, 4086, -212, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216894, -97, 4093, -228, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216930, -146, 4159, -277, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
216966, -47, 4133, -288, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217002, 60, 4079, -219, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217038, -22, 4060, -270, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217074, -54, 4002, -268, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217110, 48, 4110, -172, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217146, 67, 4141, -192, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217186, -14, 4130, -245, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217226, -37, 4064, -304, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217267, 3, 4125, -364, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217307, 16, 4086, -317, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217348, 99, 4065, -286, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217388, 127, 4062, -305, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217428, 10, 4147, -325, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217469, -27, 4078, -327, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217509, -28, 3992, -259, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217550, -128, 4048, -359, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217588, -47, 4213, -382, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217627, 180, 4178, -354, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217666, 239, 4128, -318, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217705, 170, 3977, -210, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217744, 46, 4031, -286, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217782, -16, 3976, -205, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217821, -43, 4221, -347, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217860, 11, 4123, -288, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217899, 59, 4103, -290, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217938, 170, 4229, -309, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
217973, 366, 3907, -180, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218008, 422, 3453, -251, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218043, 380, 4336, -301, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218079, -255, 4132, 41, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218114, 185, 3243, -31, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218149, 188, 3845, -432, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218184, 276, 3877, -561, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218220, 106, 3986, -931, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218255, 59, 4211, -897, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218290, -53, 4099, -769, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218326, -204, 4398, -1265, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218368, 33, 4234, -1248, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218410, 25, 4003, -1086, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218452, -23, 3691, -1065, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218494, -156, 3723, -1177, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
218536, -165, 3908, -1228, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
218578, -112, 3974, -1183, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
218620, -123, 4011, -1165, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
218662, 34, 3984, -1163, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
218704, 25, 4114, -1149, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
218747, -39, 3985, -1148, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
218780, -107, 3795, -1087, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
218814, -112, 3821, -1143, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
218847, -131, 3845, -1122, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
218881, -79, 3918, -1150, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
218914, -32, 3909, -1164, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
218948, -18, 4007, -1204, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
218981, -78, 3989, -1209, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219015, -119, 3904, -1131, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219048, -123, 3919, -1145, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219082, -90, 3951, -1181, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219116, -52, 3962, -1167, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219154, -45, 3933, -1146, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219193, -41, 3942, -1179, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219232, -69, 3971, -1180, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219271, -89, 3916, -1185, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219310, -57, 3882, -1214, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219349, -31, 3891, -1179, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219388, -14, 3927, -1137, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219427, -19, 3955, -1156, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219466, 5, 3967, -1131, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219505, -22, 3929, -1166, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219550, -4, 3921, -1163, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219595, -9, 3913, -1164, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219641, -43, 3919, -1157, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219686, -35, 3945, -1148, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219732, -19, 3953, -1122, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219777, -70, 3952, -1108, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219822, 8, 3931, -1154, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219868, -3, 3910, -1144, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219913, -26, 3942, -1175, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219959, -11, 3995, -1165, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
219993, -25, 3954, -1164, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220028, -48, 3945, -1167, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220063, -28, 3907, -1165, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220097, -54, 3972, -1146, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220132, -50, 3947, -1175, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220167, -17, 3904, -1126, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220202, -48, 3907, -1153, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220236, -41, 3928, -1176, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220271, -47, 3947, -1166, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220306, -46, 3896, -1196, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220341, -55, 3896, -1194, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220380, -44, 3924, -1183, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220420, -44, 3978, -1197, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220460, -49, 3916, -1196, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220500, -39, 3883, -1189, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220540, 2, 3893, -1192, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220580, -41, 3953, -1185, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220620, -64, 3883, -1204, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220660, -51, 3908, -1159, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220700, -5, 3927, -1168, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220740, -24, 3916, -1191, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220775, 2, 3924, -1203, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220811, 11, 3922, -1187, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220847, -14, 3912, -1177, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220883, -12, 3919, -1188, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220919, -13, 3931, -1166, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220954, -17, 3925, -1176, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
220990, -37, 3920, -1196, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
221026, -31, 3896, -1185, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
221062, -42, 3892, -1167, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
221098, -32, 3948, -1204, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
221134, -61, 3916, -1209, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
221174, -48, 3911, -1185, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
221214, -58, 3923, -1168, 103, ea4ead43-b273-4245-9d7c-1b1e536fa993, , berdiri, bersedekap, , 
