19980, -1188, 3729, -1254, , cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24577, -1161, 3678, -1310, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24617, -1210, 3722, -1177, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24657, -1128, 3711, -1297, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24697, -1155, 3735, -1202, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24737, -1146, 3703, -1255, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24772, -1168, 3712, -1257, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24807, -1173, 3762, -1273, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24843, -1155, 3716, -1282, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24878, -1161, 3697, -1214, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24913, -1180, 3739, -1239, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24949, -1160, 3717, -1242, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
24984, -1152, 3723, -1243, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25019, -1167, 3734, -1247, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25055, -1132, 3698, -1227, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25090, -1156, 3671, -1261, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25126, -1181, 3740, -1182, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25170, -1155, 3698, -1268, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25214, -1168, 3733, -1187, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25259, -1181, 3752, -1258, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25303, -1154, 3717, -1222, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25348, -1156, 3738, -1224, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25392, -1176, 3726, -1250, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25436, -1141, 3737, -1212, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25481, -1193, 3733, -1212, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25525, -1175, 3728, -1235, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25570, -1191, 3706, -1237, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25601, -1159, 3749, -1220, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25633, -1161, 3775, -1238, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25665, -1154, 3716, -1181, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25697, -1168, 3721, -1237, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25729, -1193, 3725, -1205, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25760, -1158, 3775, -1237, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25792, -1155, 3723, -1213, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25824, -1173, 3712, -1235, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25856, -1164, 3703, -1201, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25888, -1185, 3764, -1258, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25920, -1152, 3738, -1213, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
25967, -1162, 3709, -1181, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26014, -1158, 3714, -1215, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26062, -1145, 3731, -1234, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26109, -1175, 3770, -1212, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26157, -1168, 3767, -1212, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26204, -1175, 3752, -1213, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26251, -1168, 3696, -1276, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26299, -1155, 3730, -1186, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26346, -1152, 3712, -1295, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26394, -1157, 3743, -1191, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26427, -1165, 3731, -1242, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26461, -1175, 3726, -1236, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26495, -1137, 3693, -1217, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26528, -1157, 3733, -1254, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26562, -1151, 3720, -1207, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26596, -1167, 3751, -1254, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26629, -1154, 3763, -1254, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26663, -1157, 3731, -1242, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26697, -1176, 3739, -1207, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26731, -1156, 3745, -1254, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26766, -1132, 3723, -1238, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26801, -1159, 3712, -1244, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26837, -1116, 3798, -1179, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26872, -1121, 3677, -1269, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26908, -1055, 3821, -1096, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26943, -1137, 3740, -1102, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
26979, -1153, 3772, -1103, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27014, -1191, 3783, -1073, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27050, -1078, 3798, -1118, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27085, -1083, 3753, -1056, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27121, -1097, 3780, -1120, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27162, -1081, 3799, -1070, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27203, -1066, 3811, -1120, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27245, -1079, 3783, -1090, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27286, -1075, 3776, -1088, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27328, -1055, 3781, -1118, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27369, -1075, 3774, -1068, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27410, -1096, 3793, -1124, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27452, -1099, 3819, -1089, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27493, -1081, 3788, -1106, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27535, -1070, 3793, -1130, 78, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27571, -1118, 3792, -1074, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27607, -1111, 3780, -1131, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27643, -1099, 3753, -1093, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27679, -1127, 3795, -1114, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27715, -1097, 3813, -1096, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27751, -1112, 3779, -1082, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27787, -1105, 3808, -1106, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27823, -1105, 3794, -1110, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27859, -1120, 3775, -1124, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27895, -1100, 3772, -1081, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27931, -1124, 3786, -1142, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
27974, -1112, 3828, -1110, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28018, -1103, 3779, -1113, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28061, -1133, 3754, -1108, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28105, -1121, 3814, -1093, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28148, -1139, 3796, -1127, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28192, -1094, 3731, -1062, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28235, -1135, 3796, -1112, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28279, -1128, 3820, -1117, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28322, -1132, 3756, -1080, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28366, -1140, 3738, -1093, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28401, -1127, 3790, -1098, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28436, -1119, 3793, -1141, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28471, -1096, 3772, -1070, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28507, -1109, 3743, -1145, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28542, -1124, 3765, -1064, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28577, -1151, 3809, -1112, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28613, -1150, 3751, -1099, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28648, -1116, 3769, -1121, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28683, -1117, 3772, -1111, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28719, -1106, 3774, -1115, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28755, -1124, 3791, -1105, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28791, -1104, 3788, -1102, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28827, -1105, 3777, -1111, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28864, -1109, 3798, -1148, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28900, -1096, 3753, -1097, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28936, -1106, 3743, -1135, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
28972, -1113, 3799, -1075, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
29009, -1124, 3776, -1129, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
29045, -1089, 3750, -1116, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
29081, -1091, 3801, -1129, 77, cd01263d-c87e-4cfe-9751-e21156c63f02, , berdiri, bersedekap, , 
