144885, -84, 4002, 727, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145608, -56, 4122, 483, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145642, -59, 4091, 492, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145676, -29, 4075, 488, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145711, -51, 4069, 550, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145745, -36, 4061, 507, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145780, -66, 4056, 514, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145814, -68, 4047, 537, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145849, -53, 4057, 553, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145883, -93, 4051, 570, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145918, -118, 4079, 604, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145952, -61, 4075, 576, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
145987, -66, 4049, 595, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146027, -16, 4033, 542, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146068, -34, 4037, 582, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146108, -89, 4056, 650, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146149, -72, 4070, 629, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146189, -80, 4058, 653, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146230, -67, 4028, 657, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146270, -61, 4067, 653, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146311, -30, 4038, 670, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146351, -34, 4043, 656, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146392, -1, 4072, 661, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146429, 3, 4087, 714, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146467, 21, 4068, 676, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146504, -27, 4116, 626, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146542, -52, 4142, 605, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146579, -78, 4172, 572, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146617, -48, 4187, 501, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146654, -54, 4113, 492, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
146692, -54, 4086, 482, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
146729, 5, 4064, 446, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
146767, -11, 3990, 462, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
146805, 51, 3860, 416, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
146843, 93, 3692, 406, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
146881, 57, 3741, 486, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
146919, -2, 4068, 518, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
146957, -66, 4438, 472, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
146995, 3, 4536, 368, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147033, 63, 4220, 320, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147071, 73, 3845, 400, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147109, 45, 3756, 476, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147147, -1, 4013, 429, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147186, -6, 4349, 347, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147226, 40, 4292, 343, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147267, -8, 4080, 443, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147308, -86, 4003, 523, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147348, -58, 4050, 524, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147389, -54, 4105, 512, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147430, -27, 4199, 460, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147470, -53, 4156, 513, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147511, -67, 4027, 527, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147552, -115, 4016, 480, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147593, -94, 4043, 470, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, berdiri_tidak_stabil, 
147629, -69, 4049, 453, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
147665, -74, 4079, 434, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
147701, -102, 4084, 446, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
147738, -107, 4067, 491, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
147774, -127, 4077, 503, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
147810, -146, 4117, 467, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
147846, -190, 4056, 417, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
147883, -185, 4061, 377, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
147919, -107, 4055, 312, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
147955, -71, 4116, 306, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
147992, -11, 4101, 360, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148031, -21, 4114, 365, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148070, -88, 4105, 333, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148110, -122, 4065, 338, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148149, -129, 4073, 327, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148189, -113, 4115, 305, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148228, -108, 4095, 309, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148267, -128, 4091, 316, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148307, -92, 4110, 346, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148346, -97, 4094, 380, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148386, -97, 4104, 323, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148428, -131, 4089, 331, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148470, -115, 4076, 361, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148512, -112, 4071, 345, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148554, -94, 4096, 357, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148596, -97, 4055, 358, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148638, -88, 4086, 377, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148680, -80, 4110, 381, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148722, -96, 4081, 336, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148764, -96, 4078, 331, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148807, -127, 4074, 328, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148839, -153, 4071, 332, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148871, -171, 4112, 358, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148904, -121, 4100, 375, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148936, -122, 4108, 353, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
148968, -101, 4070, 322, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149001, -137, 4092, 357, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149033, -118, 4087, 353, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149065, -102, 4125, 340, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149098, -113, 4108, 332, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149130, -115, 4072, 361, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149163, -128, 4106, 336, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149208, -110, 4106, 343, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149253, -92, 4111, 323, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149298, -78, 4128, 305, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149343, -76, 4087, 289, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149388, -110, 4130, 327, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149433, -126, 4102, 294, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149478, -99, 4083, 297, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149523, -95, 4083, 268, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149568, -92, 4095, 253, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149613, -116, 4083, 310, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149645, -101, 4130, 302, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149678, -74, 4135, 235, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149710, -64, 4091, 261, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149743, -97, 4058, 278, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149776, -82, 4096, 276, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149808, -119, 4114, 304, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149841, -109, 4080, 313, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149874, -102, 4092, 306, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149906, -68, 4096, 292, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149939, -107, 4077, 297, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
149972, -92, 4069, 290, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150013, -79, 4091, 304, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150054, -92, 4095, 314, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150095, -122, 4092, 355, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150137, -118, 4114, 332, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150178, -102, 4096, 307, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150219, -107, 4107, 315, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150261, -123, 4100, 322, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150302, -128, 4075, 312, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150343, -139, 4073, 306, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150385, -130, 4122, 332, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150426, -108, 4113, 337, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150468, -146, 4073, 331, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150510, -128, 4090, 316, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150551, -132, 4093, 329, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150593, -106, 4082, 338, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150635, -120, 4084, 336, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150676, -129, 4095, 319, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150718, -140, 4077, 350, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150760, -114, 4072, 317, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150802, -98, 4108, 329, 72, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150837, -91, 4095, 328, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150873, -108, 4077, 322, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150908, -106, 4108, 327, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150944, -124, 4088, 337, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
150980, -131, 4092, 356, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151015, -111, 4100, 328, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151051, -134, 4111, 335, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151087, -147, 4091, 340, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151122, -145, 4078, 328, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151158, -128, 4096, 309, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151194, -106, 4103, 342, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151233, -105, 4114, 318, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151272, -123, 4085, 339, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151311, -109, 4087, 337, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151350, -125, 4118, 309, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151390, -119, 4091, 321, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151429, -118, 4096, 353, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151468, -123, 4107, 336, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151507, -125, 4090, 308, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151546, -136, 4083, 306, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151586, -134, 4086, 315, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151622, -123, 4098, 317, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151658, -116, 4098, 299, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151695, -149, 4103, 302, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151731, -154, 4142, 308, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151767, -127, 4092, 308, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151804, -99, 4116, 297, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151840, -97, 4082, 269, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151876, -156, 4058, 306, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151913, -146, 4089, 288, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151949, -135, 4135, 296, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
151986, -116, 4083, 298, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152026, -124, 4098, 291, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152067, -130, 4089, 300, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152108, -119, 4067, 315, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152148, -134, 4088, 281, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152189, -137, 4085, 313, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152230, -120, 4069, 305, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152270, -129, 4102, 281, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152311, -136, 4099, 300, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152352, -132, 4086, 308, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152393, -112, 4111, 298, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152432, -98, 4114, 280, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152472, -127, 4095, 298, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152512, -128, 4067, 286, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152551, -104, 4109, 296, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152591, -110, 4080, 310, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152631, -115, 4060, 306, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152670, -133, 4083, 301, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152710, -138, 4085, 307, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152750, -122, 4077, 314, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152790, -94, 4089, 309, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152826, -121, 4085, 303, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152863, -137, 4078, 326, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152899, -146, 4101, 307, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152936, -105, 4097, 317, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
152972, -110, 4117, 319, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153009, -125, 4113, 284, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153045, -116, 4091, 310, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153082, -119, 4116, 324, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153118, -92, 4137, 294, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153155, -118, 4092, 313, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153192, -113, 4086, 324, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153232, -127, 4114, 317, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153272, -121, 4078, 300, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153312, -98, 4091, 318, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153352, -104, 4091, 303, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153392, -108, 4093, 325, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153432, -115, 4096, 323, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153472, -117, 4090, 312, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153512, -102, 4079, 334, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153552, -92, 4103, 324, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
153592, -94, 4091, 321, 73, 674cf2a9-8be0-42f3-b359-b4cfd7a85878, , berdiri, bersedekap, , 
