148239, -989, 4003, -629, 96, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149339, -1094, 3929, -639, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149373, -1077, 3886, -608, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149407, -1086, 3989, -629, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149441, -1082, 3988, -638, 95, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149482, -1077, 3939, -651, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149523, -1067, 3919, -675, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149564, -1073, 3825, -604, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149605, -1026, 3827, -728, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149647, -1114, 3878, -631, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149688, -1026, 3854, -708, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149729, -1058, 3840, -599, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149770, -1098, 3924, -700, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149811, -1132, 3883, -683, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149853, -1042, 3860, -588, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149891, -1125, 3914, -720, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149929, -1118, 3909, -649, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
149967, -1114, 3892, -663, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150005, -1108, 3884, -658, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150043, -1126, 3865, -676, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150081, -1120, 3854, -661, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150119, -1123, 3896, -678, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150157, -1124, 3957, -773, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150195, -1104, 3812, -695, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150233, -1073, 3745, -660, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150272, -1152, 3882, -636, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150312, -1105, 3918, -799, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150352, -1133, 3862, -660, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150393, -1148, 3870, -705, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150433, -1152, 3851, -719, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150474, -1152, 3851, -683, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150514, -1148, 3895, -752, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150554, -1161, 3908, -704, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150595, -1131, 3860, -688, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150635, -1107, 3876, -687, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150676, -1120, 3861, -732, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150711, -1140, 3862, -711, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150747, -1140, 3863, -735, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150782, -1118, 3898, -697, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150818, -1106, 3843, -713, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150854, -1132, 3855, -742, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150889, -1153, 3854, -663, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150925, -1096, 3873, -761, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150961, -1138, 3908, -677, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
150996, -1031, 3874, -758, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151032, -1110, 3867, -678, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151068, -1105, 3864, -690, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151108, -1101, 3878, -710, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151148, -1107, 3904, -695, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151188, -1094, 3863, -682, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151228, -1081, 3854, -681, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151269, -1095, 3914, -714, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151309, -1073, 3864, -699, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151349, -1098, 3895, -721, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151389, -1086, 3915, -705, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151429, -1101, 3867, -704, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151470, -1083, 3907, -692, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151512, -1076, 3886, -760, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151554, -1071, 3899, -663, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151596, -1095, 3889, -707, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151638, -1098, 3894, -741, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151680, -1079, 3847, -738, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151722, -1088, 3856, -756, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151764, -1070, 3900, -767, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151806, -1044, 3838, -736, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151848, -1040, 3891, -762, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151890, -1044, 3906, -747, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151924, -1086, 3941, -731, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151958, -1087, 3994, -772, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
151993, -1088, 3925, -807, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152027, -1057, 3906, -752, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152062, -1065, 3874, -786, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152096, -1085, 3888, -771, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152131, -1092, 3849, -764, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152165, -1106, 3902, -750, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152200, -1055, 3754, -751, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152234, -1003, 3770, -742, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152269, -1022, 3808, -757, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152309, -1041, 3895, -767, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152349, -1091, 3901, -754, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152389, -1088, 3919, -793, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152430, -1111, 3864, -739, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152470, -1087, 3899, -766, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152510, -1121, 3880, -767, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152551, -1117, 3842, -741, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152591, -1085, 3871, -821, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152631, -1121, 3901, -680, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152672, -1055, 3881, -836, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152708, -1054, 3893, -727, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152745, -1080, 3851, -763, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152781, -1097, 3854, -792, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152818, -1089, 3886, -761, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152855, -1081, 3846, -805, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152891, -1117, 3858, -743, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152928, -1122, 3849, -759, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
152965, -1086, 3864, -742, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153001, -1084, 3874, -753, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153038, -1075, 3861, -756, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153075, -1113, 3859, -762, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153114, -1125, 3888, -750, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153153, -1120, 3873, -749, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153193, -1093, 3835, -788, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153232, -1130, 3858, -728, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153272, -1136, 3904, -759, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153311, -1100, 3822, -724, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153350, -1122, 3850, -738, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153390, -1141, 3879, -794, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153429, -1146, 3882, -756, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153469, -1126, 3870, -737, 94, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153509, -1134, 3831, -736, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153549, -1103, 3855, -731, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153589, -1118, 3874, -753, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153629, -1152, 3861, -720, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153670, -1105, 3860, -763, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153710, -1165, 3844, -772, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153750, -1163, 3862, -734, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153790, -1138, 3894, -733, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153830, -1115, 3863, -742, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153871, -1122, 3832, -757, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153907, -1149, 3839, -715, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153944, -1140, 3890, -789, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
153981, -1125, 3867, -728, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154018, -1108, 3895, -753, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154055, -1123, 3871, -752, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154092, -1107, 3875, -735, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154129, -1124, 3881, -748, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154166, -1117, 3862, -741, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154203, -1124, 3844, -736, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154240, -1115, 3875, -802, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154277, -1123, 3887, -701, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154321, -1097, 3843, -761, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154366, -1124, 3903, -717, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154411, -1138, 3888, -738, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154456, -1148, 3904, -747, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154501, -1125, 3905, -729, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154546, -1111, 3940, -741, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154591, -1096, 3864, -746, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154636, -1133, 3840, -728, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154681, -1114, 3818, -710, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154726, -1098, 3826, -712, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154759, -1088, 3778, -703, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154792, -1059, 3842, -728, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154825, -1075, 3806, -760, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154858, -1089, 3912, -655, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154891, -1065, 3935, -846, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154924, -1115, 3947, -657, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154957, -1086, 3894, -754, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
154990, -1134, 3868, -713, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155023, -1140, 3877, -690, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155056, -1132, 3884, -739, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155089, -1112, 3874, -685, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155127, -1125, 3868, -709, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155166, -1125, 3863, -709, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155205, -1130, 3884, -729, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155243, -1126, 3870, -718, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155282, -1083, 3872, -726, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155321, -1114, 3863, -769, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155359, -1165, 3895, -653, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155398, -1092, 3854, -793, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155437, -1133, 3885, -677, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155476, -1144, 3875, -739, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155517, -1164, 3872, -718, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155558, -1142, 3900, -717, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155599, -1135, 3854, -754, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155640, -1155, 3841, -702, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155682, -1164, 3868, -730, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155723, -1161, 3831, -715, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155764, -1140, 3884, -736, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155805, -1169, 3871, -730, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155846, -1160, 3854, -709, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155888, -1167, 3861, -791, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155922, -1188, 3833, -691, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155957, -1124, 3866, -752, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
155992, -1164, 3855, -699, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156027, -1161, 3866, -793, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156062, -1161, 3874, -734, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156097, -1168, 3907, -743, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156132, -1139, 3857, -754, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156167, -1115, 3831, -730, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156202, -1179, 3856, -746, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156237, -1162, 3880, -742, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156272, -1151, 3866, -750, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156310, -1142, 3864, -749, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156348, -1143, 3866, -746, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156386, -1139, 3842, -789, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156425, -1181, 3869, -703, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156463, -1120, 3849, -793, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156501, -1136, 3861, -731, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156540, -1184, 3822, -736, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156578, -1118, 3835, -732, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156616, -1157, 3908, -785, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156655, -1128, 3849, -743, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156696, -1125, 3849, -765, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156738, -1160, 3855, -763, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156779, -1116, 3880, -751, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156821, -1137, 3850, -752, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156863, -1137, 3855, -754, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156904, -1137, 3838, -735, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156946, -1134, 3854, -821, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
156987, -1162, 3879, -718, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
157029, -1105, 3843, -805, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
157071, -1116, 3854, -707, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
157107, -1119, 3887, -809, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
157143, -1127, 3886, -750, 93, 10fb1cb8-2efc-4f76-a38e-653233033fdc, , berdiri, bersedekap, , 
