122805, 574, 4020, 987, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123676, 531, 3999, 886, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123712, 511, 3971, 948, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123748, 512, 3954, 931, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123784, 528, 3988, 923, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123820, 539, 4013, 920, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123856, 538, 4030, 919, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123892, 508, 3949, 928, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123928, 531, 3961, 921, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123964, 511, 3979, 908, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124000, 522, 3981, 925, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124036, 522, 4000, 890, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124077, 486, 3999, 896, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124118, 502, 3986, 860, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124160, 541, 3997, 914, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124201, 526, 3959, 939, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124243, 555, 3944, 977, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124284, 523, 4007, 881, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124325, 524, 4010, 911, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124367, 498, 3938, 921, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124408, 539, 3949, 958, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124450, 535, 3989, 951, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124489, 567, 3978, 930, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124528, 534, 3962, 903, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124567, 517, 3989, 917, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124606, 552, 4006, 927, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124645, 551, 3958, 958, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124684, 575, 3965, 928, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124723, 578, 4006, 925, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124762, 575, 3955, 940, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124801, 583, 4003, 919, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124841, 546, 3991, 942, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124876, 569, 3951, 915, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124912, 577, 3921, 992, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124947, 545, 4051, 872, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
124983, 577, 3980, 905, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125019, 561, 3943, 966, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125054, 559, 3910, 939, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125090, 572, 3984, 925, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125126, 600, 3993, 941, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125161, 572, 3997, 924, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125197, 571, 3967, 905, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125233, 558, 3957, 900, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125275, 545, 3984, 905, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125318, 557, 4013, 870, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125361, 575, 3991, 891, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125404, 567, 3982, 912, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125447, 576, 3954, 930, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125490, 556, 3954, 951, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125533, 565, 3976, 918, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125576, 570, 3970, 927, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125619, 566, 4004, 899, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125662, 567, 4002, 892, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125698, 559, 3938, 965, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125734, 546, 3948, 944, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125770, 598, 4018, 919, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125806, 566, 3965, 913, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125843, 559, 3940, 921, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125879, 543, 4015, 878, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125915, 546, 3994, 889, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125951, 566, 3985, 884, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
125987, 531, 3993, 850, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126024, 533, 3991, 864, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126062, 547, 3999, 872, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126100, 536, 4006, 840, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126138, 535, 3985, 816, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126176, 526, 3972, 825, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126214, 526, 4035, 788, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126253, 529, 4029, 783, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126291, 513, 3978, 870, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126329, 528, 3983, 888, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126367, 538, 4015, 843, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126405, 527, 4010, 850, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126444, 513, 4002, 860, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126484, 513, 3972, 859, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126524, 521, 3971, 871, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126564, 504, 3986, 868, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126605, 521, 4006, 859, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126645, 540, 3973, 902, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126685, 542, 3983, 873, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126726, 509, 3999, 880, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126766, 515, 3976, 856, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126806, 538, 3971, 910, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126847, 527, 4003, 833, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126882, 520, 4050, 839, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126918, 539, 3967, 910, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126954, 530, 3962, 881, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
126990, 531, 4029, 854, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127026, 525, 3992, 849, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127061, 530, 3990, 853, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127097, 499, 4012, 823, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127133, 487, 4001, 834, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127169, 514, 3985, 854, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127205, 514, 4033, 846, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127241, 540, 3980, 837, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127280, 496, 3965, 827, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127319, 488, 4017, 831, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127358, 504, 3972, 874, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127397, 484, 4034, 821, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127437, 474, 4020, 776, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127476, 461, 3990, 842, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127515, 495, 3970, 864, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127554, 507, 4016, 823, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127593, 502, 4011, 826, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127633, 469, 3989, 806, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127673, 467, 4011, 813, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127713, 461, 4005, 801, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127753, 499, 3965, 832, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127794, 483, 4015, 794, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127834, 469, 4042, 802, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127874, 493, 4001, 819, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127915, 471, 4015, 788, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127955, 481, 4004, 822, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
127995, 478, 4004, 755, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128036, 447, 4042, 736, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128074, 447, 4005, 825, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128112, 475, 3992, 805, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128150, 481, 4013, 764, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128188, 483, 4035, 758, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128226, 467, 4028, 763, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128264, 447, 4013, 763, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128302, 453, 3994, 770, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128340, 457, 4015, 769, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128378, 453, 4038, 755, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128416, 442, 4039, 749, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128454, 461, 4004, 776, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128492, 457, 4015, 780, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128530, 455, 4008, 770, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128568, 457, 4009, 703, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128606, 462, 4066, 722, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128645, 455, 4006, 750, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128683, 439, 3985, 732, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128721, 430, 4026, 700, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128759, 452, 4048, 688, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128797, 440, 4062, 678, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128836, 430, 4044, 669, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128874, 434, 4000, 694, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128913, 435, 4057, 671, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128951, 429, 4045, 637, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
128990, 426, 4040, 634, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129029, 433, 4048, 607, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129067, 424, 4047, 616, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129106, 418, 4037, 607, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129145, 430, 4061, 579, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129183, 411, 4042, 574, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129222, 413, 4021, 605, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129261, 417, 4052, 639, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129296, 432, 4032, 608, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129332, 421, 4041, 627, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129368, 427, 4056, 634, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129404, 421, 4001, 620, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129440, 421, 4061, 591, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129476, 433, 4086, 624, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129512, 415, 4059, 635, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129548, 411, 4044, 630, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129584, 427, 4040, 653, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129620, 423, 4060, 586, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129659, 424, 4054, 611, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129698, 409, 3988, 650, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129737, 437, 4047, 642, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129776, 473, 4078, 610, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129815, 459, 4023, 665, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129854, 428, 4052, 678, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129893, 422, 4062, 648, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129932, 441, 4030, 646, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
129971, 453, 4012, 660, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130010, 444, 4040, 648, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130050, 442, 4046, 645, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130090, 425, 4038, 638, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130130, 452, 4040, 703, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130170, 438, 4065, 635, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130210, 444, 4039, 644, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130250, 435, 4040, 668, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130290, 438, 4018, 662, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130330, 430, 4041, 669, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130370, 441, 4070, 634, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130410, 441, 4034, 673, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130450, 435, 4022, 661, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130489, 439, 4042, 659, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130528, 436, 4055, 663, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130567, 438, 4063, 646, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130606, 404, 4032, 643, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130645, 452, 4036, 668, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130684, 432, 4020, 640, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130723, 441, 4057, 624, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130762, 422, 4056, 653, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130801, 427, 4029, 656, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130840, 416, 4023, 670, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130876, 444, 4036, 671, 85, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130913, 439, 4051, 630, 85, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130950, 414, 4049, 628, 85, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
130986, 426, 4027, 633, 85, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131023, 447, 4032, 649, 85, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131060, 418, 4083, 622, 85, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131097, 421, 4049, 626, 85, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131133, 395, 4034, 636, 85, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131170, 408, 4054, 664, 85, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131207, 398, 4057, 598, 85, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131244, 423, 4053, 647, 85, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131283, 408, 4032, 647, 84, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131322, 406, 4052, 632, 84, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131361, 405, 4039, 631, 84, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131400, 402, 4038, 634, 84, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131440, 430, 4055, 618, 84, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131479, 398, 4029, 631, 84, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
131518, 426, 4021, 666, 84, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
