198851, -84, 3959, 665, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200894, -150, 4107, 405, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200934, -119, 4084, 377, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200974, -116, 4077, 347, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201013, -138, 4105, 375, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201053, -151, 4109, 388, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201093, -145, 4108, 391, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201132, -145, 4116, 365, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201172, -127, 4045, 332, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201212, -122, 4065, 386, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201251, -164, 4077, 356, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201290, -148, 4080, 341, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201329, -142, 4109, 345, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201368, -129, 4087, 336, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201407, -163, 4063, 341, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201446, -169, 4091, 328, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201485, -159, 4117, 336, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201524, -105, 4091, 328, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201563, -139, 4076, 323, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201603, -146, 4082, 309, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201635, -158, 4090, 319, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201667, -174, 4087, 332, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201700, -184, 4085, 308, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201732, -159, 4115, 284, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201765, -175, 4106, 280, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201797, -127, 4084, 299, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201830, -86, 4074, 313, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201862, -106, 4079, 335, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201895, -135, 4070, 341, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201927, -135, 4109, 327, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
201960, -138, 4087, 318, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202000, -142, 4078, 335, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202041, -144, 4106, 340, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202081, -170, 4098, 336, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202122, -142, 4105, 319, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202163, -118, 4076, 338, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202203, -68, 4093, 314, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202244, -103, 4085, 300, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202284, -108, 4084, 299, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202325, -108, 4097, 319, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202366, -93, 4087, 322, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202407, -84, 4083, 291, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202449, -106, 4077, 313, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202491, -117, 4076, 335, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202533, -95, 4115, 323, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202575, -83, 4097, 311, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202617, -101, 4073, 321, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202659, -85, 4092, 289, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202701, -82, 4118, 331, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202743, -100, 4125, 326, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202785, -87, 4106, 294, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202824, -91, 4086, 325, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202864, -105, 4101, 311, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202903, -120, 4116, 317, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202943, -106, 4092, 320, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
202982, -93, 4092, 298, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203022, -96, 4105, 300, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203061, -123, 4111, 350, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203101, -94, 4092, 309, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203140, -92, 4114, 331, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203180, -83, 4112, 306, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203220, -77, 4082, 314, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203256, -75, 4105, 310, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203293, -79, 4111, 330, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203329, -81, 4070, 310, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203366, -58, 4065, 294, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203402, -84, 4122, 296, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203439, -90, 4104, 326, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203475, -60, 4090, 319, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203512, -76, 4092, 324, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203548, -78, 4094, 302, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203585, -134, 4105, 323, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203620, -109, 4098, 329, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203655, -116, 4106, 307, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203690, -91, 4060, 302, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203725, -48, 4081, 315, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203760, -72, 4116, 307, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203795, -111, 4089, 306, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203830, -87, 4090, 330, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203865, -106, 4095, 318, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203900, -98, 4103, 310, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203935, -129, 4113, 290, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
203971, -134, 4100, 257, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204011, -102, 4062, 275, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204052, -88, 4079, 275, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204092, -90, 4111, 224, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204133, -105, 4104, 253, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204173, -120, 4125, 260, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204214, -80, 4100, 219, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204254, -72, 4057, 217, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204295, -83, 4104, 249, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204335, -76, 4137, 232, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204376, -80, 4096, 235, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204415, -62, 4063, 208, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204454, -126, 4101, 212, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204493, -137, 4143, 199, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204533, -126, 4102, 221, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204572, -153, 4107, 240, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204611, -129, 4103, 220, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204651, -83, 4088, 197, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204690, -120, 4087, 163, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204729, -129, 4087, 217, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204769, -122, 4108, 200, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204806, -97, 4104, 188, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204843, -107, 4117, 205, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204880, -98, 4102, 214, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204917, -134, 4091, 219, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204954, -109, 4062, 212, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
204991, -88, 4091, 223, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205028, -107, 4110, 225, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205065, -105, 4093, 219, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205102, -147, 4089, 224, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205139, -148, 4096, 218, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205176, -107, 4082, 237, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205217, -105, 4103, 230, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205259, -123, 4086, 206, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205301, -149, 4087, 244, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205342, -126, 4113, 227, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205384, -117, 4082, 230, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205426, -104, 4111, 274, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205467, -107, 4103, 228, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205509, -139, 4100, 232, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205551, -148, 4118, 232, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205593, -131, 4076, 229, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205635, -129, 4112, 245, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205677, -145, 4125, 236, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205719, -159, 4079, 252, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205761, -123, 4083, 235, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205803, -126, 4099, 263, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205845, -124, 4083, 207, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205887, -138, 4084, 253, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205929, -139, 4118, 248, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
205971, -110, 4110, 241, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206013, -131, 4084, 260, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206046, -129, 4112, 269, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206080, -121, 4131, 249, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206113, -121, 4080, 260, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206147, -133, 4078, 243, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206181, -121, 4112, 249, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206214, -124, 4090, 270, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206248, -153, 4095, 260, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206282, -124, 4104, 245, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206315, -129, 4089, 255, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206349, -123, 4109, 249, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206383, -125, 4072, 213, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206420, -144, 4083, 234, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206458, -132, 4114, 238, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206496, -111, 4107, 225, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206533, -112, 4102, 234, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206571, -128, 4129, 232, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206609, -128, 4097, 244, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206646, -113, 4099, 217, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206684, -104, 4077, 214, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206722, -139, 4113, 225, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206760, -133, 4140, 213, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206797, -138, 4090, 200, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206834, -149, 4083, 202, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206871, -130, 4103, 211, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206908, -105, 4137, 234, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206945, -127, 4161, 162, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
206983, -155, 4091, 199, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
207020, -144, 4145, 218, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
207057, -91, 4201, 284, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
207094, -84, 4245, 310, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
207131, 210, 4352, 335, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
207169, 817, 3786, 300, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
207211, -1147, 4736, 437, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
