53959, -547, 4206, -1260, 83, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55321, -430, 3988, -858, 84, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55360, -445, 3950, -897, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55400, -466, 3977, -838, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55440, -494, 3968, -845, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55480, -502, 4007, -818, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55520, -493, 3981, -824, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55560, -500, 3982, -858, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55600, -498, 3965, -829, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55640, -495, 3990, -845, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55680, -511, 3968, -816, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55720, -485, 3990, -834, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55760, -501, 3963, -813, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55801, -515, 3959, -855, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55841, -479, 3976, -879, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55882, -506, 3965, -837, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55922, -476, 3983, -816, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
55963, -521, 4006, -832, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56003, -531, 4004, -833, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56044, -525, 3973, -843, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56084, -521, 3940, -817, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56125, -519, 3973, -819, 85, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56160, -534, 4100, -843, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56196, -489, 4070, -925, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56232, -514, 3993, -780, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56268, -521, 3993, -814, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56304, -556, 3954, -826, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56339, -559, 3959, -803, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56375, -568, 3989, -824, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56411, -564, 4007, -789, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56447, -521, 3978, -832, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56483, -555, 3951, -766, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56519, -536, 3996, -799, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56558, -511, 3969, -798, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56598, -509, 3985, -802, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56638, -542, 3972, -790, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56678, -552, 3987, -796, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56718, -572, 3966, -777, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56758, -518, 4000, -773, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56798, -537, 3946, -819, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56838, -559, 3968, -772, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56878, -503, 3990, -823, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56918, -745, 4171, -834, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56955, -509, 3978, -856, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
56992, -557, 3979, -761, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57029, -551, 3946, -730, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57067, -549, 4005, -672, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57104, -551, 3963, -657, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57141, -464, 4000, -659, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57178, -472, 4044, -669, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57216, -551, 4041, -575, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57253, -570, 3966, -632, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57290, -560, 3943, -585, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57328, -514, 3968, -573, 87, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57367, -525, 4018, -588, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57407, -515, 4034, -592, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57446, -514, 3984, -621, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57486, -496, 4006, -637, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57525, -501, 4020, -649, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57565, -535, 4053, -654, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57604, -494, 3995, -689, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57644, -529, 4017, -661, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57683, -508, 4006, -691, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57723, -513, 4048, -706, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57763, -506, 4004, -668, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57803, -516, 3986, -669, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57843, -532, 3996, -686, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57883, -545, 3962, -652, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57923, -507, 4027, -692, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
57963, -514, 4014, -679, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58003, -525, 4012, -681, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58043, -518, 3973, -669, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58083, -537, 4014, -672, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58123, -515, 4023, -700, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58158, -499, 3999, -660, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58194, -544, 4062, -706, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58229, -537, 4049, -714, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58265, -552, 3995, -697, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58300, -529, 3973, -710, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58336, -504, 3990, -719, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58371, -491, 4020, -750, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58407, -519, 4004, -726, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58442, -516, 4006, -718, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58478, -487, 3977, -722, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58514, -508, 4004, -725, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58556, -483, 3994, -797, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58599, -490, 4033, -704, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58642, -525, 4012, -754, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58684, -500, 4021, -744, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58727, -513, 3994, -744, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58770, -517, 3985, -711, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58812, -524, 3999, -746, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58855, -506, 3969, -716, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58898, -556, 4008, -733, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58941, -545, 3985, -715, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
58977, -527, 3974, -736, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59014, -527, 3953, -732, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59050, -511, 3962, -733, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59087, -517, 3949, -771, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59123, -555, 3958, -739, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59160, -509, 4020, -747, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59196, -513, 4027, -767, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59233, -542, 3988, -762, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59269, -509, 4002, -780, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59306, -518, 4002, -733, 89, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59340, -496, 4016, -802, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59375, -473, 3985, -737, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59410, -536, 3990, -790, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59445, -518, 3953, -763, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59480, -527, 4010, -786, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59514, -528, 3979, -738, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59549, -524, 3978, -748, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59584, -497, 3984, -741, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59619, -557, 4015, -779, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59654, -526, 3962, -739, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59689, -525, 4005, -760, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59732, -523, 4055, -727, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59775, -524, 4069, -748, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59818, -538, 3988, -720, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59862, -529, 3955, -729, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59905, -518, 3994, -745, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59948, -524, 3962, -739, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
59992, -519, 3963, -726, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60035, -519, 3958, -715, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60078, -551, 3977, -721, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60122, -515, 3986, -760, 90, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60158, -498, 3945, -737, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60194, -537, 3957, -750, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60231, -517, 4023, -744, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60267, -551, 4037, -770, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60303, -541, 3995, -728, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60340, -533, 3968, -752, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60376, -509, 3975, -743, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60412, -549, 4035, -769, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60449, -521, 3984, -763, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60485, -518, 3982, -760, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60522, -533, 4022, -764, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60560, -549, 4013, -763, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60599, -537, 3977, -760, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60638, -548, 3979, -768, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60676, -526, 4005, -756, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60715, -547, 3973, -738, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60754, -533, 3971, -779, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60792, -527, 4046, -740, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60831, -503, 3992, -804, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60870, -503, 3996, -727, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60909, -525, 3970, -772, 91, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60950, -524, 3971, -746, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
60991, -499, 4011, -776, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61032, -532, 4003, -737, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61073, -492, 4017, -794, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61114, -491, 3956, -745, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61155, -537, 4006, -780, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61196, -533, 3991, -750, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61237, -514, 4001, -768, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61278, -525, 3993, -757, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61319, -532, 4003, -766, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61355, -552, 3957, -780, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61392, -558, 3973, -737, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61428, -543, 3988, -762, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61465, -531, 3989, -758, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61501, -533, 4018, -786, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61538, -525, 3998, -786, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61574, -547, 4017, -744, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61611, -548, 3967, -774, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61647, -529, 4022, -749, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61684, -550, 4003, -758, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61721, -536, 3967, -784, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61759, -542, 3977, -747, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61798, -517, 4021, -791, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61837, -522, 3996, -756, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61876, -513, 3951, -762, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61915, -514, 3972, -737, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61954, -530, 3989, -767, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
61993, -501, 3968, -753, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62032, -550, 3985, -764, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62071, -518, 3978, -780, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62110, -515, 3996, -783, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62147, -510, 3954, -786, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62184, -518, 3975, -796, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62222, -493, 3985, -786, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62259, -522, 3986, -795, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62297, -551, 3937, -768, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62334, -532, 3985, -783, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62372, -533, 4003, -772, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62409, -511, 3964, -826, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62447, -494, 3992, -773, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62484, -518, 3991, -832, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62522, -516, 3982, -796, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62561, -501, 4009, -814, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62601, -543, 3992, -752, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62641, -534, 4002, -798, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
62680, -521, 3971, -774, 92, f2a27ce9-879d-4f5c-82ca-d402c5bdb19c, , berdiri, bersedekap, , 
