61448, -713, 3871, -1243, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63426, -786, 3785, -1227, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63463, -810, 3822, -1265, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63503, -792, 3822, -1275, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63543, -759, 3825, -1257, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63583, -765, 3820, -1271, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63623, -759, 3816, -1293, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63663, -769, 3814, -1268, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63703, -761, 3856, -1285, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63743, -765, 3809, -1255, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63783, -759, 3818, -1257, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63823, -793, 3816, -1287, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63863, -755, 3821, -1262, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63904, -786, 3793, -1267, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63945, -771, 3830, -1261, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63986, -769, 3823, -1285, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64027, -743, 3797, -1268, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64068, -751, 3833, -1297, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64109, -729, 3771, -1283, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64150, -752, 3793, -1245, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64191, -757, 3845, -1320, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64232, -720, 3836, -1248, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64273, -757, 3866, -1287, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64315, -709, 3828, -1286, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64349, -742, 3848, -1261, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64384, -765, 3819, -1265, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64419, -729, 3822, -1292, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64454, -701, 3828, -1232, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64489, -738, 3810, -1265, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64523, -724, 3807, -1253, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64558, -749, 3801, -1254, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64593, -738, 3793, -1267, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64628, -709, 3786, -1224, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64663, -742, 3817, -1266, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64700, -756, 3822, -1278, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64738, -740, 3834, -1249, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64776, -738, 3845, -1264, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64814, -718, 3801, -1291, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64852, -729, 3790, -1268, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64890, -695, 3828, -1232, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64928, -679, 3837, -1306, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
64966, -659, 3829, -1310, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65004, -690, 3817, -1285, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65042, -677, 3843, -1303, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65080, -722, 3832, -1294, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65118, -724, 3821, -1290, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65157, -686, 3814, -1300, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65196, -681, 3825, -1289, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65235, -664, 3796, -1299, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65274, -691, 3838, -1264, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65313, -723, 3863, -1293, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65352, -710, 3817, -1308, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65391, -684, 3783, -1267, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65430, -717, 3835, -1309, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65469, -704, 3845, -1291, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65510, -682, 3810, -1260, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65551, -692, 3818, -1275, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65592, -721, 3833, -1308, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65633, -745, 3823, -1278, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65674, -728, 3818, -1249, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65715, -706, 3808, -1270, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65756, -699, 3842, -1271, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65797, -712, 3793, -1281, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65838, -736, 3827, -1262, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65880, -727, 3810, -1283, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65915, -714, 3836, -1267, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65950, -716, 3845, -1295, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
65986, -716, 3855, -1307, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66021, -717, 3844, -1279, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66057, -714, 3825, -1254, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66092, -715, 3831, -1276, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66128, -706, 3822, -1286, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66163, -733, 3795, -1271, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66199, -728, 3806, -1290, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66234, -761, 3822, -1281, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66270, -750, 3806, -1278, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66309, -718, 3834, -1263, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66349, -719, 3857, -1313, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66389, -721, 3813, -1255, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66429, -740, 3820, -1278, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66469, -736, 3821, -1265, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66508, -716, 3753, -1291, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66548, -728, 3820, -1229, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66588, -758, 3798, -1285, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66628, -723, 3795, -1260, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66668, -740, 3795, -1272, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66705, -762, 3824, -1296, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66742, -784, 3824, -1272, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66780, -770, 3827, -1302, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66817, -748, 3799, -1289, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66855, -752, 3835, -1290, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66892, -744, 3819, -1293, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66930, -735, 3791, -1275, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
66967, -750, 3849, -1282, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67005, -748, 3833, -1311, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67042, -735, 3759, -1268, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67080, -768, 3828, -1299, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67118, -785, 3842, -1271, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67157, -767, 3808, -1302, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67195, -727, 3875, -1281, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67234, -734, 3801, -1323, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67273, -769, 3822, -1276, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67311, -773, 3821, -1309, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67350, -758, 3788, -1294, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67388, -772, 3768, -1303, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67427, -744, 3821, -1321, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67466, -712, 3834, -1297, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67506, -717, 3808, -1308, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67547, -748, 3790, -1292, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67588, -698, 3865, -1339, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67629, -711, 3800, -1287, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67670, -730, 3808, -1309, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67711, -737, 3838, -1292, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67752, -741, 3793, -1289, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67793, -751, 3784, -1305, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67834, -722, 3797, -1292, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67875, -750, 3830, -1271, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67911, -769, 3797, -1295, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67948, -733, 3798, -1274, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
67985, -747, 3767, -1278, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68022, -738, 3834, -1303, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68059, -739, 3850, -1282, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68095, -757, 3805, -1298, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68132, -747, 3826, -1292, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68169, -758, 3833, -1298, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68206, -746, 3846, -1294, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68243, -749, 3849, -1269, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68280, -708, 3805, -1280, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68320, -741, 3820, -1266, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68360, -748, 3860, -1291, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68400, -720, 3801, -1280, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68440, -727, 3840, -1276, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68481, -735, 3861, -1270, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68521, -744, 3832, -1269, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68561, -725, 3833, -1293, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68601, -715, 3793, -1250, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68641, -772, 3772, -1266, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68682, -719, 3824, -1257, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68715, -705, 3770, -1258, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68748, -737, 3820, -1263, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68781, -708, 3797, -1303, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68815, -731, 3822, -1240, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68848, -753, 3822, -1291, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68881, -729, 3857, -1305, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68914, -740, 3804, -1280, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68948, -724, 3823, -1280, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
68981, -728, 3809, -1289, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69014, -710, 3824, -1294, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69048, -684, 3825, -1276, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69088, -729, 3838, -1278, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69129, -746, 3821, -1316, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69169, -714, 3814, -1275, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69210, -719, 3867, -1302, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69250, -717, 3818, -1291, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69291, -714, 3832, -1297, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69331, -705, 3789, -1277, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69372, -709, 3818, -1311, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69412, -718, 3816, -1295, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69453, -715, 3793, -1299, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69492, -703, 3846, -1282, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69531, -688, 3803, -1318, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69571, -697, 3819, -1275, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69610, -732, 3816, -1305, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69650, -709, 3816, -1291, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69689, -715, 3847, -1318, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69728, -694, 3835, -1326, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69768, -713, 3826, -1309, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69807, -666, 3823, -1283, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69847, -722, 3852, -1296, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69885, -741, 3856, -1327, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69923, -713, 3779, -1284, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
69962, -722, 3793, -1292, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70000, -731, 3855, -1295, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70039, -739, 3802, -1280, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70077, -730, 3828, -1294, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70116, -740, 3830, -1287, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70154, -735, 3791, -1275, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70193, -737, 3783, -1263, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70231, -742, 3799, -1300, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70270, -758, 3819, -1242, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70316, -721, 3780, -1320, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70363, -710, 3796, -1260, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70410, -718, 3805, -1282, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70457, -754, 3808, -1286, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
70504, -740, 3849, -1314, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
