14108, -978, 3823, -1451, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18816, -1153, 3714, -1326, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18854, -1201, 3721, -1261, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18892, -1150, 3627, -1283, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18930, -1102, 3601, -1223, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18967, -1031, 3690, -1308, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19004, -1066, 3712, -1314, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19041, -1163, 3767, -1356, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19079, -1166, 3729, -1356, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19116, -1188, 3712, -1382, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19153, -1154, 3628, -1318, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19191, -1161, 3661, -1346, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19228, -1130, 3743, -1385, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19265, -1085, 3680, -1433, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19303, -1141, 3717, -1377, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19340, -1179, 3604, -1401, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19377, -1182, 3626, -1374, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19414, -1118, 3689, -1450, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19451, -1105, 3677, -1425, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19488, -1118, 3667, -1389, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19525, -1102, 3705, -1402, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19562, -1069, 3676, -1405, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19599, -1108, 3732, -1363, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19636, -1108, 3758, -1416, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19673, -1171, 3742, -1390, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19710, -1200, 3704, -1378, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19747, -1146, 3637, -1360, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19785, -1155, 3654, -1390, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19822, -1168, 3683, -1387, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19859, -1127, 3679, -1407, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19897, -1100, 3695, -1383, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19934, -1077, 3762, -1436, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
19971, -1079, 3726, -1386, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20009, -1077, 3721, -1374, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20046, -1054, 3661, -1389, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20084, -1083, 3697, -1413, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20126, -1048, 3681, -1438, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20168, -1082, 3646, -1353, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20210, -1094, 3723, -1381, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20252, -1063, 3665, -1363, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20294, -1060, 3666, -1367, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20336, -1050, 3744, -1409, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20378, -1048, 3696, -1431, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20420, -1059, 3682, -1359, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20462, -1035, 3670, -1405, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20504, -1094, 3681, -1384, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20543, -1107, 3709, -1398, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20583, -1042, 3590, -1392, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20622, -1113, 3635, -1334, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20662, -1065, 3671, -1441, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20702, -1094, 3781, -1387, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20741, -1126, 3730, -1370, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20781, -1094, 3635, -1388, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20821, -1068, 3648, -1384, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20860, -1102, 3699, -1370, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20900, -1030, 3700, -1442, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20940, -1065, 3669, -1385, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
20976, -1067, 3704, -1417, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21013, -1049, 3735, -1405, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21050, -1084, 3720, -1387, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21086, -1100, 3728, -1383, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21123, -1067, 3693, -1421, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21160, -1039, 3642, -1415, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21196, -1066, 3690, -1400, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21233, -1084, 3690, -1435, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21270, -1056, 3686, -1431, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21307, -1062, 3713, -1401, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21346, -1053, 3704, -1443, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21386, -1080, 3693, -1405, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21425, -1093, 3687, -1436, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21465, -1092, 3670, -1425, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21505, -1080, 3670, -1407, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21544, -1102, 3678, -1458, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21584, -1119, 3683, -1394, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21623, -1104, 3680, -1407, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21663, -1071, 3688, -1412, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21703, -1079, 3675, -1431, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21739, -1100, 3641, -1415, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21775, -1066, 3672, -1442, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21812, -1093, 3663, -1414, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21848, -1064, 3659, -1470, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21884, -1117, 3674, -1424, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21921, -1083, 3685, -1448, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21957, -1042, 3664, -1488, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
21993, -1107, 3674, -1393, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22030, -1027, 3663, -1447, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22066, -1086, 3738, -1390, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22103, -1065, 3730, -1431, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22143, -1101, 3681, -1452, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22183, -1069, 3628, -1434, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22224, -1093, 3688, -1441, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22264, -1086, 3714, -1418, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22305, -1063, 3660, -1441, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22345, -1109, 3670, -1419, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22385, -1096, 3683, -1441, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22426, -1101, 3703, -1438, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22466, -1094, 3717, -1454, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22507, -1098, 3725, -1434, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
22543, -1131, 3680, -1387, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
