156841, -529, 3608, -2052, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158526, -699, 3667, -1897, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158564, -710, 3598, -1884, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158603, -730, 3570, -1842, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158641, -714, 3577, -1845, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158680, -734, 3509, -1872, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158718, -705, 3543, -1856, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158757, -762, 3542, -1918, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158795, -765, 3564, -1915, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158834, -790, 3592, -1966, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158872, -726, 3571, -1989, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158911, -777, 3554, -1856, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158949, -767, 3501, -1984, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158988, -759, 3565, -1885, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159026, -743, 3530, -1926, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159065, -782, 3539, -1904, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159103, -770, 3498, -1930, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159142, -733, 3529, -1888, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159180, -745, 3526, -1946, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159219, -772, 3530, -1888, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159259, -749, 3561, -1957, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159300, -755, 3528, -1966, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159341, -725, 3589, -1996, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159382, -748, 3484, -1941, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159423, -764, 3540, -1954, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159464, -765, 3575, -1970, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159505, -740, 3500, -1990, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159546, -749, 3571, -1874, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159587, -740, 3502, -2012, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159628, -723, 3538, -1942, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159669, -742, 3508, -1934, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159703, -758, 3517, -1942, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159738, -740, 3541, -1949, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159772, -722, 3524, -1953, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159807, -731, 3478, -1958, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159842, -729, 3496, -1942, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159876, -676, 3565, -2005, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159911, -724, 3557, -1930, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159945, -699, 3505, -2002, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
159980, -689, 3512, -1948, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160015, -721, 3538, -2011, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160053, -739, 3525, -1974, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160092, -714, 3518, -1970, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160131, -720, 3524, -1966, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160169, -690, 3469, -2042, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160208, -676, 3513, -1943, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160247, -719, 3507, -1992, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160286, -692, 3500, -2004, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160324, -703, 3517, -1967, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160363, -742, 3556, -1987, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160402, -686, 3519, -1999, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160441, -691, 3488, -1988, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160480, -679, 3483, -1976, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160519, -686, 3434, -1948, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160558, -681, 3544, -1993, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160597, -671, 3552, -2020, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160636, -683, 3503, -1980, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160675, -715, 3529, -1969, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160714, -637, 3502, -1999, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160753, -699, 3507, -1944, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160792, -657, 3493, -1992, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160831, -664, 3548, -1936, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160871, -688, 3544, -1993, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160912, -656, 3504, -1987, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160953, -689, 3545, -1951, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
160994, -680, 3527, -2032, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161035, -704, 3495, -1911, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161076, -691, 3520, -1963, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161117, -712, 3523, -1960, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161158, -697, 3487, -1991, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161199, -681, 3498, -1982, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161240, -680, 3422, -1956, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161276, -699, 3542, -1992, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161312, -672, 3527, -2013, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161349, -687, 3531, -1977, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161385, -677, 3492, -2039, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161421, -668, 3531, -1946, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161458, -697, 3531, -2025, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161494, -698, 3514, -1987, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161530, -684, 3533, -2004, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161567, -706, 3478, -1983, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161603, -703, 3500, -1997, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161640, -698, 3521, -1971, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161677, -722, 3491, -1952, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161715, -726, 3527, -1978, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161753, -731, 3520, -1968, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161791, -690, 3528, -1973, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161829, -729, 3483, -1947, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161866, -724, 3501, -1955, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161904, -739, 3506, -1878, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161942, -753, 3550, -1971, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
161980, -746, 3593, -1901, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162018, -739, 3567, -1939, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162060, -748, 3487, -1931, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162102, -763, 3463, -1910, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162145, -769, 3479, -1939, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162187, -743, 3484, -1943, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162229, -709, 3569, -1950, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162272, -684, 3595, -1968, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162314, -685, 3566, -1922, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162356, -713, 3547, -1924, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162399, -772, 3538, -1892, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162441, -781, 3489, -1912, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162484, -762, 3489, -1962, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162520, -810, 3521, -1874, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162556, -742, 3527, -1995, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162592, -741, 3570, -1897, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162628, -710, 3529, -1965, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162665, -707, 3494, -1978, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162701, -697, 3489, -1946, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162737, -701, 3485, -1967, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162773, -738, 3564, -1993, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162809, -743, 3562, -1969, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162846, -719, 3557, -2037, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162886, -689, 3513, -1978, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162927, -664, 3490, -2007, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
162968, -684, 3530, -2030, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163008, -697, 3489, -2050, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163049, -625, 3466, -2054, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163090, -678, 3465, -2023, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163130, -692, 3505, -2068, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163171, -680, 3541, -1973, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163212, -698, 3505, -2090, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163253, -648, 3490, -2068, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163287, -658, 3463, -2011, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163322, -666, 3489, -2051, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163356, -678, 3508, -2024, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163391, -687, 3497, -1984, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163426, -665, 3570, -2043, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163460, -676, 3515, -1993, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163495, -699, 3495, -1981, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163530, -706, 3497, -2025, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163564, -704, 3484, -2005, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163599, -708, 3427, -1987, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163634, -685, 3521, -1970, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163674, -670, 3457, -2048, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163715, -661, 3513, -1965, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163755, -657, 3489, -2038, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163796, -669, 3496, -2050, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163837, -709, 3525, -2005, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163877, -688, 3538, -2057, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163918, -692, 3483, -2021, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163958, -671, 3475, -2008, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
163999, -686, 3489, -2028, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164040, -690, 3483, -2041, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164077, -688, 3489, -2002, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164114, -690, 3479, -2036, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164151, -681, 3478, -2080, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164188, -698, 3469, -1999, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164225, -711, 3492, -2043, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164262, -656, 3512, -2026, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164299, -685, 3497, -2031, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164336, -714, 3460, -2040, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164373, -695, 3475, -2029, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164410, -696, 3488, -2038, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164448, -681, 3478, -2062, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164486, -703, 3486, -2037, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164525, -667, 3463, -2053, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164564, -675, 3494, -2061, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164602, -675, 3486, -2049, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164641, -680, 3469, -2043, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164680, -681, 3439, -2035, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164718, -663, 3487, -2062, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164757, -707, 3482, -2034, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164796, -628, 3502, -2068, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164835, -642, 3500, -2040, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164880, -650, 3487, -2045, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164925, -667, 3441, -2035, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
164970, -686, 3513, -2036, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165015, -662, 3501, -2075, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165060, -675, 3497, -1996, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165105, -664, 3497, -2050, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165150, -661, 3476, -2035, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165195, -668, 3460, -2015, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165240, -674, 3489, -1993, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165286, -677, 3519, -2010, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165319, -660, 3494, -2014, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165352, -652, 3524, -2010, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165385, -672, 3491, -2079, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165418, -658, 3517, -1996, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165451, -679, 3501, -2031, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165484, -685, 3475, -2036, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165517, -657, 3510, -2032, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165550, -656, 3473, -2035, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165583, -673, 3475, -2000, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165616, -674, 3506, -2043, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165649, -670, 3494, -2013, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165687, -652, 3494, -2045, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165726, -641, 3505, -2026, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165764, -674, 3483, -2025, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165803, -678, 3460, -2062, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165841, -702, 3493, -1996, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165880, -706, 3488, -2069, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165918, -659, 3502, -2010, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165957, -666, 3497, -2035, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
165995, -705, 3486, -2032, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166034, -685, 3499, -2013, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166070, -715, 3529, -2045, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166107, -718, 3550, -2053, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166144, -689, 3484, -2013, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166181, -710, 3498, -2024, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166218, -682, 3509, -2018, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166255, -695, 3475, -2034, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166292, -704, 3500, -2031, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166329, -686, 3449, -2001, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166366, -705, 3481, -2021, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166403, -731, 3531, -1998, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166440, -692, 3445, -2015, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166480, -666, 3510, -1981, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
166521, -688, 3432, -2036, 74, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
