187115, -1269, 3309, -1830, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187711, -1453, 3281, -1904, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187752, -1480, 3288, -1900, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187792, -1496, 3307, -1885, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187832, -1489, 3304, -1881, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187873, -1496, 3299, -1919, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187913, -1507, 3302, -1876, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187954, -1460, 3320, -1916, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187992, -1508, 3300, -1923, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188030, -1499, 3301, -1915, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188068, -1533, 3295, -1910, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188106, -1519, 3305, -1939, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188144, -1472, 3274, -1952, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188183, -1514, 3256, -1865, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188221, -1456, 3297, -1989, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188259, -1479, 3310, -1989, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188297, -1443, 3237, -1919, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188335, -1449, 3320, -1931, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188374, -1472, 3257, -1950, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188411, -1489, 3264, -1899, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188449, -1468, 3352, -1945, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188486, -1461, 3268, -1966, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188524, -1443, 3263, -1891, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188562, -1462, 3264, -1930, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188599, -1453, 3317, -2002, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188637, -1446, 3236, -1955, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188674, -1473, 3340, -1923, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188712, -1476, 3301, -1955, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188750, -1459, 3305, -1946, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188790, -1449, 3281, -1944, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188830, -1449, 3269, -1948, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188871, -1508, 3294, -1859, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188911, -1433, 3229, -1942, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188952, -1429, 3251, -1881, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
188992, -1493, 3348, -1929, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189032, -1475, 3274, -1929, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189073, -1455, 3297, -1935, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189113, -1471, 3297, -1948, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189154, -1445, 3221, -1944, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189195, -1431, 3313, -1918, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189236, -1458, 3309, -1950, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189277, -1477, 3299, -1940, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189318, -1444, 3273, -1926, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189359, -1468, 3281, -1949, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189400, -1551, 3360, -1958, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189441, -1461, 3339, -1947, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189482, -1449, 3321, -1957, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189523, -1467, 3222, -1915, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189564, -1460, 3332, -1922, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189605, -1459, 3299, -1957, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189641, -1441, 3286, -1922, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189677, -1474, 3187, -1946, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189713, -1484, 3326, -1996, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189750, -1478, 3288, -1930, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189786, -1442, 3193, -1939, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189822, -1450, 3243, -1896, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189859, -1456, 3311, -1957, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189895, -1497, 3331, -1909, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189931, -1505, 3297, -2011, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
189968, -1446, 3260, -1921, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190004, -1447, 3292, -1961, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190041, -1446, 3290, -1939, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190077, -1462, 3290, -1934, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190114, -1444, 3264, -1941, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190150, -1494, 3311, -1927, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190187, -1454, 3263, -1957, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190223, -1465, 3262, -1903, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190260, -1436, 3285, -1961, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190296, -1467, 3280, -1931, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190333, -1491, 3316, -1957, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190370, -1484, 3246, -1966, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190408, -1462, 3272, -1927, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190446, -1453, 3251, -1929, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190484, -1446, 3285, -1945, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190522, -1473, 3267, -1929, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190561, -1488, 3292, -1956, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190599, -1460, 3266, -1938, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190637, -1459, 3285, -1964, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190675, -1481, 3270, -1940, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190713, -1461, 3263, -1978, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190752, -1442, 3231, -1905, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190792, -1474, 3250, -1963, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190833, -1464, 3335, -1957, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190873, -1454, 3294, -1976, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190914, -1457, 3312, -1938, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190954, -1469, 3276, -1924, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
190995, -1433, 3224, -1967, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191035, -1408, 3243, -1952, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191076, -1412, 3305, -1923, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191116, -1514, 3398, -1935, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191157, -1458, 3306, -1944, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191197, -1479, 3308, -1926, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191237, -1542, 3366, -1991, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191277, -1519, 3216, -1944, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191317, -1522, 3232, -1868, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191357, -1521, 3233, -1958, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191398, -1526, 3296, -1930, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191438, -1449, 3205, -1924, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191478, -1418, 3246, -1888, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191518, -1406, 3186, -1915, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191558, -1447, 3249, -1893, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191599, -1509, 3341, -1920, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191635, -1525, 3310, -1972, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191672, -1510, 3295, -1927, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191708, -1530, 3298, -1939, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191745, -1507, 3255, -1927, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191781, -1505, 3273, -1914, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191818, -1526, 3147, -1769, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191854, -1490, 3412, -1972, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191891, -1510, 3210, -1955, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191927, -1470, 3316, -1979, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
191964, -1492, 3306, -1914, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192000, -1429, 3276, -1972, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192036, -1434, 3301, -1916, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192073, -1462, 3274, -2001, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192109, -1464, 3268, -1945, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192146, -1476, 3285, -1958, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192182, -1459, 3323, -1993, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192219, -1435, 3304, -1988, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192255, -1408, 3277, -1927, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192292, -1450, 3279, -1956, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192328, -1427, 3271, -1949, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192365, -1446, 3295, -1945, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192403, -1424, 3304, -1954, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192442, -1465, 3262, -1928, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192481, -1445, 3266, -1956, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192520, -1470, 3311, -1943, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192559, -1467, 3316, -1993, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192598, -1452, 3324, -1968, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192637, -1444, 3294, -1958, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192676, -1440, 3318, -1958, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192715, -1472, 3361, -1967, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192754, -1422, 3317, -1963, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192795, -1461, 3298, -1931, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192837, -1451, 3319, -1958, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192879, -1457, 3300, -1944, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192921, -1436, 3315, -1926, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
192963, -1430, 3311, -1942, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193005, -1421, 3266, -1907, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193047, -1452, 3300, -1924, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193089, -1428, 3296, -1946, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193131, -1459, 3352, -1927, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193173, -1393, 3339, -1919, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193207, -1422, 3334, -1906, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193241, -1437, 3275, -1938, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193275, -1486, 3295, -1890, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193309, -1484, 3327, -1941, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193343, -1458, 3321, -1915, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193377, -1447, 3332, -1900, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193411, -1460, 3315, -1941, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193445, -1467, 3303, -1906, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193479, -1454, 3298, -1890, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193513, -1458, 3312, -1905, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193548, -1491, 3296, -1928, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193588, -1477, 3301, -1920, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193629, -1484, 3292, -1926, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193670, -1493, 3315, -1899, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193710, -1468, 3280, -1944, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193751, -1475, 3287, -1912, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193792, -1484, 3283, -1951, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193832, -1493, 3295, -1908, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193873, -1487, 3320, -1933, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193914, -1445, 3295, -1945, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193955, -1476, 3328, -1884, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
193996, -1471, 3331, -1918, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194038, -1464, 3316, -1915, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194080, -1472, 3323, -1874, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194122, -1487, 3322, -1893, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194164, -1498, 3337, -1883, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194205, -1494, 3371, -1868, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194247, -1483, 3367, -1893, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194289, -1517, 3385, -1879, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194331, -1455, 3320, -1905, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194373, -1480, 3313, -1837, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194407, -1470, 3280, -1883, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194441, -1479, 3290, -1834, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194475, -1516, 3322, -1812, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194509, -1521, 3256, -1833, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194543, -1519, 3232, -1772, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194578, -1523, 3235, -1792, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194612, -1554, 3274, -1817, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194646, -1575, 3333, -1833, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194680, -1570, 3333, -1841, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194714, -1553, 3269, -1809, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194749, -1558, 3272, -1868, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194789, -1606, 3308, -1803, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194830, -1614, 3325, -1902, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194870, -1583, 3318, -1801, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194911, -1535, 3332, -1871, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194951, -1559, 3292, -1860, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
194992, -1517, 3299, -1849, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195032, -1529, 3330, -1862, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195073, -1497, 3302, -1870, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195113, -1517, 3311, -1817, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195154, -1550, 3322, -1852, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195190, -1547, 3336, -1873, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195227, -1512, 3295, -1818, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195264, -1543, 3325, -1821, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195301, -1572, 3342, -1835, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195338, -1548, 3314, -1903, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195374, -1563, 3291, -1808, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195411, -1495, 3288, -1850, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195448, -1520, 3320, -1865, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195485, -1529, 3288, -1894, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195522, -1541, 3323, -1852, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195559, -1572, 3300, -1853, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195597, -1537, 3318, -1899, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195636, -1541, 3328, -1837, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195675, -1554, 3312, -1869, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195714, -1537, 3301, -1847, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195753, -1541, 3292, -1852, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195792, -1540, 3309, -1854, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195831, -1543, 3312, -1826, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195870, -1527, 3287, -1884, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195909, -1552, 3341, -1799, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195948, -1517, 3291, -1840, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
195990, -1544, 3358, -1805, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
