218541, -29, 4083, 170, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
219964, -44, 4113, 304, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220005, -25, 4148, 271, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220047, 62, 4153, 294, 104, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220085, 58, 4053, 318, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220123, 40, 4053, 312, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220161, 32, 4084, 297, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220199, 27, 4124, 319, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220238, 24, 4091, 318, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220276, 40, 4111, 285, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220314, 7, 4138, 259, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220352, 12, 4098, 324, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220390, 22, 4048, 344, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220429, 10, 4111, 309, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220467, 32, 4087, 278, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220505, 31, 4117, 272, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220544, 8, 4113, 279, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220582, 24, 4052, 331, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220621, 20, 4082, 308, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220659, 14, 4092, 297, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220697, 25, 4085, 325, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220736, -6, 4082, 299, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220774, 15, 4057, 285, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220813, 0, 4104, 293, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220848, 5, 4116, 288, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220883, 45, 4103, 304, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220918, 29, 4090, 266, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220953, 11, 4128, 277, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
220988, 0, 4121, 297, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221023, 11, 4081, 257, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221058, -4, 4103, 260, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221093, 20, 4158, 264, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221128, 46, 4112, 302, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221163, 12, 4061, 268, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221199, -8, 4115, 283, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221241, 30, 4104, 303, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221284, 16, 4103, 248, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221327, 8, 4110, 271, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221370, -3, 4093, 279, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221413, 7, 4091, 284, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221455, 15, 4105, 252, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221498, 11, 4082, 266, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221541, 22, 4128, 249, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221584, -11, 4111, 248, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221627, 6, 4105, 287, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221665, 3, 4096, 257, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221703, 5, 4092, 238, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221742, -7, 4091, 222, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221780, 7, 4111, 232, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221819, 10, 4091, 265, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221857, -2, 4115, 234, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221895, 28, 4087, 241, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221934, 14, 4092, 240, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
221972, 19, 4110, 251, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222011, 5, 4077, 234, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222047, 17, 4080, 238, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222084, -7, 4090, 240, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222120, 27, 4074, 215, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222157, -3, 4116, 221, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222194, 65, 4088, 252, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222230, 51, 4104, 254, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222267, 33, 4122, 252, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222304, 8, 4107, 194, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222340, 39, 4094, 188, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222377, 15, 4099, 237, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222414, 3, 4122, 253, 109, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222453, 0, 4092, 240, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222492, 21, 4113, 235, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222531, 31, 4127, 201, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222571, -1, 4097, 234, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222610, -19, 4075, 243, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222649, -4, 4076, 239, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222689, 26, 4100, 266, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222728, -8, 4118, 230, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222767, 8, 4120, 254, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222807, 14, 4087, 249, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222843, -9, 4100, 217, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222880, 2, 4092, 213, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222916, 18, 4119, 217, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222953, 25, 4129, 214, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
222990, 18, 4100, 220, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223026, -4, 4110, 217, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223063, 13, 4100, 204, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223100, 9, 4111, 203, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223136, 8, 4108, 217, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223173, -3, 4082, 218, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223210, -21, 4087, 215, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223249, -4, 4111, 208, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223288, -13, 4116, 181, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223327, -33, 4108, 208, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223367, -45, 4089, 224, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223406, -33, 4086, 209, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223445, -1, 4130, 215, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223485, -4, 4116, 220, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223524, -12, 4120, 198, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223563, 1, 4125, 234, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223603, -13, 4082, 208, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223643, -8, 4075, 205, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223684, -18, 4086, 185, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223725, 17, 4124, 212, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223765, -4, 4078, 202, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223806, -34, 4108, 189, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223847, 3, 4087, 191, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223887, -15, 4121, 189, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223928, -5, 4134, 209, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
223969, -2, 4053, 244, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224010, -27, 4103, 213, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224047, -37, 4136, 198, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224085, -5, 4148, 210, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224123, -5, 4084, 219, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224161, -11, 4095, 232, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224199, -26, 4105, 220, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224237, -1, 4094, 211, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224275, -7, 4080, 192, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224313, -4, 4110, 211, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224351, 8, 4115, 233, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224389, -32, 4114, 212, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224427, 26, 4085, 218, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224467, -16, 4117, 211, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224507, 1, 4092, 240, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224547, 0, 4077, 209, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224587, 10, 4094, 207, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224628, -1, 4106, 215, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224668, 21, 4093, 204, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224708, 38, 4100, 229, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224748, -16, 4119, 234, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224788, 5, 4118, 204, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224829, 20, 4108, 179, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224863, 9, 4112, 189, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224898, -7, 4118, 199, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224933, -2, 4112, 205, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
224968, -27, 4099, 200, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225003, 7, 4086, 191, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225037, -15, 4129, 168, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225072, -5, 4099, 191, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225107, 1, 4078, 212, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225142, 8, 4076, 209, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225177, 1, 4106, 179, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225212, -14, 4126, 150, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225256, 8, 4101, 193, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225301, -23, 4105, 196, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225346, -19, 4091, 184, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225391, -5, 4117, 169, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225436, -23, 4115, 167, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225480, -23, 4084, 177, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225525, -38, 4119, 203, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225570, 13, 4098, 198, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225615, -15, 4085, 161, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225660, -17, 4115, 171, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225695, -18, 4113, 194, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225731, -18, 4093, 185, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225766, -24, 4100, 170, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225802, -20, 4125, 168, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225837, -2, 4110, 151, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225873, -18, 4110, 182, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225908, -11, 4107, 179, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225944, -1, 4086, 152, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
225979, -22, 4082, 160, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226015, -9, 4096, 176, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226052, 1, 4092, 208, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226090, -23, 4086, 176, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226127, -19, 4116, 173, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226165, -39, 4139, 167, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226202, -34, 4082, 169, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226240, -30, 4089, 172, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226277, -15, 4120, 163, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226315, -21, 4100, 168, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226352, -28, 4097, 172, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226390, -30, 4098, 162, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226428, -18, 4085, 184, 110, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226466, -17, 4113, 175, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226504, -18, 4104, 149, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226542, -23, 4096, 185, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226580, -4, 4085, 191, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226619, -30, 4085, 183, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226657, 23, 4095, 167, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226695, -22, 4117, 159, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226733, -4, 4095, 217, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226771, -31, 4099, 207, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226810, -20, 4102, 177, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226846, 8, 4100, 177, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226883, -22, 4127, 163, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226920, -10, 4106, 187, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226957, -6, 4093, 194, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
226994, -22, 4117, 201, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227030, -2, 4140, 203, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227067, -28, 4092, 186, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227104, -21, 4081, 214, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227141, -31, 4092, 218, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227178, 1, 4105, 195, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227215, -24, 4105, 173, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227254, -29, 4104, 206, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227294, -3, 4080, 194, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227333, -19, 4099, 203, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227373, -19, 4104, 194, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227413, -2, 4103, 213, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227452, -9, 4081, 209, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227492, -18, 4117, 192, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227531, -17, 4110, 201, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
227571, -12, 4115, 192, 107, 9972e1f0-8027-4b0a-9712-f2514c564ed0, , berdiri, bersedekap, , 
