237565, -1056, 4126, -883, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241644, -890, 3857, -1006, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241682, -895, 3849, -995, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241720, -914, 3881, -1012, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241757, -908, 3858, -1008, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241795, -885, 3841, -1014, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241832, -909, 3865, -1023, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241870, -914, 3870, -1010, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241908, -924, 3850, -1016, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241945, -910, 3870, -1037, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241983, -912, 3832, -1022, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242020, -915, 3839, -1044, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242058, -941, 3860, -982, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242096, -928, 3842, -1042, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242138, -917, 3860, -996, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242180, -916, 3867, -1024, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242222, -923, 3816, -1028, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242264, -927, 3815, -1025, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242306, -928, 3881, -1047, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242348, -930, 3912, -1031, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242390, -915, 3874, -1027, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242432, -919, 3880, -989, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242474, -919, 3896, -1015, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242516, -924, 3844, -1005, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242558, -921, 3830, -995, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242594, -938, 3837, -996, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242631, -959, 3853, -996, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242667, -940, 3853, -1001, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242704, -915, 3835, -1006, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242740, -932, 3829, -1007, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242777, -930, 3835, -1022, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242813, -960, 3840, -999, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242850, -950, 3861, -1076, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242886, -920, 3845, -1003, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242923, -917, 3836, -1064, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242958, -951, 3847, -1028, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
242993, -987, 3822, -1071, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243029, -950, 3856, -1043, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243064, -940, 3879, -1010, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243100, -925, 3845, -1017, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243135, -918, 3839, -1031, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243171, -942, 3835, -1039, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243206, -962, 3857, -1040, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243242, -962, 3831, -1034, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243277, -978, 3825, -1032, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243313, -952, 3870, -1037, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243353, -955, 3866, -1024, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243394, -946, 3831, -1041, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243434, -940, 3805, -1061, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243475, -955, 3869, -1023, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243516, -935, 3850, -1038, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243556, -932, 3841, -1017, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243597, -926, 3817, -1038, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243637, -989, 3837, -1051, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243678, -950, 3841, -1036, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243719, -946, 3848, -1051, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243759, -930, 3884, -1055, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243799, -926, 3846, -1040, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243839, -935, 3836, -1027, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243879, -950, 3875, -1058, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243919, -937, 3861, -1051, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243959, -926, 3816, -1031, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
243999, -948, 3825, -1041, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244039, -960, 3848, -1050, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244079, -959, 3863, -1035, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244120, -944, 3827, -1056, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244161, -953, 3865, -1014, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244202, -957, 3830, -1042, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244244, -921, 3884, -1052, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244285, -918, 3834, -1073, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244327, -930, 3894, -1033, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244368, -936, 3851, -1051, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244410, -911, 3824, -1045, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244451, -933, 3852, -1059, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244493, -954, 3874, -1046, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244534, -925, 3850, -1068, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244576, -934, 3850, -1012, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244610, -946, 3865, -1058, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244645, -931, 3853, -1036, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244680, -928, 3843, -1044, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244715, -927, 3825, -1047, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244750, -929, 3836, -1036, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244785, -914, 3862, -1046, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244820, -915, 3844, -1037, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244855, -924, 3847, -1025, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244890, -937, 3840, -1023, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244925, -899, 3879, -1019, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
244962, -896, 3872, -1098, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245000, -921, 3896, -1026, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245038, -924, 3873, -1059, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245076, -909, 3792, -1044, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245114, -930, 3864, -1066, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245152, -936, 3866, -1020, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245190, -915, 3848, -1054, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245228, -938, 3834, -1000, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245266, -932, 3875, -1054, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245304, -919, 3838, -1020, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245342, -934, 3844, -1037, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245380, -933, 3861, -1046, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245418, -935, 3839, -1045, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245456, -915, 3870, -1049, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245494, -917, 3858, -1034, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245532, -940, 3850, -1032, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245570, -925, 3860, -1098, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245608, -947, 3821, -1006, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245646, -922, 3850, -1086, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245684, -913, 3846, -1004, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245723, -951, 3901, -1091, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245762, -928, 3827, -1041, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245802, -935, 3837, -1028, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245841, -953, 3870, -1026, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245881, -915, 3868, -1063, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245920, -925, 3830, -1025, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245960, -940, 3857, -1056, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
245999, -932, 3820, -1023, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246039, -923, 3845, -1040, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246078, -922, 3844, -1031, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246118, -912, 3846, -1031, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246154, -932, 3874, -1030, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246191, -933, 3842, -1033, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246227, -925, 3847, -1028, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246264, -924, 3866, -1068, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246301, -946, 3825, -992, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246337, -962, 3834, -1036, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246374, -906, 3832, -991, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246411, -936, 3879, -1035, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246447, -947, 3825, -1037, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246484, -948, 3819, -1016, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246521, -969, 3868, -1051, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246561, -946, 3853, -1024, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246601, -910, 3866, -1018, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246641, -956, 3835, -1039, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246682, -964, 3878, -1011, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246722, -960, 3845, -985, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246762, -959, 3842, -992, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246803, -965, 3838, -1012, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246843, -959, 3849, -1032, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246883, -960, 3862, -1015, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246924, -936, 3848, -1011, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
246959, -932, 3862, -1034, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
