80028, -621, 3994, -1043, 96, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82065, -689, 3883, -1127, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82107, -669, 3847, -1131, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82149, -652, 3901, -1149, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82191, -644, 3859, -1109, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82233, -671, 3932, -1098, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82267, -706, 3953, -1101, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82302, -685, 3888, -1054, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82336, -624, 3918, -1110, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82371, -646, 3873, -1077, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82406, -658, 3918, -1052, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82440, -731, 3858, -1072, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82475, -706, 3920, -1084, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82510, -705, 3837, -1028, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82544, -695, 3938, -1082, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82579, -700, 3916, -1065, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82614, -714, 3903, -1010, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82655, -686, 3905, -1063, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82697, -681, 3958, -1029, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82738, -645, 3890, -1085, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82780, -664, 3886, -1017, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82822, -673, 3918, -1093, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82863, -688, 3892, -1053, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82905, -680, 3915, -1063, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82946, -668, 3881, -1084, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
82988, -677, 3859, -1047, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83030, -689, 3865, -1018, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83068, -688, 3863, -1077, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83107, -650, 3869, -1037, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83146, -678, 3958, -1071, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83185, -663, 3890, -1101, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83224, -645, 3897, -1063, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83262, -641, 3906, -1094, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83301, -662, 3913, -1086, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83340, -660, 3935, -1066, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83379, -653, 3852, -1038, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83418, -654, 3943, -1069, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83454, -674, 3897, -1089, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83490, -652, 3912, -1051, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83526, -673, 3930, -1034, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83562, -683, 3927, -1082, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83598, -678, 3905, -1061, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83634, -653, 3889, -1071, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83670, -679, 3879, -1093, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83706, -704, 3910, -1052, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83742, -625, 3950, -1109, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83778, -695, 3886, -1028, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83814, -663, 3941, -1075, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83855, -678, 3866, -1081, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83897, -688, 3878, -1048, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83939, -691, 3913, -1059, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
83980, -700, 3895, -1039, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84022, -693, 3888, -1053, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84064, -671, 3849, -1017, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84105, -696, 3873, -1049, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84147, -682, 3879, -1062, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84189, -701, 3840, -1020, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84231, -687, 3871, -1010, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84266, -703, 3929, -1101, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84301, -649, 3972, -1123, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84336, -721, 3877, -1073, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84371, -678, 3894, -1032, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84406, -687, 3937, -1090, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84441, -669, 3877, -1056, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84476, -658, 3909, -1071, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84511, -695, 3901, -1050, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84546, -693, 3882, -1033, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84581, -682, 3898, -1053, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84617, -690, 3889, -1056, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84659, -686, 3886, -1061, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84701, -635, 3857, -1073, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84743, -664, 3941, -1065, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84785, -656, 3944, -1088, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84827, -644, 3939, -1047, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84869, -664, 3909, -1041, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84911, -683, 3901, -1072, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84953, -652, 3870, -1076, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
84995, -657, 3898, -1066, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85038, -689, 3888, -1048, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85072, -689, 3875, -1090, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85106, -620, 3862, -1048, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85140, -627, 3902, -1052, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85174, -691, 3920, -1062, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85208, -688, 3904, -1065, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85243, -685, 3905, -1058, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85277, -717, 3931, -1071, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85311, -675, 3891, -1074, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85345, -688, 3887, -1066, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85379, -667, 3888, -1045, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85414, -694, 3920, -1047, 97, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85459, -680, 3930, -1057, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85504, -695, 3967, -1043, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85549, -725, 3933, -1042, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85594, -695, 3848, -1008, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85639, -676, 3905, -1066, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85684, -688, 3905, -1019, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85729, -686, 3861, -1078, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85774, -687, 3897, -1022, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85819, -667, 3926, -1067, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85864, -699, 3928, -1053, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85900, -670, 3903, -1037, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85936, -683, 3956, -1033, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
85972, -651, 3893, -1077, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86008, -660, 3919, -1008, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86044, -692, 3937, -1045, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86080, -664, 3902, -1032, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86116, -685, 3871, -1025, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86152, -682, 3869, -1010, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86188, -662, 3871, -1053, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86224, -670, 3863, -1044, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86259, -678, 3883, -1050, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86294, -661, 3935, -1026, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86330, -655, 3907, -1069, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86365, -677, 3937, -1052, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86401, -677, 3949, -1057, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86436, -714, 3892, -1058, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86472, -685, 3871, -1021, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86507, -669, 3931, -1008, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86543, -687, 3976, -1138, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86578, -667, 3836, -991, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86614, -680, 3912, -998, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86656, -676, 3898, -1019, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86698, -686, 3923, -1031, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86741, -708, 3910, -1023, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86783, -693, 3925, -1020, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86826, -692, 3887, -1032, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86868, -671, 3902, -1067, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86910, -696, 3886, -967, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86953, -703, 3875, -1036, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
86995, -670, 3919, -998, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87038, -714, 3890, -1013, 98, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87077, -729, 3876, -1022, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87116, -686, 3913, -1016, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87155, -669, 3924, -1031, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87194, -693, 3922, -1047, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87233, -690, 3897, -1015, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87272, -686, 3922, -1016, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87311, -669, 3929, -1038, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87350, -686, 3947, -1034, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87389, -696, 3913, -1034, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87428, -701, 3888, -1036, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87468, -704, 3887, -1029, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87502, -703, 3860, -1062, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87537, -710, 3922, -983, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87571, -719, 3934, -1074, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87606, -700, 3892, -1040, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87641, -691, 3866, -1030, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87675, -749, 3895, -1076, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87710, -751, 3861, -997, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87744, -741, 3922, -1045, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87779, -737, 3915, -1072, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87814, -715, 3897, -1017, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87856, -711, 3894, -1039, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87898, -695, 3903, -1048, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87940, -683, 3914, -1035, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
87982, -684, 3906, -1047, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88024, -708, 3919, -1049, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88066, -736, 3926, -1065, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88108, -731, 3929, -1064, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88150, -740, 3899, -1048, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88192, -718, 3883, -1043, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88235, -730, 3931, -1093, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88270, -720, 3947, -993, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88305, -699, 3932, -1070, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88341, -730, 3831, -1033, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88376, -688, 3852, -1002, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88411, -730, 3861, -1050, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88447, -727, 3888, -1003, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88482, -709, 3848, -1036, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88517, -705, 3842, -1037, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88553, -680, 3890, -1064, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88588, -730, 3901, -1056, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88624, -727, 3937, -1069, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88670, -741, 3942, -1052, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88716, -729, 3843, -1036, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88763, -753, 3887, -1019, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88809, -718, 3898, -1095, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88856, -677, 3922, -1109, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88902, -699, 3888, -1011, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88948, -733, 3929, -1082, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
88995, -709, 3899, -1057, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
89041, -687, 3903, -1043, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
89088, -716, 3903, -1089, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
89117, -677, 3878, -1064, 99, 4af11f76-837b-4f49-b932-acbfb006d1c1, , berdiri, bersedekap, , 
