31828, -690, 3979, -577, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33142, -686, 4012, -647, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33176, -653, 3963, -606, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33211, -640, 4006, -645, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33250, -645, 4011, -626, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33290, -626, 4006, -636, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33330, -601, 3974, -644, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33370, -646, 4034, -637, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33410, -685, 4003, -634, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33449, -624, 3987, -643, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33489, -629, 3997, -642, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33529, -637, 4027, -673, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33569, -587, 3966, -645, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33609, -626, 3998, -666, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33644, -609, 4025, -698, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33679, -616, 4000, -655, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33715, -631, 3987, -661, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33750, -617, 4012, -652, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33786, -610, 4009, -711, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33821, -646, 4006, -663, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33857, -628, 3960, -668, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33892, -605, 4000, -686, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33928, -642, 3997, -688, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33963, -637, 3980, -689, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
33999, -662, 3990, -690, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34041, -638, 4005, -701, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34084, -629, 3991, -694, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34126, -611, 3989, -707, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34169, -637, 3993, -699, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34212, -620, 3981, -706, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34254, -608, 3976, -693, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34297, -613, 3975, -708, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34339, -610, 4002, -704, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34382, -630, 4008, -692, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34425, -620, 3979, -709, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34463, -614, 3988, -697, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34502, -589, 4013, -723, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34541, -639, 3993, -690, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34579, -616, 3966, -708, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34618, -582, 4008, -714, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34657, -620, 4014, -721, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34695, -591, 3995, -710, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34734, -595, 3986, -719, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34773, -594, 3996, -703, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34812, -596, 3978, -725, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34847, -589, 3988, -707, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34882, -596, 4003, -747, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34917, -627, 4002, -737, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34953, -635, 3974, -730, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
34988, -630, 3987, -732, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35023, -616, 3995, -727, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35058, -613, 4015, -707, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35094, -606, 3976, -705, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35129, -603, 3974, -720, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35164, -618, 4010, -735, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35200, -592, 3977, -694, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35244, -602, 3979, -726, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35289, -604, 4022, -727, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35334, -599, 3984, -694, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35379, -586, 3972, -718, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35424, -623, 4002, -735, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35469, -620, 3981, -712, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35514, -582, 3959, -718, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35559, -597, 3981, -735, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35604, -627, 4013, -735, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35649, -629, 3990, -747, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35683, -631, 3968, -734, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35718, -624, 3968, -756, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35752, -625, 3968, -733, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35787, -608, 3964, -755, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35822, -594, 3983, -724, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35856, -628, 4032, -787, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35891, -619, 3978, -736, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35926, -582, 3962, -724, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35960, -597, 3990, -786, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
35995, -617, 4009, -758, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36030, -591, 3980, -759, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36073, -663, 3952, -781, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36116, -620, 4000, -817, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36159, -538, 3992, -818, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36202, -572, 3997, -820, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36245, -592, 3967, -819, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36288, -635, 4020, -850, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36331, -545, 3984, -808, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36374, -587, 3927, -778, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36417, -580, 3892, -753, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36460, -568, 3977, -785, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36494, -579, 4018, -820, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36529, -601, 3980, -776, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36564, -571, 3955, -779, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36599, -608, 4100, -848, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36634, -580, 4049, -750, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36669, -573, 3865, -709, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36704, -582, 3964, -793, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36739, -608, 3994, -800, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36774, -597, 3975, -755, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36809, -581, 3984, -776, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36845, -615, 3992, -788, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36881, -585, 4000, -739, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36918, -607, 3966, -733, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36954, -580, 3972, -761, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
36991, -596, 3990, -693, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37027, -594, 4008, -753, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37064, -640, 3985, -725, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37100, -600, 3989, -712, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37137, -611, 3997, -711, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37173, -563, 3982, -735, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37210, -589, 4019, -713, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37250, -561, 4027, -723, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37291, -626, 3990, -708, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37331, -610, 3960, -715, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37372, -586, 4007, -723, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37412, -591, 4021, -709, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37453, -595, 3978, -715, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37493, -607, 3987, -686, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37534, -622, 3985, -717, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37574, -597, 3987, -703, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37615, -580, 4010, -694, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37650, -603, 4028, -752, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37686, -626, 3995, -694, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37722, -568, 3999, -677, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37758, -572, 4013, -734, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37794, -610, 3989, -706, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37830, -571, 3982, -700, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37866, -598, 3997, -720, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37902, -593, 4005, -708, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37938, -607, 3969, -707, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
37974, -592, 4015, -708, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38010, -597, 3979, -693, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38049, -600, 3991, -722, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38089, -624, 3997, -701, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38129, -592, 3999, -730, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38169, -578, 3990, -685, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38209, -574, 3990, -752, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38249, -618, 3983, -732, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38289, -614, 3982, -696, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38329, -566, 4014, -726, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38369, -590, 3998, -702, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38409, -605, 4000, -709, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38449, -617, 3978, -703, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38490, -611, 3993, -711, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38530, -607, 3992, -689, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38571, -603, 3978, -708, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38612, -604, 4012, -705, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38652, -611, 3986, -724, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38693, -609, 3970, -701, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38733, -604, 3993, -716, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38774, -583, 3979, -700, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38815, -577, 3993, -710, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38856, -589, 4015, -756, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38897, -612, 3979, -697, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38938, -577, 3996, -712, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
38979, -571, 4001, -720, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39020, -604, 3998, -710, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39061, -591, 4001, -701, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39102, -599, 3977, -695, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39143, -613, 3999, -707, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39184, -611, 3990, -717, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39225, -570, 4005, -725, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39267, -583, 4009, -702, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39299, -619, 4012, -702, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39332, -582, 4015, -706, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39364, -578, 3991, -729, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39397, -572, 3989, -688, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39429, -555, 3997, -735, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39462, -643, 3997, -745, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39494, -583, 4017, -725, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39527, -571, 3972, -724, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39559, -586, 4001, -756, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39592, -602, 3999, -727, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39628, -595, 3982, -733, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39665, -611, 3996, -741, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39701, -614, 4008, -735, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39738, -575, 3991, -737, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39774, -587, 3992, -723, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39811, -587, 3994, -720, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39847, -593, 4004, -736, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39884, -595, 4009, -719, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39920, -577, 3986, -749, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39957, -559, 3992, -713, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
39994, -575, 4013, -758, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40034, -572, 4007, -751, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40074, -553, 3967, -738, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40114, -556, 3998, -754, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40154, -570, 3998, -763, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40194, -580, 3980, -725, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40234, -587, 4002, -751, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40274, -596, 3993, -744, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40314, -597, 4006, -751, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40354, -553, 3986, -750, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40394, -578, 3990, -743, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40435, -592, 3956, -762, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40477, -610, 3971, -762, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40519, -585, 3993, -771, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40560, -601, 3995, -745, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40602, -594, 3998, -782, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40644, -593, 3986, -771, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40685, -596, 3970, -746, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40727, -595, 3987, -773, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40769, -576, 4012, -765, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40811, -592, 4002, -758, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40851, -605, 3973, -765, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40892, -575, 3974, -761, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40933, -588, 3972, -766, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
40974, -559, 3981, -752, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41015, -546, 3996, -759, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41056, -567, 3985, -755, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41097, -566, 3975, -773, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41138, -568, 3972, -759, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41179, -564, 3985, -757, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41220, -553, 3990, -756, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41261, -594, 4000, -739, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41295, -586, 3972, -738, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41330, -573, 3985, -762, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41365, -542, 4017, -768, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41399, -572, 3961, -701, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41434, -552, 3988, -723, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41469, -578, 4017, -737, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41503, -587, 4003, -736, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41538, -573, 3971, -723, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
