74885, -1267, 3724, -771, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77590, -1343, 3808, -588, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77635, -1369, 3843, -542, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77680, -1327, 3857, -634, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77725, -1344, 3795, -546, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77770, -1333, 3825, -566, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77815, -1373, 3827, -590, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77860, -1349, 3843, -612, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77905, -1367, 3810, -567, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77939, -1388, 3827, -611, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77974, -1378, 3810, -605, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78009, -1371, 3793, -551, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78044, -1289, 3845, -635, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78079, -1349, 3843, -621, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78114, -1316, 3814, -599, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78149, -1314, 3851, -613, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78184, -1332, 3753, -644, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78219, -1323, 3759, -624, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78254, -1340, 3852, -664, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78289, -1324, 3844, -730, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78332, -1315, 3791, -606, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78376, -1322, 3792, -642, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78420, -1332, 3819, -656, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78463, -1330, 3835, -652, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78507, -1352, 3809, -665, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78551, -1333, 3824, -680, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78594, -1346, 3788, -647, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78638, -1320, 3816, -742, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78682, -1351, 3813, -607, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78726, -1308, 3797, -728, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78761, -1296, 3791, -664, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78796, -1312, 3755, -722, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78831, -1351, 3835, -744, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78866, -1337, 3848, -705, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78901, -1342, 3848, -781, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78936, -1356, 3779, -693, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
78971, -1297, 3796, -720, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79006, -1375, 3827, -775, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79041, -1317, 3814, -735, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79076, -1293, 3788, -753, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79114, -1312, 3819, -769, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79152, -1305, 3800, -759, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79191, -1335, 3783, -758, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79229, -1355, 3802, -685, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79267, -1322, 3825, -844, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79306, -1316, 3818, -723, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79344, -1341, 3783, -744, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79382, -1339, 3807, -793, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79421, -1317, 3783, -729, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79459, -1332, 3829, -796, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79498, -1328, 3807, -738, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79535, -1314, 3835, -765, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79572, -1308, 3830, -758, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79609, -1313, 3821, -758, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79646, -1288, 3830, -752, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79683, -1282, 3795, -781, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79720, -1344, 3811, -734, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79757, -1319, 3813, -809, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79794, -1328, 3806, -710, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79831, -1339, 3807, -795, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79869, -1311, 3848, -648, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79910, -1332, 3823, -775, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79951, -1304, 3789, -715, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
79993, -1337, 3805, -709, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80034, -1347, 3849, -738, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80075, -1319, 3802, -705, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80117, -1316, 3798, -714, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80158, -1327, 3753, -683, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80199, -1299, 3760, -674, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80241, -1328, 3806, -711, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80282, -1307, 3780, -699, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80324, -1331, 3787, -691, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80357, -1362, 3786, -619, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80390, -1405, 3788, -740, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80423, -1354, 3787, -637, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80456, -1253, 3806, -651, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80490, -1400, 3792, -694, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80523, -1377, 3804, -671, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80556, -1345, 3808, -690, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80589, -1360, 3802, -708, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80622, -1362, 3763, -672, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80656, -1341, 3807, -729, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80698, -1335, 3803, -700, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80740, -1335, 3864, -730, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80782, -1340, 3850, -716, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80825, -1370, 3868, -675, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80867, -1343, 3781, -770, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80909, -1331, 3807, -721, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80952, -1343, 3797, -726, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
80994, -1325, 3819, -702, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81036, -1335, 3793, -767, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81079, -1324, 3789, -739, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81117, -1287, 3834, -749, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81156, -1281, 3793, -754, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81194, -1293, 3786, -735, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81233, -1298, 3793, -751, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81271, -1312, 3801, -732, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81310, -1321, 3838, -753, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81348, -1290, 3834, -769, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81387, -1311, 3802, -751, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81425, -1306, 3799, -805, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81464, -1330, 3822, -717, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81503, -1264, 3800, -786, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81538, -1242, 3808, -706, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81573, -1337, 3813, -780, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81608, -1348, 3810, -751, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81644, -1316, 3798, -750, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81679, -1321, 3826, -765, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81714, -1328, 3775, -739, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81750, -1297, 3833, -781, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81785, -1327, 3789, -743, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81820, -1304, 3803, -769, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81856, -1305, 3812, -766, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81897, -1326, 3783, -781, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81938, -1301, 3727, -770, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
81979, -1334, 3823, -738, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82020, -1311, 3789, -833, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82061, -1290, 3829, -738, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82102, -1312, 3793, -780, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82143, -1319, 3819, -778, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82184, -1328, 3839, -774, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82225, -1314, 3805, -821, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82266, -1300, 3805, -790, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82307, -1299, 3796, -795, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82341, -1323, 3852, -750, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82376, -1325, 3877, -799, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82411, -1304, 3859, -826, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82445, -1276, 3813, -828, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82480, -1307, 3782, -809, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82515, -1247, 3772, -801, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82549, -1303, 3722, -855, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82584, -1264, 3826, -764, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82619, -1251, 3761, -794, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82654, -1290, 3720, -791, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82699, -1316, 3826, -769, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82744, -1250, 3832, -860, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82789, -1269, 3776, -756, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82835, -1329, 3851, -789, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82880, -1323, 3829, -814, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82925, -1303, 3822, -819, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
82971, -1287, 3803, -826, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83016, -1284, 3806, -795, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83061, -1264, 3777, -860, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83107, -1271, 3803, -767, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83140, -1286, 3795, -856, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83173, -1272, 3868, -815, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83206, -1229, 3799, -801, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83239, -1301, 3794, -831, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83272, -1281, 3824, -797, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83305, -1280, 3801, -835, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83338, -1294, 3784, -784, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83371, -1293, 3806, -815, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83404, -1299, 3803, -792, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83437, -1282, 3808, -816, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83470, -1275, 3799, -817, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83511, -1307, 3791, -802, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83553, -1296, 3772, -849, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83595, -1333, 3818, -743, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83637, -1302, 3816, -840, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83679, -1320, 3774, -754, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83721, -1305, 3841, -836, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83763, -1319, 3778, -824, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83805, -1308, 3748, -756, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83847, -1307, 3840, -794, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83889, -1316, 3847, -809, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83923, -1294, 3819, -815, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83958, -1281, 3763, -784, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
83993, -1278, 3771, -790, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
84027, -1325, 3819, -812, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
84062, -1320, 3817, -758, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
84097, -1330, 3828, -842, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
84132, -1355, 3785, -769, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
84166, -1285, 3856, -852, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
84201, -1339, 3808, -757, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
