100115, -970, 3863, -735, 98, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101436, -1079, 3865, -730, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101474, -1038, 3885, -764, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101512, -1053, 3875, -772, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101550, -1059, 3871, -778, 99, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101589, -1087, 3876, -787, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101628, -1098, 3858, -780, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101667, -1121, 3853, -777, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101706, -1087, 3873, -804, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101745, -1070, 3888, -813, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101784, -1089, 3877, -755, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101823, -1107, 3890, -766, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101862, -1133, 3866, -787, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101901, -1146, 3862, -696, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101940, -1084, 3903, -731, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
101979, -1109, 3901, -717, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102018, -1104, 3852, -691, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102057, -1095, 3866, -733, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102096, -1116, 3842, -732, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102135, -1100, 3848, -713, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102174, -1104, 3891, -744, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102213, -1108, 3882, -721, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102252, -1112, 3909, -755, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102291, -1082, 3865, -737, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102330, -1070, 3830, -761, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102366, -1091, 3926, -790, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102403, -1028, 3881, -809, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102440, -1026, 3786, -753, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102477, -1044, 3903, -812, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102514, -1073, 3862, -796, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102551, -1020, 3860, -783, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102588, -1045, 3915, -845, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102625, -1042, 3849, -781, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102662, -1069, 3856, -811, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102699, -1057, 3872, -840, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102736, -1025, 3878, -860, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102774, -1012, 3865, -866, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102813, -991, 3892, -851, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102852, -1028, 3860, -849, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102891, -1034, 3858, -809, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102930, -1038, 3888, -852, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
102969, -1031, 3875, -890, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103008, -1004, 3869, -839, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103047, -1006, 3834, -835, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103086, -1041, 3915, -855, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103125, -1022, 3855, -879, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103163, -1014, 3877, -842, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103202, -1008, 3886, -901, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103240, -1002, 3853, -829, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103279, -1010, 3863, -819, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103318, -1028, 3917, -847, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103356, -1035, 3863, -841, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103395, -1020, 3886, -862, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103434, -1010, 3876, -877, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103472, -1025, 3896, -857, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103511, -1067, 3850, -875, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103550, -1037, 3884, -806, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103588, -1025, 3853, -892, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103627, -1032, 3895, -778, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103665, -1028, 3920, -820, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103704, -1050, 3866, -819, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103743, -1065, 3866, -810, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103781, -1055, 3888, -789, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103820, -1040, 3840, -793, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103858, -1059, 3835, -774, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103897, -1055, 3863, -816, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103936, -1048, 3809, -802, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
103974, -1036, 3828, -808, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104013, -1073, 3871, -834, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104052, -1067, 3892, -813, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104091, -1063, 3861, -848, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104130, -1099, 3860, -748, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104169, -1057, 3878, -867, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104208, -1056, 3891, -781, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104247, -1076, 3893, -810, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104286, -1078, 3858, -835, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104325, -1082, 3855, -807, 101, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104360, -1102, 3895, -841, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104395, -1083, 3838, -809, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104431, -1074, 3813, -812, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104466, -1086, 3865, -818, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104501, -1074, 3884, -837, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104537, -1041, 3849, -832, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104572, -1047, 3845, -827, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104607, -1084, 3839, -816, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104643, -1075, 3867, -835, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104678, -1104, 3885, -813, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104714, -1075, 3863, -831, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104756, -1090, 3831, -814, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104798, -1083, 3837, -846, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104840, -1078, 3862, -823, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104882, -1066, 3872, -817, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104924, -1055, 3872, -855, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
104966, -1027, 3866, -840, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105008, -1047, 3883, -842, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105050, -1055, 3873, -867, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105092, -1051, 3831, -846, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105135, -1053, 3861, -857, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105177, -1087, 3884, -850, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105219, -1044, 3855, -889, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105261, -1040, 3812, -812, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105304, -1043, 3870, -912, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105346, -1057, 3880, -840, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105388, -1041, 3890, -870, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105430, -1058, 3855, -860, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105473, -1039, 3857, -862, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105515, -1053, 3899, -867, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105557, -1080, 3893, -826, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105600, -1051, 3880, -852, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105631, -1049, 3866, -854, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105662, -1047, 3844, -850, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105694, -1066, 3874, -860, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105725, -1074, 3887, -879, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105757, -1079, 3893, -883, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105788, -1041, 3841, -845, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105819, -1093, 3837, -859, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105851, -1061, 3891, -858, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105882, -1083, 3861, -815, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105914, -1077, 3854, -850, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105956, -1082, 3857, -827, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
105998, -1091, 3891, -822, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106040, -1079, 3828, -853, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106082, -1097, 3841, -810, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106124, -1069, 3870, -825, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106166, -1072, 3840, -802, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106208, -1054, 3830, -804, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106250, -1066, 3838, -823, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106292, -1069, 3828, -798, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106335, -1067, 3839, -806, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106370, -1114, 3877, -799, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106405, -1082, 3884, -844, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106441, -1080, 3835, -780, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106476, -1119, 3886, -862, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106512, -1098, 3808, -832, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106547, -1103, 3895, -812, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106583, -1093, 3862, -897, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106618, -1085, 3833, -829, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106654, -1091, 3838, -864, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106689, -1102, 3865, -849, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106725, -1092, 3873, -877, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106765, -1101, 3877, -836, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106806, -1125, 3832, -820, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106846, -1137, 3842, -855, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106887, -1143, 3863, -823, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106928, -1096, 3871, -868, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
106968, -1119, 3850, -820, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107009, -1107, 3886, -844, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107049, -1074, 3852, -844, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107090, -1090, 3880, -829, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107131, -1073, 3875, -856, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107169, -1127, 3839, -796, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107207, -1109, 3877, -832, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107245, -1105, 4004, -737, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107283, -1122, 3875, -815, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107321, -1106, 3847, -822, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107359, -1114, 3839, -813, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107397, -1100, 3836, -809, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107435, -1112, 3874, -796, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107473, -1100, 3929, -802, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107511, -1101, 3873, -797, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107550, -1108, 3882, -806, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107587, -1086, 3848, -811, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107625, -1109, 3841, -758, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107662, -1109, 3856, -777, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107700, -1121, 3835, -747, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107737, -1150, 3908, -780, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107775, -1136, 3917, -760, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107812, -1103, 3845, -733, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107850, -1100, 3866, -729, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107887, -1104, 3841, -666, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107925, -1116, 3866, -715, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
107969, -1131, 3890, -681, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108014, -1126, 3835, -732, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108058, -1112, 3876, -671, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108103, -1144, 3887, -685, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108147, -1148, 3872, -714, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108192, -1186, 3912, -655, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108236, -1148, 3916, -728, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108281, -1119, 3869, -682, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108325, -1126, 3846, -685, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108370, -1132, 3888, -661, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108402, -1117, 3874, -715, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108434, -1128, 3848, -667, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108466, -1148, 3888, -619, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108498, -1125, 3902, -689, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108530, -1149, 3898, -642, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108562, -1162, 3845, -647, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108594, -1140, 3909, -578, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108626, -1111, 3905, -631, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
108658, -1130, 3853, -616, 100, 52e38ec2-1c96-4b59-ad5b-2d719ea7d771, , berdiri, bersedekap, , 
