275004, 301, 3931, -697, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278531, 328, 4064, -491, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278568, 350, 4078, -502, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278605, 332, 4041, -497, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278642, 349, 4049, -473, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278679, 318, 4075, -486, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278717, 317, 4101, -509, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278758, 319, 4038, -484, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278800, 311, 4050, -484, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278842, 333, 4070, -487, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278884, 345, 4083, -496, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278926, 335, 4052, -463, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278967, 344, 4067, -506, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279009, 344, 4045, -522, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279051, 341, 4037, -489, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279093, 345, 4041, -459, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279135, 292, 4067, -483, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279172, 340, 4096, -486, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279209, 344, 4096, -472, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279246, 341, 4049, -492, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279283, 322, 4036, -537, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279320, 330, 4046, -470, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279357, 289, 4061, -467, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279394, 301, 4063, -495, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279431, 283, 4075, -490, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279468, 307, 4055, -475, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279505, 291, 4048, -508, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279542, 298, 4044, -479, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279579, 303, 4072, -490, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279617, 319, 4072, -483, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279654, 304, 4045, -488, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279692, 302, 4037, -494, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279729, 323, 4054, -471, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279767, 336, 4069, -474, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279804, 302, 4064, -515, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279842, 322, 4058, -458, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279879, 318, 4062, -461, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279917, 324, 4062, -476, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279957, 316, 4062, -480, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
279997, 312, 4030, -478, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280037, 307, 4049, -459, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280077, 318, 4054, -445, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280117, 315, 4103, -459, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280157, 294, 4065, -433, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280197, 308, 4060, -470, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280237, 308, 4075, -484, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280277, 322, 4090, -435, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280317, 304, 4088, -462, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280352, 343, 4071, -486, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280387, 327, 4041, -446, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280422, 355, 4055, -465, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280458, 365, 4080, -476, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280493, 360, 4074, -491, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280528, 306, 4076, -501, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280563, 288, 4046, -513, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280599, 289, 4046, -516, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280634, 286, 4062, -487, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280669, 302, 4083, -488, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280705, 321, 4057, -506, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280746, 330, 4065, -502, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280788, 326, 4064, -499, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280830, 308, 4057, -506, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280872, 333, 4075, -492, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280914, 320, 4051, -492, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280956, 345, 4064, -496, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
280998, 355, 4058, -495, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281040, 334, 4062, -517, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281082, 338, 4051, -494, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281124, 304, 4044, -493, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281163, 317, 4033, -517, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281202, 296, 4034, -517, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281241, 290, 4013, -548, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281280, 326, 4045, -529, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281320, 334, 4078, -492, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281359, 314, 4054, -517, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281398, 310, 4068, -500, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281437, 306, 4045, -472, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281476, 286, 4061, -493, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281516, 291, 4083, -497, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281551, 296, 4050, -509, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281586, 319, 4024, -526, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281622, 329, 4045, -504, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281657, 336, 4046, -491, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281693, 309, 4073, -495, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281728, 314, 4088, -506, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281764, 310, 4048, -530, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281799, 318, 4042, -470, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281835, 302, 4065, -524, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281870, 311, 4075, -512, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281906, 317, 4061, -495, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281946, 316, 4046, -502, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
281987, 330, 4084, -488, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282028, 304, 4067, -499, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282068, 302, 4053, -500, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282109, 294, 4042, -521, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282150, 314, 4045, -515, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282190, 300, 4075, -515, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282231, 310, 4086, -502, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282272, 287, 4056, -505, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282313, 323, 4043, -521, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282350, 323, 4053, -514, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282387, 256, 4058, -519, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282424, 289, 4075, -516, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282461, 288, 4057, -497, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282498, 290, 4063, -527, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282535, 312, 4075, -518, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282572, 324, 4044, -525, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282609, 335, 4030, -515, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282646, 307, 4044, -506, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282683, 294, 4067, -503, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282720, 279, 4081, -487, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282761, 262, 4063, -483, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282803, 279, 4038, -504, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282845, 292, 4061, -471, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282887, 285, 4077, -520, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282929, 288, 4070, -509, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
282970, 300, 4062, -497, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283012, 315, 4056, -515, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283054, 325, 4063, -509, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283096, 325, 4047, -489, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283138, 294, 4068, -478, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283175, 297, 4057, -496, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283213, 317, 4068, -511, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283251, 313, 4076, -475, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283289, 280, 4052, -485, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283327, 295, 4061, -514, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283364, 302, 4077, -472, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283402, 280, 4088, -499, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283440, 299, 4068, -492, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283478, 325, 4025, -483, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283516, 317, 4064, -507, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283552, 330, 4096, -512, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283589, 337, 4045, -498, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283625, 334, 4052, -503, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283662, 315, 4058, -518, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283699, 321, 4070, -483, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283735, 317, 4081, -507, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283772, 321, 4087, -480, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283809, 304, 4061, -512, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283845, 333, 4074, -462, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283882, 308, 4073, -506, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283919, 312, 4061, -477, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283959, 329, 4053, -469, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
283999, 323, 4064, -478, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284039, 297, 4086, -457, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284079, 314, 4058, -485, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284119, 332, 4037, -471, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284159, 318, 4028, -474, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284199, 315, 4041, -463, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284239, 281, 4070, -453, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284279, 303, 4056, -472, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284320, 293, 4039, -480, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284360, 309, 4045, -478, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284400, 281, 4074, -479, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284441, 302, 4063, -480, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284481, 311, 4066, -453, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284522, 301, 4043, -466, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
284562, 321, 4092, -485, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
