267739, -870, 3589, -1723, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269076, -886, 3495, -1989, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269114, -894, 3472, -1906, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269151, -929, 3457, -1913, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269189, -1004, 3489, -1966, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269226, -952, 3491, -1938, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269264, -907, 3449, -1902, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269302, -915, 3473, -1932, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269339, -943, 3485, -1938, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269377, -930, 3546, -1915, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269415, -895, 3506, -1930, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269455, -941, 3539, -1896, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269495, -914, 3492, -1885, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269535, -885, 3510, -1850, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269576, -939, 3510, -1899, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269616, -939, 3555, -1898, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269656, -949, 3555, -1885, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269697, -918, 3439, -1956, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269737, -891, 3457, -1837, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269777, -906, 3520, -1966, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269818, -957, 3543, -1874, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269858, -956, 3570, -1884, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269898, -915, 3465, -1877, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269939, -923, 3526, -1901, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269978, -898, 3533, -1923, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270017, -941, 3465, -1852, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270056, -926, 3512, -1853, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270095, -908, 3498, -1864, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270134, -938, 3564, -1916, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270173, -874, 3520, -1863, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270213, -884, 3551, -1871, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270252, -918, 3525, -1866, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270291, -972, 3536, -1883, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270330, -929, 3495, -1867, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270369, -925, 3525, -1827, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270408, -896, 3495, -1862, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270448, -949, 3525, -1860, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270486, -965, 3456, -1843, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270524, -952, 3575, -1886, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270562, -973, 3552, -1854, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270600, -945, 3525, -1869, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270638, -911, 3476, -1830, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270676, -955, 3548, -1852, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270714, -947, 3548, -1846, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270752, -962, 3535, -1840, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270790, -936, 3517, -1853, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270828, -957, 3541, -1850, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270866, -953, 3504, -1864, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270904, -945, 3600, -1826, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270943, -900, 3512, -1829, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
270985, -910, 3564, -1844, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271027, -932, 3602, -1814, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271069, -941, 3553, -1832, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271112, -982, 3563, -1838, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271154, -969, 3607, -1830, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271196, -932, 3528, -1850, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271239, -984, 3595, -1786, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271281, -980, 3574, -1840, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271323, -961, 3589, -1885, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271366, -899, 3475, -1865, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271408, -862, 3467, -1791, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271450, -865, 3538, -1889, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271493, -975, 3588, -1767, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271527, -913, 3561, -1798, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271562, -906, 3425, -1778, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271596, -896, 3504, -1772, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271631, -915, 3567, -1862, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271665, -939, 3530, -1778, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271700, -884, 3531, -1835, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271734, -912, 3540, -1809, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271769, -939, 3544, -1785, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271803, -922, 3567, -1858, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271838, -956, 3553, -1785, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271872, -952, 3537, -1832, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271907, -912, 3520, -1851, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271942, -897, 3560, -1820, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
271983, -845, 3516, -1835, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272024, -953, 3567, -1858, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272066, -907, 3560, -1879, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272107, -894, 3528, -1872, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272149, -932, 3573, -1849, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272190, -914, 3524, -1860, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272232, -903, 3524, -1844, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272273, -926, 3512, -1858, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272315, -907, 3517, -1847, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272356, -936, 3545, -1805, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272398, -927, 3530, -1858, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272439, -942, 3525, -1859, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272481, -873, 3502, -1864, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272516, -862, 3485, -1816, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272552, -897, 3539, -1877, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272588, -912, 3531, -1838, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272624, -896, 3567, -1862, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272660, -911, 3538, -1849, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272696, -920, 3530, -1815, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272732, -911, 3552, -1840, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272768, -911, 3550, -1842, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272804, -933, 3536, -1854, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272840, -964, 3519, -1832, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272876, -928, 3493, -1828, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272912, -983, 3540, -1850, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272948, -914, 3514, -1831, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
272984, -874, 3516, -1853, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273021, -974, 3518, -1858, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273058, -949, 3533, -1846, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273095, -917, 3560, -1890, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273131, -945, 3526, -1826, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273168, -919, 3508, -1836, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273205, -950, 3538, -1838, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273242, -920, 3505, -1853, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273278, -974, 3529, -1860, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273315, -985, 3531, -1861, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273352, -965, 3500, -1809, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273389, -960, 3551, -1845, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273426, -976, 3545, -1811, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273465, -884, 3487, -1816, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273505, -957, 3517, -1844, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273545, -994, 3552, -1793, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273585, -969, 3544, -1841, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273625, -986, 3523, -1809, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273665, -1013, 3534, -1838, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273705, -985, 3533, -1821, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273745, -999, 3552, -1825, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273785, -1020, 3519, -1796, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273825, -984, 3607, -1809, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273865, -941, 3565, -1793, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273905, -943, 3513, -1838, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273945, -1031, 3609, -1784, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
273985, -984, 3549, -1811, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274026, -953, 3563, -1862, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274066, -1009, 3652, -1823, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274107, -959, 3586, -1866, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274147, -933, 3468, -1756, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274188, -1000, 3555, -1815, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274229, -947, 3446, -1779, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274269, -986, 3410, -1757, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274310, -994, 3465, -1801, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274350, -933, 3429, -1762, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274391, -1016, 3508, -1752, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274432, -921, 3474, -1871, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274470, -914, 3534, -1825, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274508, -951, 3581, -1899, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274546, -937, 3543, -1842, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274585, -929, 3585, -1862, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274623, -908, 3535, -1883, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274661, -924, 3491, -1849, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274700, -892, 3526, -1866, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274738, -907, 3500, -1863, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274776, -910, 3541, -1850, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274815, -899, 3498, -1874, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274853, -915, 3566, -1833, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274891, -908, 3489, -1899, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274930, -960, 3527, -1827, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
274968, -909, 3529, -1885, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275007, -893, 3508, -1859, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275046, -925, 3531, -1855, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275085, -911, 3534, -1869, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275124, -912, 3535, -1854, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275163, -917, 3564, -1874, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275202, -900, 3531, -1855, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275241, -891, 3522, -1871, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275280, -872, 3495, -1905, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275319, -870, 3526, -1858, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275358, -911, 3586, -1918, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275397, -910, 3540, -1802, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275436, -872, 3503, -1879, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275474, -916, 3476, -1868, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275512, -938, 3521, -1844, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275550, -889, 3538, -1914, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275588, -931, 3510, -1838, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275626, -892, 3544, -1890, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275664, -881, 3472, -1849, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275703, -920, 3540, -1870, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275741, -916, 3532, -1889, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275779, -891, 3486, -1859, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275817, -951, 3591, -1861, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275855, -904, 3543, -1856, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275893, -873, 3490, -1836, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275932, -883, 3492, -1874, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
275970, -905, 3533, -1837, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
276008, -905, 3557, -1901, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
276046, -933, 3546, -1833, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
276084, -952, 3536, -1864, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
276122, -928, 3529, -1833, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
276160, -1050, 3661, -1896, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
276198, -951, 3498, -1861, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
276236, -955, 3507, -1851, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
276274, -993, 3571, -1829, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
276312, -914, 3545, -1870, 84, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
