28713, -651, 3983, -1123, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29958, -740, 3926, -1072, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29999, -691, 3923, -1105, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30039, -695, 3859, -1055, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30080, -715, 3891, -1087, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30121, -747, 3903, -1052, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30162, -732, 3843, -1122, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30203, -770, 3921, -1064, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30244, -727, 3913, -1105, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30285, -737, 3850, -1070, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30326, -731, 3864, -1072, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30367, -743, 3854, -1081, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30408, -746, 3891, -1072, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30444, -704, 3875, -1107, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30481, -722, 3883, -1104, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30517, -759, 3871, -1057, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30554, -730, 3916, -1120, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30591, -711, 3897, -1096, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30627, -734, 3881, -1111, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30664, -716, 3894, -1087, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30701, -730, 3829, -1117, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30737, -750, 3901, -1071, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30774, -697, 3856, -1173, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30811, -717, 3900, -1116, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30851, -724, 3903, -1147, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30892, -726, 3833, -1111, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30932, -730, 3858, -1099, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
30973, -705, 3899, -1167, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31014, -712, 3877, -1123, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31054, -702, 3910, -1142, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31095, -688, 3859, -1109, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31135, -673, 3827, -1138, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31176, -680, 3837, -1139, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31217, -665, 3895, -1146, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31253, -669, 3844, -1190, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31289, -677, 3876, -1134, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31326, -693, 3840, -1192, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31362, -680, 3909, -1111, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31399, -694, 3839, -1156, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31435, -735, 3875, -1120, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31472, -741, 3871, -1143, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31508, -725, 3917, -1206, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31545, -701, 3819, -1145, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31581, -728, 3843, -1144, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31618, -702, 3895, -1169, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31658, -694, 3869, -1164, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31698, -716, 3878, -1145, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31738, -746, 3919, -1169, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31778, -692, 3785, -1189, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31819, -715, 3857, -1166, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31859, -733, 3878, -1171, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31899, -712, 3915, -1131, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31939, -721, 3827, -1155, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
31979, -715, 3902, -1190, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32020, -686, 3847, -1149, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32056, -725, 3884, -1200, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32092, -699, 3847, -1121, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32128, -713, 3859, -1153, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32164, -713, 3816, -1180, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32200, -686, 3852, -1147, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32236, -688, 3824, -1158, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32272, -703, 3907, -1185, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32308, -704, 3879, -1152, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32344, -695, 3851, -1164, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32380, -712, 3870, -1127, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32417, -709, 3897, -1214, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32456, -683, 3860, -1155, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32495, -686, 3855, -1184, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32534, -688, 3832, -1132, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32573, -711, 3918, -1176, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32612, -692, 3902, -1206, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32651, -686, 3854, -1145, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32690, -737, 3865, -1168, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32729, -698, 3872, -1151, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32768, -689, 3875, -1169, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32808, -709, 3875, -1168, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32850, -678, 3894, -1170, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32892, -708, 3817, -1175, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32934, -708, 3842, -1135, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
32976, -754, 3872, -1231, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33018, -721, 3907, -1122, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33060, -705, 3865, -1148, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33102, -703, 3834, -1165, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33144, -709, 3856, -1117, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33186, -695, 3833, -1165, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33228, -678, 3821, -1107, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33263, -729, 3854, -1151, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33298, -724, 3843, -1164, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33333, -732, 3852, -1152, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33368, -699, 3860, -1164, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33403, -710, 3867, -1158, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33439, -721, 3851, -1177, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33474, -730, 3837, -1133, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33509, -718, 3872, -1194, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33544, -702, 3893, -1109, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33579, -726, 3863, -1187, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33615, -737, 3847, -1152, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33654, -723, 3860, -1146, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33693, -731, 3890, -1193, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33733, -713, 3845, -1166, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33772, -720, 3887, -1170, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33812, -733, 3857, -1155, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33851, -701, 3860, -1138, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33890, -708, 3890, -1155, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33930, -721, 3850, -1185, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
33969, -715, 3813, -1157, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34009, -700, 3842, -1170, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34045, -724, 3880, -1175, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34082, -723, 3900, -1157, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34118, -732, 3900, -1183, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34155, -712, 3849, -1176, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34192, -707, 3805, -1149, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34228, -701, 3861, -1188, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34265, -715, 3832, -1176, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34302, -721, 3873, -1184, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34338, -707, 3868, -1159, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34375, -689, 3863, -1173, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34412, -673, 3815, -1233, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34452, -676, 3884, -1202, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34492, -721, 3863, -1164, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34532, -692, 3842, -1169, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34573, -727, 3912, -1180, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34613, -858, 3891, -1260, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34653, -705, 3848, -1207, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34694, -716, 3839, -1198, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34734, -724, 3818, -1141, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34774, -703, 3852, -1164, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34815, -693, 3783, -1204, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34855, -693, 3826, -1182, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34896, -703, 3832, -1208, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34936, -750, 3871, -1176, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
34977, -713, 3889, -1193, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35017, -737, 3841, -1184, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35058, -703, 3846, -1176, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35098, -715, 3809, -1216, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35139, -725, 3845, -1183, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35179, -706, 3860, -1216, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35220, -707, 3886, -1220, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35255, -710, 3876, -1238, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35291, -713, 3812, -1197, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35327, -734, 3877, -1210, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35363, -697, 3861, -1215, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35399, -710, 3826, -1158, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35435, -707, 3824, -1177, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35471, -716, 3867, -1227, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35507, -706, 3902, -1193, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35543, -707, 3870, -1211, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35579, -703, 3832, -1164, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35615, -732, 3868, -1190, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35653, -723, 3910, -1154, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35692, -683, 3850, -1218, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35731, -703, 3838, -1164, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35770, -749, 3844, -1181, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35809, -729, 3826, -1177, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35848, -697, 3900, -1171, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35887, -700, 3867, -1216, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35926, -742, 3830, -1167, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
35965, -750, 3866, -1176, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36004, -732, 3851, -1191, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36045, -722, 3856, -1175, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36086, -719, 3865, -1184, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36127, -709, 3848, -1178, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36169, -733, 3822, -1223, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36210, -738, 3882, -1142, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36251, -739, 3834, -1244, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36293, -707, 3832, -1135, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36334, -742, 3877, -1183, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36375, -739, 3842, -1170, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36417, -724, 3897, -1192, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36451, -724, 3841, -1215, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36485, -711, 3839, -1158, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36520, -730, 3857, -1180, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36554, -729, 3829, -1190, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36588, -712, 3830, -1184, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36623, -735, 3882, -1182, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36657, -711, 3942, -1208, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36691, -749, 3876, -1166, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36726, -737, 3865, -1205, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36760, -764, 3865, -1171, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36795, -728, 3843, -1185, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36837, -723, 3816, -1148, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36879, -731, 3816, -1193, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36921, -738, 3850, -1182, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
36963, -740, 3912, -1215, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37006, -718, 3827, -1196, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37048, -734, 3832, -1164, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37090, -732, 3858, -1180, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37132, -733, 3857, -1185, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37174, -718, 3845, -1182, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37217, -731, 3850, -1178, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37255, -737, 3840, -1197, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37294, -742, 3818, -1193, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37332, -750, 3859, -1163, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37371, -718, 3808, -1234, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37410, -703, 3875, -1146, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37448, -707, 3810, -1238, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37487, -691, 3793, -1194, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37525, -737, 3880, -1172, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37564, -709, 3858, -1212, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37603, -715, 3897, -1206, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37640, -732, 3875, -1214, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37678, -721, 3863, -1184, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37715, -711, 3897, -1207, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37753, -714, 3863, -1197, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37790, -715, 3844, -1227, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37828, -689, 3789, -1229, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37865, -723, 3835, -1201, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37903, -729, 3866, -1246, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
37940, -674, 3879, -1177, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
