75180, -780, 3670, -1587, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76650, -874, 3622, -1726, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76687, -899, 3629, -1691, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76723, -902, 3626, -1727, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76760, -892, 3635, -1699, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76796, -945, 3620, -1706, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76833, -904, 3560, -1667, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76869, -863, 3587, -1763, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76906, -895, 3629, -1669, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76942, -877, 3621, -1720, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76979, -874, 3596, -1701, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77016, -871, 3627, -1717, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77054, -920, 3665, -1720, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77093, -881, 3585, -1722, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77132, -872, 3592, -1710, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77170, -853, 3621, -1727, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77209, -892, 3607, -1715, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77248, -914, 3610, -1734, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77286, -876, 3602, -1727, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77325, -862, 3596, -1714, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77364, -867, 3622, -1741, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77403, -882, 3610, -1726, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77449, -874, 3609, -1723, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77496, -868, 3619, -1733, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77543, -856, 3627, -1725, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77590, -861, 3607, -1728, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77637, -877, 3586, -1751, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77683, -874, 3618, -1728, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77730, -831, 3547, -1756, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77777, -859, 3626, -1740, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77824, -846, 3588, -1736, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77871, -865, 3573, -1764, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77902, -868, 3591, -1774, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77933, -853, 3570, -1792, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77965, -842, 3604, -1781, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
77996, -872, 3622, -1769, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78028, -839, 3566, -1776, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78059, -851, 3644, -1782, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78091, -849, 3603, -1776, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78122, -886, 3609, -1762, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78154, -849, 3600, -1795, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78185, -847, 3569, -1761, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78217, -853, 3569, -1756, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78261, -838, 3594, -1759, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78306, -837, 3540, -1751, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78351, -804, 3550, -1800, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78396, -846, 3563, -1714, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78441, -803, 3502, -1830, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78486, -824, 3647, -1786, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78531, -849, 3596, -1794, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78576, -857, 3579, -1809, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78621, -875, 3559, -1816, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78666, -830, 3572, -1809, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78699, -849, 3565, -1770, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78732, -847, 3627, -1805, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78765, -862, 3566, -1767, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78798, -861, 3609, -1809, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78831, -864, 3575, -1807, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78865, -869, 3609, -1774, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78898, -844, 3561, -1779, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78931, -850, 3547, -1786, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78964, -855, 3550, -1803, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
78997, -846, 3543, -1797, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79031, -902, 3599, -1810, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79067, -867, 3583, -1738, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79104, -882, 3601, -1859, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79141, -810, 3582, -1779, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79177, -816, 3601, -1815, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79214, -836, 3561, -1789, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79251, -863, 3558, -1794, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79287, -825, 3581, -1810, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79324, -809, 3616, -1816, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79361, -800, 3576, -1793, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79398, -821, 3571, -1775, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79438, -820, 3597, -1779, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79479, -868, 3588, -1798, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79519, -839, 3582, -1811, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79560, -844, 3551, -1777, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79601, -871, 3575, -1792, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79641, -853, 3583, -1801, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79682, -821, 3577, -1785, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79722, -820, 3589, -1783, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79763, -824, 3576, -1810, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79804, -833, 3637, -1759, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79840, -844, 3579, -1833, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79877, -830, 3630, -1755, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79914, -829, 3591, -1796, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79950, -839, 3556, -1787, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
79987, -828, 3584, -1813, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80024, -838, 3597, -1788, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80061, -838, 3573, -1817, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80097, -819, 3628, -1797, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80134, -813, 3620, -1794, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80171, -855, 3576, -1812, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80208, -820, 3589, -1821, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80248, -802, 3588, -1814, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80289, -813, 3583, -1816, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80330, -841, 3572, -1791, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80371, -812, 3535, -1805, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80412, -843, 3553, -1796, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80453, -829, 3561, -1818, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80494, -813, 3514, -1771, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80535, -850, 3506, -1817, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80576, -812, 3574, -1831, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80617, -813, 3569, -1799, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80656, -869, 3559, -1835, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80696, -858, 3562, -1841, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80735, -853, 3569, -1854, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80775, -859, 3601, -1837, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80814, -847, 3592, -1833, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80854, -851, 3540, -1807, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80893, -852, 3559, -1833, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80933, -853, 3582, -1852, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
80972, -838, 3540, -1855, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81012, -828, 3539, -1816, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81052, -874, 3589, -1845, 59, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81091, -837, 3590, -1850, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81131, -854, 3553, -1818, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81171, -826, 3540, -1889, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81211, -860, 3604, -1825, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81251, -810, 3534, -1874, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81291, -816, 3592, -1825, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81331, -822, 3559, -1852, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81371, -867, 3542, -1835, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81411, -854, 3568, -1839, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81451, -846, 3585, -1822, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81487, -815, 3561, -1852, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81524, -863, 3537, -1812, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81560, -832, 3558, -1835, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81597, -836, 3567, -1846, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81634, -839, 3577, -1848, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81670, -834, 3537, -1817, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81707, -878, 3561, -1838, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81743, -849, 3546, -1828, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81780, -837, 3547, -1812, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81817, -818, 3538, -1808, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81853, -825, 3565, -1865, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81890, -848, 3540, -1826, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81927, -789, 3499, -1891, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
81964, -821, 3630, -1882, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82001, -889, 3423, -1835, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82038, -876, 3512, -1863, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82075, -833, 3585, -1886, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82112, -833, 3564, -1849, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82149, -813, 3559, -1884, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82186, -804, 3559, -1869, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82223, -812, 3541, -1886, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82262, -813, 3546, -1889, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82301, -793, 3550, -1871, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82340, -837, 3565, -1865, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82379, -852, 3534, -1878, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82419, -826, 3516, -1911, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82458, -822, 3500, -1898, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82497, -838, 3535, -1893, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82536, -831, 3513, -1887, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82575, -835, 3577, -1854, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82615, -845, 3526, -1918, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82655, -820, 3504, -1853, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82695, -858, 3556, -1923, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82736, -890, 3507, -1929, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82776, -860, 3526, -1906, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82817, -890, 3525, -1890, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82857, -860, 3494, -1903, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82897, -843, 3525, -1877, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82938, -873, 3518, -1898, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
82978, -858, 3505, -1897, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83019, -849, 3525, -1897, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83055, -875, 3511, -1906, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83092, -859, 3512, -1881, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83129, -871, 3506, -1884, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83166, -849, 3527, -1914, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83203, -874, 3533, -1889, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83239, -829, 3512, -1964, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83276, -866, 3526, -1864, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83313, -867, 3495, -1916, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83350, -854, 3539, -1879, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83387, -833, 3495, -1884, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83424, -871, 3489, -1911, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83463, -832, 3523, -1921, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83502, -876, 3534, -1931, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83541, -831, 3495, -1910, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83580, -848, 3505, -1871, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83619, -853, 3538, -1920, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83658, -855, 3558, -1927, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83697, -813, 3542, -1938, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83736, -837, 3523, -1926, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83775, -816, 3521, -1931, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83815, -827, 3573, -1929, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83856, -842, 3540, -1948, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83897, -841, 3494, -1937, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83939, -812, 3474, -1925, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
83980, -828, 3516, -1910, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
84021, -851, 3508, -1991, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
84063, -806, 3566, -1910, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
84104, -812, 3533, -1918, 58, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
