131922, -514, 3539, -1781, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133246, -847, 3602, -1863, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133283, -855, 3583, -1888, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133321, -884, 3549, -1863, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133358, -921, 3559, -1825, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133396, -917, 3445, -1851, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133434, -893, 3566, -1834, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133471, -891, 3527, -1838, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133509, -882, 3524, -1830, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133547, -897, 3511, -1823, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133585, -889, 3588, -1864, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133623, -904, 3529, -1840, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133661, -919, 3554, -1842, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133698, -872, 3513, -1875, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133736, -863, 3535, -1873, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133774, -875, 3481, -1888, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133812, -890, 3536, -1839, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133850, -845, 3534, -1916, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133888, -894, 3590, -1858, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133926, -893, 3549, -1873, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133965, -873, 3452, -1863, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134005, -856, 3544, -1864, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134045, -840, 3537, -1882, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134085, -881, 3536, -1870, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134125, -862, 3538, -1872, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134165, -883, 3536, -1858, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134205, -890, 3537, -1831, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134245, -933, 3682, -1945, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134285, -882, 3543, -1859, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134325, -919, 3534, -1861, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134365, -848, 3514, -1874, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134405, -882, 3540, -1834, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134445, -835, 3566, -1914, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134482, -858, 3558, -1843, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134519, -876, 3586, -1847, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134557, -893, 3542, -1879, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134594, -895, 3540, -1842, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134631, -897, 3558, -1880, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134669, -883, 3547, -1829, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134706, -852, 3544, -1859, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134744, -854, 3538, -1845, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134781, -877, 3516, -1855, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134818, -876, 3546, -1828, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134856, -850, 3578, -1858, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134893, -930, 3516, -1891, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134931, -852, 3490, -1820, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
134969, -877, 3565, -1894, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135007, -887, 3572, -1840, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135045, -830, 3569, -1876, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135083, -845, 3517, -1855, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135121, -862, 3537, -1866, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135159, -860, 3556, -1910, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135198, -864, 3548, -1874, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135236, -846, 3548, -1870, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135274, -858, 3476, -1860, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135312, -865, 3552, -1842, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135350, -862, 3516, -1864, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135388, -867, 3552, -1859, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135427, -898, 3536, -1836, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135469, -898, 3539, -1835, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135512, -880, 3515, -1862, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135555, -895, 3528, -1824, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135597, -835, 3495, -1880, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135640, -883, 3494, -1846, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135683, -863, 3511, -1837, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135725, -868, 3498, -1926, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135768, -874, 3527, -1878, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135811, -857, 3534, -1871, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135853, -853, 3551, -1899, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135896, -851, 3534, -1865, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135939, -887, 3613, -1863, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
135982, -888, 3589, -1895, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136017, -879, 3524, -1887, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136053, -875, 3522, -1907, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136089, -936, 3496, -1881, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136124, -857, 3519, -1885, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136160, -833, 3503, -1906, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136196, -903, 3584, -1883, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136231, -841, 3462, -1883, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136267, -796, 3435, -1900, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136303, -799, 3483, -1845, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136338, -777, 3457, -1921, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136374, -794, 3482, -1872, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136410, -847, 3484, -1912, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136446, -874, 3530, -1937, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136484, -861, 3525, -1954, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136522, -847, 3493, -1907, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136561, -865, 3506, -1915, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136599, -801, 3544, -1999, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136638, -836, 3540, -1920, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136676, -828, 3474, -1946, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136715, -816, 3507, -1954, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136753, -853, 3494, -1904, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136792, -861, 3516, -1970, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136830, -841, 3526, -1922, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136869, -869, 3466, -1902, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136907, -856, 3541, -1959, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136946, -853, 3520, -1925, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
136984, -841, 3518, -1915, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137022, -789, 3515, -1992, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137061, -843, 3533, -1907, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137099, -773, 3532, -2000, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137138, -835, 3543, -1914, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137176, -815, 3535, -1951, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137215, -834, 3499, -1958, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137253, -865, 3527, -1925, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137292, -816, 3528, -1944, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137330, -867, 3476, -1914, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137369, -809, 3518, -1957, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137407, -797, 3548, -1957, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137446, -841, 3475, -1939, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137483, -852, 3544, -1898, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137520, -821, 3473, -1957, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137558, -870, 3477, -1925, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137595, -781, 3545, -1967, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137633, -808, 3516, -1925, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137670, -857, 3560, -1939, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137708, -824, 3524, -1968, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137745, -846, 3483, -1906, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137783, -860, 3513, -1922, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137820, -827, 3509, -1938, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137858, -858, 3452, -1932, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137895, -862, 3494, -1914, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137933, -827, 3515, -1953, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
137972, -815, 3476, -1981, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138011, -844, 3493, -1939, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138051, -874, 3499, -1937, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138090, -859, 3512, -1896, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138130, -802, 3496, -1941, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138169, -854, 3488, -1942, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138209, -859, 3519, -1893, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138248, -861, 3549, -1954, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138288, -865, 3470, -1913, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138327, -840, 3527, -1927, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138367, -851, 3505, -1928, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138406, -874, 3492, -1933, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138446, -871, 3454, -1895, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138484, -839, 3532, -1919, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138522, -857, 3590, -1897, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138561, -875, 3631, -1985, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138599, -874, 3564, -1921, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138637, -829, 3522, -1939, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138676, -858, 3502, -1953, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138714, -866, 3507, -1935, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138753, -804, 3549, -1957, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138791, -821, 3459, -1932, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138829, -832, 3437, -1909, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138868, -796, 3451, -1915, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138906, -807, 3420, -1936, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138945, -821, 3397, -1968, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
138985, -821, 3418, -1946, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139026, -839, 3465, -1946, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139067, -811, 3565, -1973, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139108, -797, 3517, -1944, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139149, -837, 3477, -1991, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139190, -804, 3498, -1964, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139231, -773, 3481, -2040, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139272, -822, 3449, -1946, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139313, -835, 3465, -1983, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139354, -805, 3458, -1959, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139395, -842, 3490, -1969, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139436, -834, 3493, -1979, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139477, -802, 3449, -1962, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139511, -896, 3545, -1944, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139545, -812, 3469, -2013, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139579, -839, 3519, -1936, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139614, -851, 3467, -2013, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139648, -820, 3469, -1982, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139682, -829, 3477, -1965, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139717, -828, 3473, -1977, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139751, -806, 3463, -1953, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139785, -839, 3484, -1974, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139820, -841, 3455, -1966, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139854, -816, 3494, -1955, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139888, -776, 3477, -1981, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139923, -779, 3527, -1940, 90, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
139965, -761, 3489, -2058, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140008, -846, 3524, -1928, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140050, -827, 3489, -1987, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140093, -833, 3431, -1968, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140135, -845, 3505, -1972, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140178, -847, 3510, -1993, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140220, -824, 3481, -1940, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140263, -848, 3465, -1957, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140305, -843, 3475, -1962, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140348, -845, 3459, -1972, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140390, -847, 3465, -2042, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140433, -835, 3423, -1938, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140476, -861, 3489, -1984, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140512, -900, 3506, -1920, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140548, -815, 3437, -1956, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140584, -856, 3463, -1969, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140620, -899, 3520, -1968, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140657, -885, 3530, -2007, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140693, -847, 3464, -1970, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140729, -862, 3511, -1968, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140765, -843, 3445, -1970, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140802, -855, 3491, -1979, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140838, -870, 3509, -1956, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140874, -883, 3449, -1948, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140910, -923, 3515, -1947, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140947, -853, 3469, -2007, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
140988, -830, 3480, -1970, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
141030, -860, 3451, -1980, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
141072, -849, 3518, -1967, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
141114, -840, 3486, -2014, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
