44248, -1156, 3584, -1510, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46393, -824, 3717, -1349, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46431, -840, 3766, -1396, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46474, -849, 3804, -1359, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46517, -852, 3755, -1408, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46561, -856, 3797, -1388, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46604, -851, 3708, -1348, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46647, -897, 3715, -1361, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46691, -851, 3830, -1454, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46734, -823, 3683, -1378, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46778, -837, 3730, -1438, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46821, -856, 3604, -1542, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46864, -877, 3697, -1339, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46908, -823, 3813, -1556, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46951, -789, 3793, -1432, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46995, -844, 3736, -1442, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47029, -920, 3667, -1397, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47063, -887, 3752, -1469, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47098, -885, 3713, -1400, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47132, -898, 3670, -1410, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47166, -881, 3725, -1403, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47201, -853, 3771, -1416, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47235, -851, 3759, -1413, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47270, -854, 3744, -1438, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47304, -877, 3742, -1352, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47338, -908, 3673, -1454, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47373, -894, 3698, -1424, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47407, -918, 3725, -1396, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47442, -875, 3752, -1450, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47479, -851, 3707, -1430, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47517, -838, 3733, -1450, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47555, -850, 3769, -1460, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47593, -869, 3709, -1400, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47631, -888, 3764, -1458, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47669, -843, 3740, -1443, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47706, -854, 3726, -1442, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47744, -815, 3761, -1441, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47782, -848, 3745, -1456, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47820, -803, 3667, -1579, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47858, -802, 3833, -1385, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47896, -768, 3812, -1521, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47934, -798, 3764, -1472, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
47973, -822, 3642, -1484, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48012, -851, 3735, -1444, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48052, -833, 3754, -1506, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48091, -874, 3712, -1426, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48131, -865, 3683, -1428, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48170, -878, 3703, -1458, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48210, -845, 3708, -1456, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48249, -825, 3746, -1487, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48289, -815, 3753, -1454, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48328, -859, 3748, -1387, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48368, -895, 3657, -1469, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48407, -816, 3694, -1537, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48447, -851, 3734, -1453, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48485, -819, 3695, -1489, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48523, -838, 3673, -1465, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48562, -844, 3708, -1473, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48600, -808, 3744, -1508, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48638, -839, 3685, -1451, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48677, -829, 3713, -1478, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48715, -858, 3728, -1459, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48754, -849, 3718, -1470, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48792, -851, 3737, -1460, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48830, -829, 3752, -1396, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48869, -846, 3721, -1419, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48907, -866, 3690, -1515, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48946, -891, 3667, -1434, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
48981, -852, 3696, -1467, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49017, -872, 3687, -1481, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49053, -833, 3792, -1454, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49089, -801, 3787, -1560, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49125, -822, 3730, -1447, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49161, -893, 3798, -1463, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49196, -836, 3697, -1431, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49232, -817, 3767, -1477, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49268, -838, 3771, -1457, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49304, -813, 3721, -1473, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49340, -764, 3740, -1548, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49376, -870, 3798, -1352, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49412, -819, 3789, -1443, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49452, -813, 3722, -1436, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49493, -807, 3660, -1444, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49533, -827, 3737, -1415, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49574, -779, 3702, -1466, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49615, -755, 3757, -1438, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49655, -804, 3658, -1388, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49696, -788, 3749, -1460, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49736, -754, 3706, -1466, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49777, -761, 3683, -1470, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49818, -752, 3699, -1466, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49858, -809, 3741, -1438, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49899, -817, 3713, -1506, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49940, -715, 3746, -1596, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
49978, -805, 3748, -1403, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50017, -760, 3740, -1532, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50056, -774, 3709, -1466, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50095, -779, 3747, -1482, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50134, -718, 3769, -1565, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50173, -751, 3716, -1465, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50211, -775, 3736, -1497, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50250, -765, 3689, -1506, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50289, -778, 3734, -1479, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50328, -767, 3748, -1517, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50367, -770, 3732, -1488, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50406, -723, 3715, -1494, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50445, -823, 3743, -1522, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50483, -777, 3763, -1495, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50522, -785, 3720, -1454, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50560, -791, 3696, -1521, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50599, -810, 3738, -1491, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50637, -781, 3726, -1542, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50676, -826, 3721, -1512, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50714, -822, 3734, -1506, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50753, -790, 3728, -1486, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50791, -797, 3728, -1514, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50830, -821, 3738, -1495, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50868, -820, 3687, -1499, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50907, -796, 3707, -1502, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50946, -700, 3717, -1528, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
50984, -837, 3739, -1531, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51022, -826, 3707, -1509, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51060, -794, 3708, -1501, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51098, -803, 3689, -1547, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51137, -799, 3709, -1504, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51175, -771, 3757, -1564, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51213, -767, 3742, -1506, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51251, -783, 3700, -1512, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51290, -755, 3730, -1503, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51328, -781, 3725, -1521, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51366, -750, 3696, -1514, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51404, -785, 3757, -1505, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51443, -792, 3734, -1563, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51481, -805, 3673, -1530, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51519, -790, 3665, -1427, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51558, -691, 3729, -1583, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51596, -762, 3757, -1463, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51634, -756, 3681, -1535, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51673, -792, 3654, -1509, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51711, -746, 3729, -1544, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51750, -720, 3721, -1497, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51788, -719, 3674, -1490, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51826, -739, 3765, -1503, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51865, -734, 3739, -1528, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51903, -746, 3752, -1508, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51942, -744, 3699, -1516, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
51979, -754, 3704, -1522, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52017, -782, 3694, -1468, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52054, -799, 3721, -1497, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52092, -715, 3661, -1596, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52130, -794, 3703, -1463, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52167, -743, 3728, -1567, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52205, -729, 3665, -1517, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52242, -768, 3750, -1543, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52280, -734, 3742, -1560, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52318, -719, 3709, -1531, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52355, -734, 3743, -1637, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52393, -771, 3769, -1521, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52431, -799, 3752, -1536, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52470, -792, 3714, -1497, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52509, -788, 3697, -1515, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52549, -800, 3656, -1557, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52588, -859, 3722, -1459, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52627, -696, 3753, -1658, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52667, -763, 3753, -1493, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52706, -779, 3741, -1569, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52746, -765, 3689, -1534, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52785, -772, 3740, -1569, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52824, -742, 3711, -1536, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52864, -774, 3701, -1517, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52903, -779, 3680, -1549, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52943, -745, 3705, -1548, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
52981, -757, 3697, -1552, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53020, -759, 3691, -1528, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53059, -751, 3737, -1540, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53097, -701, 3679, -1663, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53136, -737, 3732, -1449, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53175, -730, 3790, -1625, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53213, -758, 3716, -1505, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53252, -763, 3685, -1586, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53291, -761, 3732, -1506, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53329, -730, 3714, -1554, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53368, -770, 3752, -1524, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53407, -757, 3706, -1539, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53446, -776, 3764, -1559, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53483, -785, 3690, -1513, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53520, -746, 3755, -1519, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53557, -757, 3719, -1510, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53594, -800, 3690, -1484, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53632, -781, 3712, -1549, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53669, -797, 3684, -1510, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53706, -784, 3746, -1489, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53743, -733, 3697, -1473, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53781, -782, 3742, -1542, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53818, -780, 3717, -1478, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53855, -743, 3725, -1538, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53892, -764, 3727, -1506, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
53930, -768, 3737, -1520, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
