102087, -1861, 3263, -1479, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
102987, -1879, 3237, -1620, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103021, -1910, 3244, -1618, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103055, -1935, 3211, -1642, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103090, -1929, 3189, -1588, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103124, -1918, 3230, -1663, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103159, -1904, 3209, -1616, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103200, -1879, 3199, -1620, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103242, -1905, 3202, -1601, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103283, -1883, 3270, -1697, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103325, -1888, 3274, -1669, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103367, -1903, 3246, -1667, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103408, -1877, 3218, -1691, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103450, -1879, 3245, -1696, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103491, -1918, 3282, -1768, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103533, -1869, 3199, -1652, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103575, -1904, 3213, -1706, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103613, -1917, 3240, -1650, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103651, -1916, 3245, -1760, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103689, -1902, 3281, -1677, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103727, -1894, 3287, -1673, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103765, -1888, 3160, -1677, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103803, -1899, 3196, -1679, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103841, -1908, 3210, -1697, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103879, -1887, 3201, -1713, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103917, -1918, 3209, -1671, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103955, -1878, 3191, -1665, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
103992, -1864, 3172, -1667, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104029, -1859, 3162, -1691, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104066, -1853, 3168, -1678, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104103, -1818, 3141, -1769, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104140, -1915, 3245, -1742, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104178, -1895, 3235, -1745, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104215, -1883, 3186, -1728, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104252, -1888, 3210, -1651, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104289, -1838, 3151, -1799, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104326, -1872, 3238, -1663, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104364, -1826, 3183, -1732, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104402, -1890, 3203, -1772, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104441, -1868, 3200, -1738, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104480, -1878, 3230, -1741, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104518, -1892, 3185, -1811, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104557, -1878, 3216, -1726, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104596, -1873, 3180, -1712, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104634, -1902, 3153, -1723, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104673, -1900, 3216, -1770, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104712, -1875, 3194, -1730, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104751, -1880, 3210, -1754, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104789, -1890, 3182, -1748, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104828, -1897, 3174, -1708, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104866, -1932, 3166, -1779, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104905, -1916, 3199, -1730, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104943, -1851, 3189, -1764, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
104982, -1837, 3183, -1738, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105020, -1894, 3156, -1709, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105059, -1891, 3228, -1803, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105097, -1912, 3189, -1737, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105136, -1857, 3186, -1739, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105175, -1856, 3206, -1734, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105214, -1840, 3177, -1725, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105254, -1878, 3218, -1742, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105294, -1856, 3204, -1737, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105333, -1877, 3227, -1742, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105373, -1852, 3186, -1714, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105413, -1860, 3169, -1747, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105452, -1872, 3190, -1697, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105492, -1880, 3202, -1741, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105532, -1896, 3258, -1698, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105572, -1871, 3199, -1783, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105609, -1830, 3161, -1718, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105647, -1829, 3190, -1700, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105685, -1868, 3233, -1766, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105723, -1896, 3235, -1739, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105761, -1867, 3218, -1737, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105799, -1848, 3220, -1714, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105837, -1858, 3185, -1722, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105875, -1877, 3201, -1764, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105913, -1885, 3192, -1708, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105951, -1851, 3213, -1718, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
105989, -1900, 3230, -1723, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106028, -1877, 3190, -1716, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106066, -1889, 3200, -1709, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106105, -1897, 3193, -1749, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106143, -1897, 3212, -1685, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106182, -1856, 3186, -1727, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106220, -1898, 3227, -1673, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106259, -1887, 3196, -1713, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106297, -1850, 3146, -1698, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106336, -1919, 3164, -1662, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106375, -1882, 3174, -1698, 72, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106417, -1855, 3169, -1672, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106460, -1867, 3220, -1658, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106503, -1926, 3226, -1729, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106546, -1875, 3207, -1692, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106589, -1881, 3172, -1701, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106632, -1889, 3238, -1709, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106675, -1892, 3195, -1707, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106718, -1928, 3194, -1692, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106761, -1916, 3219, -1697, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106804, -1934, 3187, -1730, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106840, -1898, 3199, -1678, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106877, -1894, 3197, -1697, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106913, -1906, 3164, -1721, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106950, -1932, 3211, -1693, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
106987, -1925, 3224, -1715, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107023, -1889, 3202, -1729, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107060, -1899, 3157, -1654, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107096, -1902, 3202, -1712, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107133, -1914, 3226, -1715, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107170, -1869, 3213, -1683, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107211, -1893, 3210, -1703, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107252, -1894, 3212, -1685, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107293, -1905, 3203, -1673, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107334, -1900, 3219, -1700, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107375, -1908, 3234, -1661, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107416, -1848, 3182, -1686, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107457, -1863, 3190, -1655, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107498, -1875, 3233, -1709, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107539, -1892, 3256, -1728, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107580, -1894, 3250, -1693, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107621, -1893, 3244, -1745, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107655, -1879, 3188, -1647, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107690, -1874, 3196, -1699, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107725, -1891, 3237, -1721, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107759, -1856, 3195, -1684, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107794, -1902, 3197, -1674, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107829, -1859, 3193, -1687, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107863, -1872, 3178, -1687, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107898, -1854, 3187, -1753, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107933, -1864, 3184, -1675, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
107968, -1883, 3228, -1771, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108004, -1874, 3226, -1659, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108041, -1857, 3241, -1755, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108077, -1846, 3185, -1718, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108114, -1869, 3199, -1743, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108150, -1888, 3224, -1764, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108187, -1860, 3183, -1730, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108223, -1856, 3192, -1705, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108260, -1869, 3225, -1762, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108296, -1843, 3186, -1746, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108333, -1812, 3217, -1775, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108370, -1878, 3195, -1788, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108408, -1842, 3169, -1756, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108447, -1849, 3161, -1766, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108485, -1841, 3182, -1731, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108524, -1864, 3159, -1792, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108562, -1824, 3221, -1775, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108601, -1836, 3212, -1804, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108639, -1793, 3142, -1837, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108678, -1847, 3239, -1792, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108716, -1833, 3204, -1800, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108755, -1848, 3222, -1866, 71, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108794, -1821, 3218, -1801, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108834, -1810, 3211, -1848, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108873, -1779, 3182, -1840, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108913, -1819, 3162, -1814, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108953, -1810, 3150, -1819, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
108992, -1782, 3122, -1807, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109032, -1823, 3102, -1826, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109071, -1800, 3120, -1834, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109111, -1812, 3186, -1854, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109151, -1814, 3190, -1811, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109187, -1791, 3210, -1853, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109223, -1805, 3164, -1851, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109259, -1837, 3163, -1829, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109295, -1847, 3177, -1819, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109331, -1856, 3168, -1858, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109368, -1833, 3200, -1788, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109404, -1841, 3159, -1826, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109440, -1808, 3190, -1817, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109476, -1836, 3167, -1805, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109512, -1816, 3179, -1791, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109549, -1832, 3192, -1788, 70, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109590, -1822, 3156, -1828, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109632, -1871, 3200, -1787, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109674, -1807, 3145, -1818, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109716, -1842, 3263, -1775, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109758, -1831, 3205, -1809, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109800, -1846, 3175, -1756, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109842, -1833, 3173, -1758, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109884, -1861, 3233, -1820, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109926, -1847, 3186, -1769, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
109968, -1845, 3190, -1774, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110004, -1827, 3194, -1777, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110040, -1837, 3204, -1782, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110076, -1845, 3191, -1754, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110112, -1840, 3185, -1753, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110148, -1865, 3197, -1767, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110184, -1848, 3189, -1770, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110220, -1856, 3217, -1767, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110256, -1806, 3213, -1754, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110292, -1831, 3204, -1762, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110328, -1822, 3180, -1785, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110365, -1826, 3206, -1777, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110405, -1855, 3190, -1763, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110445, -1829, 3186, -1779, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110486, -1834, 3178, -1743, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110526, -1832, 3202, -1783, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110567, -1847, 3208, -1766, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110607, -1809, 3223, -1777, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110647, -1836, 3189, -1768, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110688, -1839, 3181, -1765, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110728, -1820, 3156, -1783, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110769, -1849, 3238, -1786, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110814, -1823, 3188, -1827, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110859, -1813, 3207, -1730, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110904, -1842, 3221, -1808, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110949, -1831, 3140, -1779, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
110994, -1853, 3222, -1764, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
111039, -1854, 3213, -1823, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
111084, -1826, 3217, -1749, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
111129, -1842, 3182, -1742, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
111174, -1836, 3176, -1795, 69, fb2419d8-84ae-4091-a449-daacc79fdc15, , berdiri, bersedekap, , 
