99094, -222, 4205, -1080, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100449, -91, 3903, -1266, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100485, -92, 3914, -1270, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100521, -79, 3902, -1268, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100557, -67, 3885, -1274, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100593, -83, 3889, -1303, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100634, -92, 3910, -1310, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100675, -102, 3869, -1290, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100716, -86, 3865, -1305, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100757, -97, 3880, -1309, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100798, -100, 3872, -1311, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100839, -59, 3874, -1312, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100880, -82, 3886, -1342, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100921, -74, 3878, -1309, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
100962, -73, 3915, -1334, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101003, -51, 3852, -1297, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101044, -55, 3883, -1332, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101078, -97, 3875, -1384, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101113, -95, 3898, -1325, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101147, -92, 3878, -1282, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101182, -84, 3893, -1279, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101216, -79, 3869, -1294, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101251, -76, 3897, -1263, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101285, -99, 3900, -1322, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101320, -106, 3889, -1313, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101354, -77, 3871, -1314, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101389, -79, 3864, -1322, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101428, -97, 3871, -1355, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101467, -70, 3855, -1362, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101506, -105, 3859, -1397, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101545, -96, 3864, -1400, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101584, -96, 3844, -1394, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101623, -89, 3863, -1362, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101662, -68, 3852, -1395, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101701, -84, 3815, -1393, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101740, -83, 3831, -1437, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101779, -110, 3847, -1461, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101815, -81, 3862, -1427, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101852, -98, 3821, -1357, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101889, -102, 3845, -1372, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101925, -84, 3887, -1438, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101962, -95, 3854, -1376, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
101999, -104, 3839, -1386, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102036, -89, 3838, -1363, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102072, -76, 3851, -1405, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102109, -87, 3850, -1410, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102146, -98, 3849, -1399, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102183, -121, 3870, -1376, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102223, -113, 3858, -1367, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102264, -96, 3860, -1375, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102305, -79, 3844, -1368, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102345, -88, 3853, -1388, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102386, -95, 3842, -1376, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102427, -81, 3862, -1370, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102467, -108, 3847, -1396, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102508, -95, 3850, -1357, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102549, -122, 3871, -1353, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102590, -89, 3869, -1378, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102625, -76, 3877, -1395, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102660, -63, 3871, -1366, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102696, -84, 3853, -1394, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102731, -98, 3867, -1374, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102766, -67, 3831, -1399, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102802, -105, 3863, -1440, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102837, -81, 3835, -1434, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102872, -78, 3819, -1411, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102908, -101, 3879, -1377, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102943, -111, 3879, -1373, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
102979, -114, 3841, -1391, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103019, -102, 3866, -1410, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103059, -90, 3842, -1337, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103100, -97, 3879, -1387, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103140, -108, 3865, -1380, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103181, -81, 3852, -1356, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103221, -97, 3853, -1367, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103261, -95, 3851, -1388, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103302, -95, 3842, -1376, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103342, -89, 3868, -1384, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103383, -103, 3858, -1376, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103423, -106, 3849, -1350, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103464, -106, 3869, -1384, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103505, -80, 3871, -1391, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103546, -98, 3870, -1388, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103587, -88, 3854, -1383, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103628, -80, 3879, -1369, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103669, -90, 3843, -1388, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103710, -110, 3841, -1410, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103751, -100, 3868, -1422, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103792, -93, 3845, -1398, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103828, -93, 3874, -1426, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103864, -82, 3848, -1447, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103901, -86, 3845, -1425, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103937, -107, 3830, -1390, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
103974, -80, 3851, -1421, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104010, -78, 3841, -1440, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104047, -91, 3837, -1456, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104083, -84, 3834, -1456, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104120, -100, 3819, -1451, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104156, -92, 3836, -1477, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104193, -82, 3802, -1518, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104232, -96, 3828, -1483, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104271, -119, 3819, -1447, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104310, -114, 3833, -1452, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104349, -99, 3828, -1430, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104388, -106, 3840, -1443, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104427, -115, 3834, -1412, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104466, -108, 3814, -1486, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104505, -99, 3834, -1471, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104544, -87, 3830, -1412, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104583, -102, 3833, -1412, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104622, -103, 3813, -1455, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104662, -97, 3818, -1434, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104702, -101, 3843, -1440, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104742, -122, 3858, -1418, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104782, -112, 3817, -1417, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104822, -115, 3834, -1418, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104862, -116, 3844, -1423, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104902, -125, 3847, -1434, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104942, -116, 3831, -1414, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
104982, -110, 3845, -1427, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105022, -131, 3829, -1424, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105059, -102, 3827, -1441, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105096, -108, 3830, -1428, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105133, -106, 3856, -1457, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105170, -116, 3845, -1440, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105207, -124, 3830, -1413, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105244, -133, 3845, -1408, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105281, -98, 3840, -1427, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105318, -92, 3839, -1426, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105355, -118, 3831, -1461, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105393, -129, 3826, -1425, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105432, -135, 3824, -1427, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105472, -135, 3838, -1468, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105512, -98, 3841, -1441, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105552, -107, 3849, -1407, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105592, -129, 3821, -1411, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105631, -111, 3814, -1440, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105671, -112, 3842, -1480, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105711, -118, 3852, -1447, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105751, -126, 3829, -1453, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105791, -94, 3851, -1454, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105830, -125, 3836, -1405, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105870, -119, 3824, -1416, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105910, -106, 3832, -1440, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105949, -107, 3851, -1428, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
105989, -101, 3830, -1441, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106029, -109, 3837, -1454, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106069, -93, 3832, -1450, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106108, -97, 3829, -1428, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106148, -112, 3839, -1445, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106188, -119, 3844, -1450, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106228, -118, 3815, -1441, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106266, -121, 3837, -1438, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106304, -117, 3838, -1434, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106342, -125, 3813, -1427, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106380, -111, 3837, -1438, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106418, -123, 3866, -1453, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106456, -117, 3856, -1417, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106494, -110, 3836, -1374, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106532, -110, 3835, -1413, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106570, -101, 3851, -1426, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106609, -99, 3825, -1392, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106648, -114, 3837, -1414, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106687, -142, 3854, -1414, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106727, -124, 3843, -1403, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106766, -111, 3857, -1384, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106805, -111, 3836, -1397, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106845, -127, 3848, -1401, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106884, -124, 3848, -1407, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106923, -114, 3852, -1389, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
106963, -123, 3855, -1380, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107002, -117, 3830, -1412, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107042, -120, 3837, -1414, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107077, -138, 3867, -1352, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107112, -124, 3836, -1366, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107147, -122, 3839, -1397, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107182, -98, 3834, -1459, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107217, -137, 3850, -1497, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107252, -126, 3838, -1505, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107287, -153, 3819, -1471, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107322, -126, 3814, -1493, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107357, -125, 3791, -1520, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107392, -116, 3785, -1536, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107433, -139, 3777, -1559, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107475, -123, 3803, -1497, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107516, -119, 3832, -1443, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107558, -121, 3831, -1460, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107599, -116, 3812, -1495, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107641, -137, 3809, -1495, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107682, -119, 3807, -1462, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107724, -127, 3826, -1475, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107765, -119, 3832, -1477, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107807, -144, 3839, -1477, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107846, -155, 3837, -1503, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
107886, -137, 3802, -1481, 91, 6acad6b6-6e8e-450d-a962-2c0f2957efd0, , berdiri, bersedekap, , 
