162277, -123, 4331, 826, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167260, -49, 4102, 594, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167292, -36, 4066, 548, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167324, -8, 4060, 553, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167356, -48, 4114, 546, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167389, -40, 4064, 592, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167421, -15, 4070, 581, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167453, -30, 4085, 557, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167486, -45, 4062, 537, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167518, -12, 4055, 562, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167550, -19, 4061, 546, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167583, -41, 4063, 573, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167624, -53, 4054, 555, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167665, -42, 4095, 555, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167706, -24, 4067, 552, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167747, -22, 4081, 540, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167788, -22, 4084, 566, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167829, -48, 4062, 513, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167870, -27, 4093, 532, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167911, -35, 4084, 483, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167952, -29, 4094, 500, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167993, -8, 4030, 500, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168031, -1, 4030, 518, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168069, -27, 4075, 526, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168107, -2, 4079, 534, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168145, -23, 4080, 499, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168183, -66, 4111, 429, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168221, -66, 4093, 412, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168259, -41, 4060, 462, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168297, -35, 4071, 456, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168335, -34, 4059, 477, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168373, -28, 4108, 484, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168411, -26, 4136, 430, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168448, -32, 4130, 441, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168485, -70, 4099, 448, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168522, -53, 4064, 476, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168560, -40, 4051, 465, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168597, -46, 4080, 461, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168634, -45, 4099, 463, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168672, -33, 4096, 485, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168709, -14, 4074, 510, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168746, -29, 4062, 525, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168784, -15, 4070, 513, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168823, -30, 4075, 521, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168862, -40, 4088, 491, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168902, -42, 4051, 519, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168941, -30, 4081, 544, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
168981, -42, 4064, 539, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169020, -19, 4060, 525, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169060, -58, 4076, 494, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169099, -38, 4051, 538, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169139, -15, 4062, 597, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169178, -18, 4070, 660, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169218, -64, 4061, 626, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169255, -53, 4073, 627, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169293, -21, 4067, 610, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169331, -33, 4079, 567, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169369, -14, 4054, 605, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169407, -35, 4065, 612, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169445, -27, 4047, 591, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169483, 1, 4056, 618, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169521, -19, 4085, 579, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169559, 21, 4087, 585, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169597, -25, 4094, 530, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169637, -33, 4108, 583, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169677, -55, 4054, 603, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169717, -35, 4042, 591, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169757, -27, 4067, 578, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169798, -12, 4093, 586, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169838, -31, 4060, 602, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169878, -51, 4068, 598, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169918, -31, 4073, 592, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169958, -11, 4053, 588, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
169999, -28, 4063, 593, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170036, -17, 4068, 592, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170073, -42, 4043, 623, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170111, -24, 4059, 582, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170148, 21, 4059, 591, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170185, -40, 4088, 579, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170223, -23, 4070, 597, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170260, -2, 4044, 587, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170297, -8, 4060, 571, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170335, -42, 4084, 561, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170372, -13, 4063, 581, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170410, -44, 4078, 579, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170450, -59, 4039, 590, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170490, -11, 4072, 584, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170530, -17, 4070, 576, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170570, -28, 4067, 571, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170610, -40, 4091, 550, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170650, -2, 4069, 585, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170690, -51, 4070, 538, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170730, -16, 4031, 579, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170770, -50, 4083, 563, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170811, -65, 4099, 582, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170846, -34, 4027, 576, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170881, -8, 4069, 537, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170916, -16, 4084, 541, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170952, -25, 4035, 593, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
170987, -36, 4095, 586, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
171022, -58, 4070, 568, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
171057, -20, 4046, 556, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
171093, -20, 4063, 578, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
171128, -35, 4069, 561, 98, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
